Primary Key,DC Real Property ID,PM Property ID,Property Name,PM Parent Property ID,Parent Property Name,Year Ending,Report Status,Address of Record,Owner of Record,Ward,Reported Address,City,State,Postal Code,Year Built,Primary Property Type - Self Selected,Primary Property Type - Calculated,Tax Record Floor Area,Reported Building Gross Floor Area,ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft²),Water Use (All Water Sources) (kgal),Electricity Use (kWh),Natural Gas Use (therms),Fuel Oil & Diesel Fuel Use (kBtu),District Water-Based Energy Use (kBtu),Metered Areas (Energy),Metered Areas  (Water),Latitude,Longitude
DC0004N0027,0004N_0027,N/A,,,,12/31/2015,Exempt from this year's disclosure,2626 PENNSYLVANIA AVE NW,SALVATION ARMY,2,,Washington,DC,,,,Not Provided,,,,,,,,,,,,,,,,,,
DC00060825,0006_0825,N/A,,,,12/31/2015,Exempt from this year's disclosure,2601 VIRGINIA AV NW,GEORGE WASHINGTON UNIVERSITY,2,,Washington,DC,,,,Not Provided,173856,,,,,,,,,,,,,,,,,
PM3987680,0008_0806,3987680,Watergate Retail DDOE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2500 VIRGINIA AV NW,WATERGATE EAST INC,2,2551 Virginia Avenue NW,Washington,DC,20037,1966,Strip Mall,Mall,449825,64757,Not Available,123.2,121.6,219,218,673.8,10.4,2495.1,76673.6,,,5362968,Whole Building,Whole Building,38.899151,-77.054598
PM2924130,0008_0806,2924130,Watergate East Inc.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2500 VIRGINIA AV NW,WATERGATE EAST INC,2,2500 Virginia Avenue NW,Washington,DC,20037,1966,Multifamily Housing,Multifamily Housing,449825,389352,Not Available,Not Available,Not Available,Not Available,Not Available,1250028.8,3210.5,983.5,276822,3922.4356,,1889116,Whole Building,Whole Building,38.898725,-77.054311
DC00080808,0008_0808,N/A,,,,12/31/2015,No Report Received,2600 VIRGINIA AV NW,GREENPENZ 2600 VIRGINIA AVENUE LLC,2,,Washington,DC,,,,Not Provided,286113,,,,,,,,,,,,,,,,,
PM4013976,0008_0809,4013976,Watergate west,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2700 VIRGINIA AV NW,WATERGATE WEST INC,2,2700 Virginia Avenue NW,Washington,DC,20037,1968,Multifamily Housing,Multifamily Housing,307722,307722,1,174,174.1,237.7,237.7,3497.3,11.4,9333.6,2369768,454653.5147,,,Whole Building,Whole Building,38.90004224,-77.05626994
PM1163866,0008_0811,1163866,0600 New Hampshire Avenue NW (Watergate),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0600 NEW HAMPSHIRE AV NW,WATERGATE HOLDINGS I LLC,2,600 New Hampshire Ave NW,Washington,DC,20037,1972,Office,Office,363050,274942,69,100.5,100.9,245,243.8,3052.6,11,6232.5,5215996,,,19311.4,Whole Building,Whole Building,38.89781099,-77.05506721
DC00080812,0008_0812,N/A,,,,12/31/2015,No Report Received,0700 NEW HAMPSHIRE AV NW,WATERGATE SOUTH INC,2,,Washington,DC,,,,Not Provided,432755,,,,,,,,,,,,,,,,,
DC00082881,0008_2881,N/A,,,,12/31/2015,Exempt from this year's disclosure,2650 VIRGINIA AVENUE NW,THE WATERGATE HOTEL CONDO,2,,Washington,DC,,,,Not Provided,,,,,,,,,,,,,,,,,,
DC00130043,0013_0043,N/A,,,,12/31/2015,Exempt from this year's disclosure,2555 M ST NW,EMBASSY OF THE STATE OF QATAR,2,,Washington,DC,,,,Not Provided,,,,,,,,,,,,,,,,,,
