DC Real Property ID,Address of Record,Owner of Record,Ward,Property Name,Address 1,City,State,Postal Code,Primary Property Type,Year Built, Reported Building Gross Floor Area (ft²) ,Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),ENERGY STAR Score,Total GHG Emissions (MtCO2e),Electricity Use - Grid Purchase and Onsite (kWh),Natural Gas Use (therms),District Steam Use (kBtu),Other Fuel Use (kBTU),Water Use (kgal),X-Coordinate (ESRI),Y-Coordinate (ESRI)
00080806,2500 VIRGINIA AV NW,WATERGATE EAST INC,2,"Watergate East, Inc.","2500 Virginia Avenue, N.W.",Washington,DC,20037,Multifamily Housing,1966," 400,000 ",28.2,103.1,Not Available,1595.97,3299826,,13924,,9553.5,395219.0672,136802.4981
00080808,2600 VIRGINIA AV NW,GREENPENZ 2600 VIRGINIA AVENUE LLC,2,Watergate Building,2600 Virginia Avenue,Washington,DC,20037,Office,1963," 217,716 ",97.2,195.3,Not Available,1813.1,2385906.5,,4893875,,1225.2,395184.5855,136864.4525
00080811,0600 NEW HAMPSHIRE AV NW,WATERGATE HOLDINGS I LLC,2,0600 New Hampshire Avenue NW (Watergate),600 New Hampshire Ave NW,Washington,DC,20037,Office,1972," 280,211 ",130.3,334.3,52,4406.32,7210210,7022.5,11212280,,6666.8,395204.1232,136657.9032
00140068,2550 M ST NW,CARR CRHP DC/VA PROPERTIES LLC,2,Westbridge Office Building,2550 M Street NW,Washington,DC,20037,Office,1978," 208,325 ",58.3,194.8,88,1720.21,3560265.9,,,,3800.1,395297.6598,137461.386
"00160093, 00160863",0950 25TH ST NW,CLARIDGE H COOPERTVE,2,950 25th Street Northwest,950 25th Street Northwest,Washington,DC,20037,Multifamily Housing,1960," 373,216 ",46.7,90.3,Not Available,1582.05,2173040.2,100019.8,,,10183.7,395337.9492,137137.4412
0024 0885*,,,,WestEnd25,1255 25th Street,Washington,DC,20006,Multifamily Housing,2010," 271,827 ",22.6,26.1,,325.7,,61361.897,,,,Not Available,Not Available
0024-0886*,,,,1227 25th Street,"1227 25th Street, NW",Washington,DC,20037,Office,1988," 150,905 ",70.3,234.7,72,1501.68,3107986.4,,,,2080.4,Not Available,Not Available
00240112,1250 24TH ST NW,WORLD WILDLIFE FUND INC,2,WWF,"1250 24th Street, NW",Washington,DC,20037,Office,1985," 251,707 ",64.4,206.3,86,2052.5,4750311,,,,,395495.8718,137627.8891
00240113,2400 N ST NW,AMERICAN COLLEGE OF CARDIOLOGY FOUNDATION,2,American College of Cardiology Heart House,2400 N Street NW,Washington,DC,20037,Office,1985," 168,891 ",79.2,240.2,63,1654.9,3766720,5170.305,,,2135.8,395489.4847,137681.6742
00240870,2401 M ST NW,LHCW HOTEL HOLDING (2002) LLC,2,"Fairmont Washington, D.C., Georgetown","2401 M Street, NW",Washington,DC,20037,Hotel,1985," 386,390 ",128,313.1,17,5048.4,9658038,164931.89,,,26127.2,395490.6932,137548.0557
00240871,2445 M ST NW,WRIT 2445 M LLC,2,2445 M Street,2445 M Street N.W.,Washington,DC,20037,Office,1986," 321,803 ",73,235.6,82,3326.63,6885037.8,,,,6227.5,395434.9163,137531.4563
00250808,2400 M ST NW,EQR-JBG 2400 RESIDENTIAL LLC,2,2400 M Street,2400 M STREET NW,Washington,DC,20037,Multifamily Housing,2006," 267,750 ",21.5,61.2,Not Available,768.9,1533052.8,5295.5,,,10744.8,395492.8441,137438.9026
00251646,1111 25TH ST NW,ATLAS CONDOMINIUM,2,Atlas Condominium,1111 25th Street N.W,Washington,DC,20037,Multifamily Housing,2004," 237,911 ",3.9,11.7,Not Available,130.39,268280,143,,,,395394.7048,137405.8983
00251782,2425 L ST NW,THE COLUMBIA RESIDENCES CONDO,2,The Columbia Residences,2425 L Street NW,Washington,DC,20037,Multifamily Housing,2006," 549,021 ",Not Available,Not Available,Not Available,,,,,,,395395.1966,137335.2173
00280000,950 24TH STREET NW,COMMERCIAL CONDOS,2,City Hall,"950 24th St, NW",Washington,DC,20052,Residence Hall/Dormitory,1989," 157,672 ",72.4,177.9,54,1300.99,2300602.2,35603.2,,,9523.4,395489.285,137112.2193
00310837,2475 VIRGINIA AV NW,POTOMAC PLAZA APARTMENTS INC,2,Potomac Plaza,"2475 Virginia Avenue, N.W.",Washington,DC,20037,Multifamily Housing,1957," 316,550 ",68.9,130.3,Not Available,1910.78,2486205,133369.1,,,10321.5,395442.2429,136801.1827
00330087,2400 VIRGINIA AV NW,COLUMBIA PLAZA LP,2,Columbia Plaza All Bldgs,2400 Virginia Ave NW,Washington,DC,20037,Multifamily Housing,1968," 988,819 ",77.2,144.9,Not Available,6765.47,8958960.1,458040.5,,,52425.2,395540.1363,136565.5146
00360048,2300 N ST NW,TR 2300 N STREET CORP,2,2300 N Street,2300 N Street,Washington,DC,20037,Office,1986," 304,484 ",105,335.2,36,4047.3,9366857,,,,6847.7,395596.7783,137672.5681
00360859,1201 24TH ST,HYATT EQUITIES LLC,2,Park Hyatt Washington,1201 24th Street NW,Washington,DC,20037,Hotel,1986," 361,400 ",82.9,Not Available,26,3361.6,7058130,58765.777,,,14986.4,395572.8014,137560.4988
00370853,2300 - 2330 M ST NW,MEDICAL FACULTY ASSOCIATES INC,2,2300-2330 M ST,2300-2330 M ST NW,Washington,DC,20037,Office,1984," 161,222 ",56.5,182.6,77,1289.91,2669681.3,,,,2221.4,395614.878,137462.5102
