Record Number,"NYC Borough, Block, and Lot (BBL)",Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Zip Code,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings
12086,1000410001,,1000410001,1001007,,,Manhattan,,BBL not valid,,Not Available,,Not Available,Not Available,N/A,N/A,Not Available,,,,918919,,Office,
14354,4021460028,,,,63-10,108 STREET,Queens,11375,No Submission Matched to BBL,,,,,,Yes,None,,,,,#N/A,82730,,1
12150,2027620097,,2027620097,2006460,,,Bronx,,BBL not valid,,Not Available,,Not Available,Not Available,N/A,N/A,Not Available,,,,64200,,Multifamily Housing,
12590,1006700001,,,,201,11 AVENUE,Manhattan,10001,No Submission Matched to BBL,,,,,,No,None,,,,,#N/A,440360,,1
15591,2048300034,,2048300034,2063117,,,Bronx,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,,50000,,Multifamily Housing,
12135,2006120205,,2-00612-0205,3008876,,,Bronx,,BBL not valid,,Not Available,,Not Available,Not Available,N/A,N/A,Not Available,,,,61800,,Distribution Center,
8523,3050770001,,3-05077-0001,3116471,1600,CATON AVENUE,Brooklyn,11226,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,102198,102198,Multifamily Housing,1
15920,3065710023,,3065710023,3173037,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,174.6,,46620,,Multifamily Housing,
14241,4004490013,,,,44-02,11 STREET,Queens,11101,No Submission Matched to BBL,,,,,,Yes,None,,,,,#N/A,120570,,1
15925,3072240128,,3072240128,3196035,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,,54029,,Multifamily Housing,
9685,3087210375,,3-08721-0375,3245726,1311,BRIGHTWATER AVENUE,Brooklyn,11235,Filed,,Not Available,,Not Available,Not Available,Yes,ABS,Not Available,,,,0,288548,Multifamily Housing,1
