"","zip","Year","Count","MedNormSourceEUI","MedSiteEUI","MedSourceEUI","MedNormSiteEUI","city.x","Borough","Observations","region","city.y","state","latitude","longitude"
"1","10001","2012",NA,147.45,68.85,NA,147.45,"NYC","MANHATTAN",222,"10001","New York","NY",40.750742,-73.99653
"2","10001","2011",NA,161.8,70.35,NA,161.8,"NYC","MANHATTAN",152,"10001","New York","NY",40.750742,-73.99653
"3","10001","2014",NA,151.95,76.45,152.4,151.95,"NYC","MANHATTAN",210,"10001","New York","NY",40.750742,-73.99653
"4","10001","2013",NA,142.55,73.3,141.6,142.55,"NYC","MANHATTAN",223,"10001","New York","NY",40.750742,-73.99653
"5","10002","2012",NA,126.8,73.45,NA,126.8,"NYC","MANHATTAN",56,"10002","New York","NY",40.71704,-73.987
"6","10002","2013",NA,135.05,81.6,134.1,135.05,"NYC","MANHATTAN",49,"10002","New York","NY",40.71704,-73.987
"7","10002","2011",NA,160.4,80.35,NA,160.4,"NYC","MANHATTAN",6,"10002","New York","NY",40.71704,-73.987
"8","10002","2014",NA,141.3,95.5,146.2,141.3,"NYC","MANHATTAN",53,"10002","New York","NY",40.71704,-73.987
"9","10003","2012",NA,150.45,75.75,NA,150.45,"NYC","MANHATTAN",188,"10003","New York","NY",40.732509,-73.98935
"10","10003","2011",NA,182.1,81.85,NA,182.1,"NYC","MANHATTAN",94,"10003","New York","NY",40.732509,-73.98935
"11","10003","2013",NA,152.8,84.6,156.1,152.8,"NYC","MANHATTAN",175,"10003","New York","NY",40.732509,-73.98935
"12","10003","2014",NA,151.65,87.2,156.5,151.65,"NYC","MANHATTAN",193,"10003","New York","NY",40.732509,-73.98935
"13","10004","2013",NA,223.45,98,219.1,223.45,"NYC","MANHATTAN",37,"10004","New York","NJ",40.699226,-74.04118
"14","10004","2014",NA,221.3,99.7,222.8,221.3,"NYC","MANHATTAN",36,"10004","New York","NJ",40.699226,-74.04118
"15","10004","2012",NA,205.25,81.45,NA,205.25,"NYC","MANHATTAN",40,"10004","New York","NJ",40.699226,-74.04118
"16","10004","2011",NA,244.65,94.55,NA,244.65,"NYC","MANHATTAN",24,"10004","New York","NJ",40.699226,-74.04118
"17","10005","2011",NA,232.4,88.9,NA,232.4,"NYC","MANHATTAN",19,"10005","New York","NY",40.706019,-74.00858
"18","10005","2012",NA,184.9,74.1,NA,184.9,"NYC","MANHATTAN",35,"10005","New York","NY",40.706019,-74.00858
"19","10005","2014",NA,178.7,82.1,182.9,178.7,"NYC","MANHATTAN",37,"10005","New York","NY",40.706019,-74.00858
"20","10005","2013",NA,182.4,75.6,178,182.4,"NYC","MANHATTAN",38,"10005","New York","NY",40.706019,-74.00858
"21","10006","2012",NA,169.8,68,NA,169.8,"NYC","MANHATTAN",23,"10006","New York","NY",40.707904,-74.01342
"22","10006","2011",NA,248.7,89,NA,248.7,"NYC","MANHATTAN",9,"10006","New York","NY",40.707904,-74.01342
"23","10006","2013",NA,148.4,71.3,147.8,148.4,"NYC","MANHATTAN",23,"10006","New York","NY",40.707904,-74.01342
"24","10006","2014",NA,179,79.3,183.3,179,"NYC","MANHATTAN",21,"10006","New York","NY",40.707904,-74.01342
"25","10007","2014",NA,155.35,77.9,158.3,155.35,"NYC","MANHATTAN",34,"10007","New York","NY",40.714754,-74.00721
"26","10007","2012",NA,165.1,72.9,NA,165.1,"NYC","MANHATTAN",35,"10007","New York","NY",40.714754,-74.00721
