Region,Country,1960-1964,1965-1969,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009
LAC,Argentina,83,84.7,80.8,82.2,72.4,57.6,45.6,36.4,32,27.5
ANZ,Australia,5.3,6.7,9.4,14,19,20.6,17.8,18,20.1,22.8
WEM,Austria,22.9,31.9,35.5,35.6,36.1,34,31.5,28.3,29.9,39.4
WEM,Bel-Lux,12.9,12.6,16.3,17.5,20.6,22.6,23.5,22.3,23.5,26
LAC,Brazil,2,1.9,1.9,2.4,2.6,1.9,1.7,1.7,1.7,1.8
ECA,Bulgaria,19,24.8,24.1,24.5,23.6,22,20.6,19.9,14.8,6.2
USC,Canada,2.3,2.8,4.6,6.7,8.9,9.4,7.6,7.8,9.7,12.1
LAC,Chile,59.5,48.3,49.7,45.7,44.7,33,21.7,15.9,15.1,15.2
APA,China,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.6
ECA,Croatia,na,na,na,na,na,na,49,43.3,37.5,18.8
WEM,Denmark,3.5,4.5,8.1,12.3,17,21.4,22.7,26.4,29.4,30.8
WEM,Finland,1.7,2.7,4.2,4.7,5,5.2,7.8,11.1,13.7,11.6
WEX,France,124,115.3,106.9,99.1,86.9,75.4,61.8,54.5,55,41.4
ECA,Georgia,na,na,na,na,na,na,31.5,13.6,7.5,6.2
WEM,Germany,14.9,15.7,19,23.6,25.5,23.5,20.9,21.3,23.2,26.3
WEM,Greece,37.2,38.4,38.7,40.1,42.6,30.8,30.9,31.2,27.2,32.4
APA,Hong Kong,na,na,na,na,na,na,na,na,na,na
ECA,Hungary,29.9,34.1,37.5,34.3,31.4,22.7,27.3,27.3,29.3,24.5
APA,India,na,na,na,na,na,na,na,na,na,na
WEM,Ireland,1.4,1.7,2.2,3,2.5,4.1,4.6,7.2,13.6,17.6
WEX,Italy,108.3,113.7,109.8,93.1,84.9,68.7,56.3,48.8,47.7,45.6
APA,Japan,0.2,0.3,0.3,0.5,0.6,0.8,0.9,1.8,2,2
APA,Korea,na,na,na,na,na,na,0,0.2,0.3,0.6
APA,Malaysia,0.1,0,0,0,0.1,0.1,0,0.1,0.1,0.2
LAC,Mexico,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.5
ECA,Moldova,na,na,na,na,na,na,na,na,12.6,7.3
WEM,Netherlands,2.6,4,7.7,11.5,13.8,15.3,16.7,18.7,20,22.3
ANZ,New Zealand,2.3,3.7,7.5,10.1,13.4,15,14.9,15.6,17.6,20.7
APA,Philippines,0,0,0,0,0,0,0,0,0.1,0.1
WEX,Portugal,99.1,102.8,86.8,80.6,78.3,65.6,54.9,49.7,47.2,46.3
ECA,Romania,27.3,27.1,26.7,32.3,28.4,25.8,23,25,20.9,11.8
ECA,Russia,na,na,na,na,na,na,3.6,5.6,5.7,7.7
APA,Singapore,0.2,0.2,0.5,0.8,0.9,0.4,0,0.8,1.1,1.4
AME,South Africa,7.6,8.9,10.2,8.9,8.8,8.9,8.1,8.8,8,7.1
WEX,Spain,60.9,63,68,69.2,57,45.6,33.6,30.3,28.4,26.8
WEM,Sweden,3.9,5,7.2,8.9,10.4,12.3,11.8,12.8,17,19.7
WEM,Switzerland,36.9,39.4,44.9,44.7,49,48.6,43.4,39.7,38.4,38.6
APA,Thailand,0,0,0,0,0,0,0,0.3,0.1,0.1
AME,Turkey,0.6,0.8,0.8,0.5,0.5,0.5,0.5,0.6,0.4,0.9
ECA,Ukraine,na,na,na,na,na,na,2.5,2.5,3.3,5.6
WEM,United Kingdom,2,2.6,4.2,6,8.1,10.9,11.2,12.8,19.4,22.3
LAC,Uruguay,28.4,27.3,25.5,25,28,24.3,24.9,28,25.8,25.4
USC,USA,3.4,3.9,5.7,6.9,8.3,8.7,7.2,7.4,8,8.7
