Region,Country,1960-1964,1965-1969,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009
LAC,Argentina,0,2,6,34,17,17,27,144,94,319
ANZ,Australia,8,9,7,6,8,27,107,283,468,743
WEM,Austria,2,2,16,24,47,9,16,27,66,61
WEM,Bel-Lux,3,6,8,12,15,12,16,21,55,71
LAC,Brazil,0,0,0,2,1,2,6,12,4,9
ECA,Bulgaria,79,154,207,243,286,215,98,169,82,96
USC,Canada,0,0,0,0,0,0,0,2,3,5
LAC,Chile,7,4,4,12,14,17,80,187,355,554
APA,China,0,0,0,0,0,1,4,3,3,5
ECA,Croatia,0,0,0,0,0,0,15,13,8,3
WEM,Denmark,0,0,1,2,2,4,3,6,29,38
WEM,Finland,0,0,0,0,0,0,0,0,0,2
WEX,France,378,348,545,720,966,1290,1259,1532,1504,1397
ECA,Georgia,0,0,0,0,0,0,2,10,18,17
WEM,Germany,16,23,53,125,238,272,280,243,254,332
WEM,Greece,27,67,86,88,27,91,62,56,28,29
APA,Hong Kong,0,0,0,0,0,0,0,9,1,5
ECA,Hungary,43,76,127,183,239,205,106,106,70,58
APA,India,0,0,0,0,0,0,0,0,0,1
WEM,Ireland,0,0,0,0,0,0,0,2,1,1
WEX,Italy,169,196,913,1324,1642,1274,1275,1622,1502,1794
APA,Japan,0,0,1,0,0,0,1,0,1,0
APA,Korea,0,0,0,0,0,0,0,0,0,0
APA,Malaysia,0,0,0,0,0,0,0,0,0,6
LAC,Mexico,0,0,0,1,0,0,1,2,1,1
ECA,Moldova,0,0,0,0,0,0,95,110,164,130
WEM,Netherlands,0,23,20,2,5,7,11,15,12,19
ANZ,New Zealand,0,0,0,0,1,2,7,20,47,87
APA,Philippines,0,0,0,0,0,0,0,0,0,0
WEX,Portugal,178,251,200,168,145,159,199,168,236,279
ECA,Romania,30,53,78,85,84,42,25,51,39,17
ECA,Russia,9,11,19,13,15,36,4,4,1,4
APA,Singapore,0,0,0,0,0,0,0,2,4,10
AME,South Africa,18,15,13,9,11,8,18,na,205,397
WEX,Spain,178,245,371,505,549,500,658,732,1017,1254
WEM,Sweden,0,0,0,0,0,0,0,1,4,4
WEM,Switzerland,1,1,1,1,1,2,2,1,6,3
APA,Thailand,0,0,0,0,0,0,0,1,2,3
AME,Turkey,2,5,5,4,4,3,3,5,6,5
ECA,Ukraine,0,0,0,0,0,0,1,32,15,28
WEM,United Kingdom,5,6,10,17,11,7,8,30,22,40
LAC,Uruguay,0,2,1,5,3,0,0,na,1,7
USC,USA,1,2,3,10,31,37,87,203,309,374
