Region,Country,1960-1964,1965-1969,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009
LAC,Argentina,0,0,0,4,1,0,11,6,2,3
ANZ,Australia,0,1,3,7,8,11,9,20,16,45
WEM,Austria,40,35,40,39,25,32,26,54,62,68
WEM,Bel-Lux,73,99,131,157,190,200,226,201,577,652
LAC,Brazil,1,1,3,7,4,7,12,26,35,53
ECA,Bulgaria,1,8,12,21,13,1,13,17,3,9
USC,Canada,12,18,40,86,127,137,144,183,253,309
LAC,Chile,0,0,0,4,3,0,0,5,1,5
APA,China,0,0,0,0,0,0,0,26,36,131
ECA,Croatia,0,0,0,0,0,0,5,5,8,14
WEM,Denmark,13,19,36,58,81,109,131,134,121,200
WEM,Finland,4,7,12,11,11,14,25,31,47,61
WEX,France,1325,681,766,770,663,530,568,564,507,552
ECA,Georgia,0,0,0,0,0,0,0,1,0,1
WEM,Germany,453,558,773,903,1108,993,1016,1143,1207,1380
WEM,Greece,0,0,14,0,0,2,6,6,13,16
APA,Hong Kong,0,0,0,0,0,0,1,16,11,24
ECA,Hungary,13,26,20,26,32,48,13,3,5,13
APA,India,0,0,0,0,0,0,0,0,0,2
WEM,Ireland,4,5,6,8,11,14,19,25,69,66
WEX,Italy,7,12,48,22,17,56,60,57,106,164
APA,Japan,1,0,12,20,40,58,77,174,198,169
APA,Korea,0,0,0,0,0,0,1,6,12,25
APA,Malaysia,0,0,0,0,0,0,0,7,5,9
LAC,Mexico,1,1,2,4,5,5,15,30,24,37
ECA,Moldova,0,0,0,0,0,0,1,9,16,8
WEM,Netherlands,22,65,112,150,191,224,246,238,291,338
ANZ,New Zealand,1,1,2,2,3,4,18,31,51,41
APA,Philippines,0,0,0,0,0,0,0,3,7,10
WEX,Portugal,0,0,0,12,0,37,39,66,159,131
ECA,Romania,2,3,2,10,4,1,26,7,1,32
ECA,Russia,73,279,740,708,729,348,222,299,205,315
APA,Singapore,0,0,0,0,0,0,1,7,12,21
AME,South Africa,2,2,2,2,2,1,1,na,18,5
WEX,Spain,0,0,20,1,1,6,22,122,40,55
WEM,Sweden,30,37,56,73,82,102,119,121,143,176
WEM,Switzerland,141,165,213,209,243,210,180,187,183,183
APA,Thailand,0,0,0,0,0,0,0,5,6,8
AME,Turkey,0,0,0,0,0,0,0,0,0,1
ECA,Ukraine,0,0,0,0,0,0,12,23,10,34
WEM,United Kingdom,106,145,241,319,424,607,741,964,1106,1282
LAC,Uruguay,0,0,0,0,0,0,1,na,3,2
USC,USA,41,57,146,250,444,352,254,375,545,853
