Region,Country,1960-1964,1965-1969,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009
LAC,Argentina,1905,2092,2215,2436,2198,1918,1511,1424,1399,1450
ANZ,Australia,164,171,281,353,399,439,469,677,1163,1250
WEM,Austria,171,204,231,287,326,246,267,233,255,250
WEM,Bel-Lux,15,13,17,12,15,16,17,14,28,25
LAC,Brazil,153,135,173,250,281,310,309,271,313,323
ECA,Bulgaria,321,369,326,340,452,336,225,215,152,189
USC,Canada,32,44,60,50,49,39,34,39,44,47
LAC,Chile,490,453,505,540,709,401,349,436,619,847
APA,China,0,0,0,0,0,33,392,739,381,686
ECA,Croatia,0,0,0,0,0,0,151,207,194,79
WEM,Denmark,0,0,0,0,0,0,0,0,0,0
WEM,Finland,0,0,0,0,0,0,0,0,0,0
WEX,France,6004,6272,7057,6661,6745,6609,5622,5759,5351,4777
ECA,Georgia,0,0,0,0,0,0,125,76,61,99
WEM,Germany,519,558,819,871,965,954,1080,972,943,957
WEM,Greece,352,421,518,528,517,454,360,418,380,394
APA,Hong Kong,0,0,0,0,0,0,0,0,0,0
ECA,Hungary,405,421,493,514,539,409,426,393,446,323
APA,India,0,0,0,0,0,0,0,1,1,6
WEM,Ireland,0,0,0,0,0,0,0,0,0,0
WEX,Italy,6056,6896,6937,7128,7679,6747,6106,5615,4964,4823
APA,Japan,29,34,17,20,51,53,54,95,106,91
APA,Korea,0,0,0,0,0,0,0,1,1,1
APA,Malaysia,0,0,0,0,0,0,0,0,0,0
LAC,Mexico,7,8,12,11,20,19,147,143,106,50
ECA,Moldova,0,0,0,0,0,0,321,160,193,194
WEM,Netherlands,0,1,1,1,1,1,0,0,0,0
ANZ,New Zealand,6,10,25,34,43,47,44,56,75,159
APA,Philippines,0,0,0,0,0,0,0,0,0,0
WEX,Portugal,1242,1080,1086,922,916,813,797,673,735,648
ECA,Romania,559,631,753,818,826,806,536,636,578,492
ECA,Russia,558,1956,2751,3032,3403,2490,669,227,352,494
APA,Singapore,0,0,0,0,0,0,0,0,0,0
AME,South Africa,344,456,511,581,865,815,754,795,775,967
WEX,Spain,2577,2597,3141,3262,3582,3255,3023,2951,3888,3576
WEM,Sweden,0,0,0,0,0,0,0,0,0,0
WEM,Switzerland,81,85,103,104,125,126,123,119,116,105
APA,Thailand,0,0,0,0,0,0,0,0,0,0
AME,Turkey,34,45,43,40,39,32,26,33,25,24
ECA,Ukraine,0,0,0,0,0,0,128,153,198,224
WEM,United Kingdom,0,0,0,0,0,1,2,2,1,1
LAC,Uruguay,78,82,73,69,69,77,86,98,89,90
USC,USA,700,799,1135,1557,1763,1736,1706,2065,2234,2501
