"","BaID","Licencee","Licence","FieldCentre","ActivityStartDate","Number","From","To","Length","fLat","fLong","tLat","tLong","Date","YearMonth","County.From","County.To"
"1","A28L","Athabasca Oil Sands Corp.",53815,"St. Albert","01 Jan 2012",1,"05-32-062-20W5","07-14-063-20W5",7.13,54.4591296516935,-112.340631534189,54.4813782838462,-113.31612475432,2012-01-01,"12-01-01","Smoky Lake County","Athabasca County No. 12"
"2","A28L","Athabasca Oil Sands Corp.",53815,"St. Albert","01 Jan 2012",2,"14-31-062-21W5","05-32-062-20W5",11.18,54.4641062142505,-112.459262910345,54.4591296516935,-112.340631534189,2012-01-01,"12-01-01","Smoky Lake County","Smoky Lake County"
"3","A28L","Athabasca Oil Sands Corp.",53815,"St. Albert","01 Jan 2012",3,"03-05-063-22W5","14-31-062-21W5",9.93,54.4460229239939,-113.4275348612,54.4641062142505,-112.459262910345,2012-01-01,"12-01-01","Athabasca County No. 12","Smoky Lake County"
"4","A28L","Athabasca Oil Sands Corp.",53815,"St. Albert","01 Jan 2012",4,"03-04-063-23W5","03-05-063-22W5",8.39,54.4425870622874,-113.552059318351,54.4460229239939,-113.4275348612,2012-01-01,"12-01-01","Athabasca County No. 12","Athabasca County No. 12"
"5","A28L","Athabasca Oil Sands Corp.",53815,"St. Albert","01 Jan 2012",5,"04-31-062-24W5","03-04-063-23W5",12.19,54.4459622085315,-112.968324618251,54.4425870622874,-113.552059318351,2012-01-01,"12-01-01","Thorhild County No. 7","Athabasca County No. 12"
"6","0G30","ARC Resources Ltd.",16230,"Drayton Valley","10 Jan 2012",12,"13-18-048-08W5","12-18-048-08W5",0.24,53.2364229467272,-110.819730956433,53.2363829625733,-110.825745783604,2012-01-10,"12-01-01","Vermilion River County No. 24","Vermilion River County No. 24"
"7","0G30","ARC Resources Ltd.",16230,"Drayton Valley","10 Jan 2012",13,"13-18-048-08W5","12-18-048-08W5",0.24,53.2364229467272,-110.819730956433,53.2363829625733,-110.825745783604,2012-01-10,"12-01-01","Vermilion River County No. 24","Vermilion River County No. 24"
"8","0144","ATCO Gas and Pipelines Ltd. (SOUTH)",2594,"St. Albert","04 Jan 2012",267,"08-21-053-25W4","08-21-053-25W4",0.04,53.6263290265418,-113.348659569706,53.6263290265418,-113.348659569706,2012-01-04,"12-01-01","Edmonton","Edmonton"
"9","0144","ATCO Gas and Pipelines Ltd. (SOUTH)",2594,"St. Albert","04 Jan 2012",268,"08-21-053-25W4","08-21-053-25W4",0.04,53.6263290265418,-113.348659569706,53.6263290265418,-113.348659569706,2012-01-04,"12-01-01","Edmonton","Edmonton"
"10","A5E0","Bellatrix Exploration Ltd.",5443,"Drayton Valley","04 Jan 2012",49,"02-25-048-09W5","10-25-048-09W5",1.01,53.2278349825167,-111.916686116577,53.2343017397399,-111.965105789635,2012-01-04,"12-01-01","Beaver County","Beaver County"
"11","0HE9","Canadian Natural Resources Limited",31471,"Grande Prairie","04 Jan 2012",10,"14-27-072-08W6","02-27-072-08W6",1.68,55.3318649850087,-111.836536616871,55.3199327756505,-111.911858437812,2012-01-04,"12-01-01","Lakeland County","Lakeland County"
"12","A5D4","Cenovus Energy Inc.",43648,"Midnapore","06 Jan 2012",27,"14-32-026-18W4","02-32-026-18W4",1.55,51.3357913664722,-111.850452308904,51.3238665508686,-111.919183749617,2012-01-06,"12-01-01","Special Area No. 2","Special Area No. 2"
"13","A5D4","Cenovus Energy Inc.",52116,"Midnapore","03 Jan 2012",20,"11-25-019-15W4","04-25-019-15W4",0.9,50.6912621677091,-112.687920311514,50.689053834634,-112.625188572588,2012-01-03,"12-01-01","Vulcan County","Vulcan County"
"14","A5D4","Cenovus Energy Inc.",52116,"Midnapore","03 Jan 2012",21,"11-25-019-15W4","04-25-019-15W4",0.9,50.6912621677091,-112.687920311514,50.689053834634,-112.625188572588,2012-01-03,"12-01-01","Vulcan County","Vulcan County"
"15","A5D4","Cenovus Energy Inc.",52116,"Midnapore","03 Jan 2012",22,"01-26-019-15W4","04-25-019-15W4",0.55,50.6848120161889,-112.653295119527,50.689053834634,-112.625188572588,2012-01-03,"12-01-01","Vulcan County","Vulcan County"
"16","A5D4","Cenovus Energy Inc.",52116,"Midnapore","03 Jan 2012",23,"01-26-019-15W4","04-25-019-15W4",0.55,50.6848120161889,-112.653295119527,50.689053834634,-112.625188572588,2012-01-03,"12-01-01","Vulcan County","Vulcan County"
"17","A5D4","Cenovus Energy Inc.",53780,"Medicine Hat","05 Jan 2012",1,"16-36-014-14W4","16-01-015-14W4",2.68,50.2883422550487,-112.804443342643,50.3053362165043,-112.019028194072,2012-01-05,"12-01-01","Vulcan County","Newell County No. 4"
"18","A5D4","Cenovus Energy Inc.",53780,"Medicine Hat","05 Jan 2012",2,"16-36-014-14W4","16-01-015-14W4",2.68,50.2883422550487,-112.804443342643,50.3053362165043,-112.019028194072,2012-01-05,"12-01-01","Vulcan County","Newell County No. 4"
"19","A5D4","Cenovus Energy Inc.",53781,"Medicine Hat","05 Jan 2012",1,"16-01-015-14W4","16-36-014-14W4",2.69,50.3053362165043,-112.019028194072,50.2883422550487,-112.804443342643,2012-01-05,"12-01-01","Newell County No. 4","Vulcan County"
"20","A162","Daylight Energy Ltd.",53617,"Grande Prairie","04 Jan 2012",4,"01-36-068-09W6","01-31-068-08W6",1.92,54.9942713901429,-112.266468100814,54.9986028068092,-110.59274021804,2012-01-04,"12-01-01","Lakeland County","Lakeland County"
"21","A162","Daylight Energy Ltd.",53827,"Drayton Valley","04 Jan 2012",1,"01-26-057-19W5","01-26-057-19W5",0.4,53.9797321898082,-113.446270167051,53.9797321898082,-113.446270167051,2012-01-04,"12-01-01","Sturgeon County","Sturgeon County"
