Year,Leading.Cause,Sex,Race_Ethnicity,Deaths,Death.Rate,Age.Adjusted.Death.Rate,Population,TotalMortality,PrematureDeathsPercent,InfantMortality,MotorVehicleMortality,UnintentionalInjuryMortality,UnintentionalInjuryHospitalizations,PoisoningHospitalizations,FallHospitalizations,AsthmaHospitalizations,AsthmaHospitalizationsBelow17,ChronicLowerRespiratoryDiseaseMortality,ChronicLowerRespiratoryDiseaseHospitalizations,DiabetesMortality,DiabetesPrimaryDiagnosisHospitalizations,DiabetesAnyDiagnosisHospitalizations,DiabetesShortTermComplicationsHospitalizations,DiabetesShortTermComplicationsHospitalizations18Up,LungCancerIncidence,ColorectalCancerMortality,ColorectalCancerIncidence,FemaleBreastCancerMortality,FemaleLateStageBreastCancerIncidence,CervixUteriCancerMortality,CervicalCancerIncidence,DrugRelatedHospitalizations,SuicideMortality,HeartDiseaseMortality,HeartDiseaseHospitalizations,CerebrovascularDiseaseStrokeMortality,CerebrovascularDiseaseStrokeHospitalizations,CoronaryHeartDiseaseMortality,CoronaryHeartDiseaseHospitalizations,CongestiveHeartFailureMortality,CongestiveHeartFailureHospitalizations,YearsOfPotentialLifeLost
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,32,6.2,7.6,1231999,360.7,46.5,2.2,3.3,10.6,24.8,2.3,84.3,5.6,9.2,12.1,9.8,13.2,5,100.7,0.5,0.9,45,10.7,34.2,8.9,30,1.9,9.5,1.9,5.4,98.1,36.1,18.8,11.6,87.9,17.1,2.3,7.6,2735
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Black Non-Hispanic,87,8.3,8.1,1961163,696.7,56.4,7.3,3.9,18,54.9,13.5,94.9,44.1,74.6,21.3,57.1,36.6,37.3,336.3,5,13.5,49.7,18.3,44.7,27.8,50.3,4.8,11.6,33.8,3.5,215.5,106.8,24.2,29.1,191.1,29.7,5.7,39.2,7797
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,71,6.1,7.1,2460898,509.1,53.7,3.6,3.6,17.9,47.9,8.9,110.1,33.8,44.3,17.7,44.2,21.8,22.6,250.6,3,6.9,33,13.6,34.2,15.5,34.4,3.3,9.6,22.6,4.4,143.8,73.6,20.1,17.5,128.3,26.9,4.1,22.5,4228
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,162,11.3,7.3,2809904,579,32.3,2.6,2.8,22.3,55.3,8.2,211.5,7.8,8.9,22.4,19.6,12.8,10,138.1,1.1,2.5,59,14.2,42,21.7,46.7,1.9,7.1,20.8,8.1,194.8,70.4,16.4,15.4,174.4,25.6,5.8,16.4,4551
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,53,11,13,1231999,360.7,46.5,2.2,3.3,10.6,24.8,2.3,84.3,5.6,9.2,12.1,9.8,13.2,5,100.7,0.5,0.9,45,10.7,34.2,8.9,30,1.9,9.5,1.9,5.4,98.1,36.1,18.8,11.6,87.9,17.1,2.3,7.6,2735
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,158,18.5,20.6,1961163,696.7,56.4,7.3,3.9,18,54.9,13.5,94.9,44.1,74.6,21.3,57.1,36.6,37.3,336.3,5,13.5,49.7,18.3,44.7,27.8,50.3,4.8,11.6,33.8,3.5,215.5,106.8,24.2,29.1,191.1,29.7,5.7,39.2,7797
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,154,14.1,17.4,2460898,509.1,53.7,3.6,3.6,17.9,47.9,8.9,110.1,33.8,44.3,17.7,44.2,21.8,22.6,250.6,3,6.9,33,13.6,34.2,15.5,34.4,3.3,9.6,22.6,4.4,143.8,73.6,20.1,17.5,128.3,26.9,4.1,22.5,4228
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,297,22.2,19.8,2809904,579,32.3,2.6,2.8,22.3,55.3,8.2,211.5,7.8,8.9,22.4,19.6,12.8,10,138.1,1.1,2.5,59,14.2,42,21.7,46.7,1.9,7.1,20.8,8.1,194.8,70.4,16.4,15.4,174.4,25.6,5.8,16.4,4551
2007,All Other Causes,F,Asian and Pacific Islander,182,35.3,44.6,1231999,360.7,46.5,2.2,3.3,10.6,24.8,2.3,84.3,5.6,9.2,12.1,9.8,13.2,5,100.7,0.5,0.9,45,10.7,34.2,8.9,30,1.9,9.5,1.9,5.4,98.1,36.1,18.8,11.6,87.9,17.1,2.3,7.6,2735
2007,All Other Causes,F,Black Non-Hispanic,1230,116.8,113.4,1961163,696.7,56.4,7.3,3.9,18,54.9,13.5,94.9,44.1,74.6,21.3,57.1,36.6,37.3,336.3,5,13.5,49.7,18.3,44.7,27.8,50.3,4.8,11.6,33.8,3.5,215.5,106.8,24.2,29.1,191.1,29.7,5.7,39.2,7797
2007,All Other Causes,F,Hispanic,820,70.2,85.6,2460898,509.1,53.7,3.6,3.6,17.9,47.9,8.9,110.1,33.8,44.3,17.7,44.2,21.8,22.6,250.6,3,6.9,33,13.6,34.2,15.5,34.4,3.3,9.6,22.6,4.4,143.8,73.6,20.1,17.5,128.3,26.9,4.1,22.5,4228
2007,All Other Causes,F,White Non-Hispanic,1680,117.1,81.5,2809904,579,32.3,2.6,2.8,22.3,55.3,8.2,211.5,7.8,8.9,22.4,19.6,12.8,10,138.1,1.1,2.5,59,14.2,42,21.7,46.7,1.9,7.1,20.8,8.1,194.8,70.4,16.4,15.4,174.4,25.6,5.8,16.4,4551
2007,All Other Causes,M,Asian and Pacific Islander,221,45.7,61.2,1231999,360.7,46.5,2.2,3.3,10.6,24.8,2.3,84.3,5.6,9.2,12.1,9.8,13.2,5,100.7,0.5,0.9,45,10.7,34.2,8.9,30,1.9,9.5,1.9,5.4,98.1,36.1,18.8,11.6,87.9,17.1,2.3,7.6,2735
2007,All Other Causes,M,Black Non-Hispanic,1163,136.5,162.4,1961163,696.7,56.4,7.3,3.9,18,54.9,13.5,94.9,44.1,74.6,21.3,57.1,36.6,37.3,336.3,5,13.5,49.7,18.3,44.7,27.8,50.3,4.8,11.6,33.8,3.5,215.5,106.8,24.2,29.1,191.1,29.7,5.7,39.2,7797
2007,All Other Causes,M,Hispanic,988,90.6,142.6,2460898,509.1,53.7,3.6,3.6,17.9,47.9,8.9,110.1,33.8,44.3,17.7,44.2,21.8,22.6,250.6,3,6.9,33,13.6,34.2,15.5,34.4,3.3,9.6,22.6,4.4,143.8,73.6,20.1,17.5,128.3,26.9,4.1,22.5,4228
2007,All Other Causes,M,White Non-Hispanic,1749,130.7,115.9,2809904,579,32.3,2.6,2.8,22.3,55.3,8.2,211.5,7.8,8.9,22.4,19.6,12.8,10,138.1,1.1,2.5,59,14.2,42,21.7,46.7,1.9,7.1,20.8,8.1,194.8,70.4,16.4,15.4,174.4,25.6,5.8,16.4,4551
