date,url,venue,artist
"<time datetime=""2017-02-02""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Knitting Factory,Don Giovanni Records Showcase 2017
"<time datetime=""2017-02-03""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Madison Square Garden,The Lumineers
"<time datetime=""2017-02-03T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Terminal 5,AFI
"<time datetime=""2017-02-03T22:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Webster Hall,Keys N Krates (DJ set)
"<time datetime=""2017-02-03T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Music Hall of Williamsburg,Bear's Den
"<time datetime=""2017-02-04T18:30:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,Hollywood Palladium,"Juicy J, Project Pat, and Belly (CAN)"
"<time datetime=""2017-02-04T19:00:00-0600""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,Portage Theater,Riff Raff
"<time datetime=""2017-02-04T18:00:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Billy Bob's Texas,Ryan Bingham
"<time datetime=""2017-01-28""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Discovery Green,Super Bowl LIVE at Discovery Green 2017
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/1409-us-washington,The Theater at Mgm National Harbor,"Warren Haynes, Michael McDonald, Jamey Johnson, John Medeski, Don Was, and Terence Higgins"
"<time datetime=""2017-02-04T21:00:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,Union Transfer,Isaiah Rashad
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,Cox Capitol Theatre,Corey Smith
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/9776-us-miami,"Maurice Gusman Concert Hall, University of Miami",Bruce Hornsby
"<time datetime=""2017-02-03""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Marquee,Dash Berlin
"<time datetime=""2017-02-03T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,City Winery,Josh Ritter
"<time datetime=""2017-02-03""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,NYCB Theatre at Westbury,"Warren Haynes, Michael McDonald, Jamey Johnson, John Medeski, Don Was, and Terence Higgins"
"<time datetime=""2017-02-03T21:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,The Bowery Ballroom,Delicate Steve
"<time datetime=""2017-02-03T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Rough Trade NYC,The Chain Gang of 1974
"<time datetime=""2017-02-03T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Sunnyvale - Brooklyn,Woods
"<time datetime=""2017-02-03T22:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Output,"DJ Tennis, Axel Boman, Red Axes, and Joakim"
"<time datetime=""2017-02-04T21:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,Heat Ultra Lounge,Trey Songz
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,Fox Theater,Rebelution
"<time datetime=""2017-02-04T19:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,The Wiltern,"Dashboard Confessional, Vinyl Theatre, and This Wild Life"
"<time datetime=""2017-02-04T21:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,Teragram Ballroom,Ty Segall
"<time datetime=""2017-02-04T22:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,Create Nightclub,Armin van Buuren
"<time datetime=""2017-02-04T20:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,The Novo by Microsoft,DVBBS
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,Civic Opera House,The Handsome Family
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,Lincoln Hall,Cate Le Bon
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,Smartbar,Matthew Dear
"<time datetime=""2017-02-04T22:00:00-0600""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,Primary Night Club,Mark Farina and Gene Farris
"<time datetime=""2017-02-04T21:00:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Club Dada,Cold Cave
"<time datetime=""2017-02-04T21:00:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Curtain Club,July Talk
"<time datetime=""2017-02-04T18:30:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Majestic Theatre,Gabriel Iglesias
"<time datetime=""2017-02-04T22:30:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Sundown at Granada,Jeffrey Foucault
"<time datetime=""2017-02-04T20:00:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Gas Monkey Bar N Grill,The Legendary Shack Shakers
"<time datetime=""2017-02-04T19:00:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Kessler Theater,Terry Allen
"<time datetime=""2017-02-04T20:00:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Trees,Geoff Tate
"<time datetime=""2017-02-04T22:00:00-0600""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Clé,Skrillex
"<time datetime=""2017-02-04T22:00:00-0600""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Spire,Flo Rida
"<time datetime=""2017-02-04T21:00:00-0600""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Stereo Live,Krewella
"<time datetime=""2017-02-04T14:00:00-0600""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Mercy Night Club,Fabolous
"<time datetime=""2017-02-04T19:00:00-0600""></time>",https://www.songkick.com/metro_areas/15073-us-houston,The Heights Theater,Robert Earl Keen
