,Age Group,Lattitude,Longitude,Product Brand,ORDER.ID,Product.Name,Price...AED..,Description
1,9.00 ,31.170362,120.661995,XYZ,3DXYZCP2ADV,3D Printer Advance Classroom pack,32000,"This classroom pack consist of 
10 No of Da Vinci Jr. 1.0
2 No of Da Vinci Jr 1.0 3 in 1
1 No of 3D Scanner
20 no PLA Filaments

Da Vinci Jr 1.0.."
2,9.00 ,31.170362,120.661995,XYZ,3DXYZCP1,3D Printer Classroom pack,23600,"This classroom pack consist of: 
9 No of Da Vinci Jr. 1.0
1 No of 3D Scanner
18 no PLA Filaments

Da Vinci Jr 1.0 is Print smart, Print Green pri.."
3,6.00 ,55.732771,9.119231,LEGOEducation,45110,BuildToExpress Core Set,213,"The set includes over 200 LEGO elements in a separate storage unit. They have been carefully selected to provide a broad spectrum of ""ready-made metap.."
4,6.00 ,55.732771,9.119231,LEGOEducation,2045110,BuildToExpress Guide & Activity Pack,581,"Contains practical guidance on introducing and working with the BuildToExpress concept. Enables you to hear other teachers' experiences, and includes .."
5,10.00 ,31.17036,120.662,XYZ,3FM1XXAE00K,da Vinci Minimaker,1500,"*Printers would be available in 4 - 6 weeks*

The da Vinci miniMaker uses an intuitive auto-calibration system that adjusts the extruder and print b.."
6,5.00 ,50.120579,14.122844,LEGOEducation,45120,LearnToLearn Core Set and Curriculum,554,"LearnToLearn comes with the components needed to create 28 identical kits, each containing the same selection of 72 LEGO elements that students use to.."
7,7.00 ,50.120579,14.122844,LEGOEducation,45300,"LEGO® Education WeDo 2.0 Core Set, Software, and Get Started Project",837,"Designed for elementary classrooms, the WeDo 2.0 Core Set, Software, and Get Started Project is a hands-on solution that ignites students’ curiosity, .."
8,6.00 ,50.120579,14.122844,LEGOEducation,45210,MoreToMath,314,"The MoreToMath Core Set 1-2, when used with the MoreToMath Curriculum Pack 1-2, enables students in first and second grade to build and practice the c.."
9,6.00 ,50.120579,14.122844,LEGOEducation,2045210,MoreToMath Curriculum Pack 1-2,641,"Built upon curriculum standards for mathematics, the MoreToMath Curriculum Pack 1 -2 aids educators in first and second grade in creating engaging les.."
10,0.00 ,51.534674,-0.055809,SAM's,SAM-CURIOKIT,Sam Lab's Curious kit,1030,"Program your SAM racer to roll any way you wish using the SAM Space app - choose the speed, the control mechanisms, the direction and more. Discover l.."
11,7.00 ,51.534674,-0.055809,SAM's,SAM-INVENTOR,Sam Lab's Inventor kit,740,"Inventor lets you s-t-r-e-t-c-h your imagination. Use SAM Blocks and the SAM Space app to build awesome projects, games, inventions and hacks. Super Q.."
12,6.00 ,47.949128,21.645681,LEGOEducation,45100,StoryStarter Core Set,648,"Designed for use in second through fifth grades, LEGO®Education StoryStarter is a hands-on learning tool that enhances students’ reading, writing, spe.."
13,6.00 ,47.949128,21.645681,LEGOEducation,2045100,StoryStarter Curriculum Pack and StoryVisualizer Software,565,"The solution also includes a Curriculum Pack and StoryVisualizer software to introduce the 24 activities, which encompass a wide range of the English .."
14,7.00 ,47.949128,21.645681,LEGOEducation,9580,LEGO® Education WeDo Construction Set,727,The WeDo Construction Set enables students to build and program simple LEGO models that are plugged into a computer. The set contains more than 150 el..
15,7.00 ,47.949128,21.645681,LEGOEducation,9585,LEGO® Education WeDo Resource Set,329,Features extra and new elements for building large WeDo models that provide even more learning opportunities. Combine with 9580 WeDo Construction Set ..
16,7.00 ,47.949128,21.645681,LEGOEducation,2000097,LEGO® Education WeDo Software v.1.2 and Activity Pack,506,"Easy-to-use software and 12 theme-based activities for the WeDo Construction Set in one package! The drag-and-drop software, powered by LabVIEW, is ic.."
17,5.00 ,47.949128,21.645681,LEGOEducation,9656,Early Simple Machines Set,821,"The Early Machines Set provides eight mechanical models and eight double-sided, full-colour building instructions. The set includes gears, levers, pul.."
18,8.00 ,47.949128,21.645681,LEGOEducation,9686,Simple & Powered Machines Set,885,"The core brick set in our range of Machines & Mechanisms solutions, this set includes full-colour building instruction booklets for 10 principle m.."
19,7.00 ,47.949128,21.645681,LEGOEducation,9689,Simple Machines Set,327,"Features 16 principle models, four main models and four problem-solving mdoels that enable students to investigate and understand the operation of sim.."
20,8.00 ,47.949128,21.645681,LEGOEducation,2009686,Introducing Simple & Powered Machines,630,"With this activity pack students get a fundamental understanding of simple machines, structures and mechanisms. The pack features 37 principle model a.."
21,10.00 ,47.949128,21.645681,LEGOEducation,2009687,Advancing with Simple & Powered Machines,377,"This activity pack allows students to get an in-depth understanding of simple machines, mechanisms, structures and mechanical advantage. It includes 3.."
22,7.00 ,47.949128,21.645681,LEGOEducation,2009689,Activity Pack for Simple Machines Set,328,"Features 16 principle activities, four main activities and four problem-solving activities. Enables students to recognise simple machines in everyday .."
23,5.00 ,47.949128,21.645681,LEGOEducation,ASAP002 ,Primary School Package,29500,The Primary package provides a motivating and effective learning experience where students are empowered to engage and become part of the learning pro..
24,3.00 ,47.949128,21.645681,LEGOEducation,ASAW006 ,Whole School Package,96500,"The ATLAB STEM Academy curriculum provides integrated hands-on activities aimed at making difficult Science and Maths concepts concrete.

Though the.."
25,8.00 ,47.949128,21.645681,LEGOEducation,2009585,LEGO® Education WeDo 8+ Projects Curriculum Pack,362,Take learning with LEGO® Education WeDo to the next level with this fun and challenging Amusement Park and Construction Site themed set. Using the dra..
26,9.00 ,31.17036,120.661995,XYZ,3DXYZCP2ADV,3D Printer Advance Classroom pack,192,"This classroom pack consist of 
10 No of Da Vinci Jr. 1.0
2 No of Da Vinci Jr 1.0 3 in 1
1 No of 3D Scanner
20 no PLA Filaments

Da Vinci Jr 1.0.."
27,9.00 ,31.17036,120.661995,XYZ,3DXYZCP1,3D Printer Classroom pack,377,"This classroom pack consist of: 
9 No of Da Vinci Jr. 1.0
1 No of 3D Scanner
18 no PLA Filaments

Da Vinci Jr 1.0 is Print smart, Print Green pri.."
28,12.00 ,31.17036,120.661995,XYZ,3F1AWXAE00G,Da Vinci 1.0 Pro,512,The da Vinci Pro allows you to adjust the temperature settings for the extruder nozzle and aluminum print bed which makes it compatible with third-par..
29,12.00 ,31.17036,120.661995,XYZ,3F20AXAE00K,da Vinci 2.0A Duo ,236,da Vinci 2.0A Duo features two extruders allowing you to create multi-colour projects using the 13 filament colours available in easy-to-install cartr..
