"company","position","salary","worklife","compensation","jobsecurity","management","culture","company.x","review","company.y","position","company.x.1","pro","company.y.1","con"
"1st Merchant Funding",NA,NA,4.3,4,3.8,3.3,3.3,"The Washington Post","the most enjoyable part of the job is the broad subject matter. a typical day at work can include a variety of issue areas, and employees have a lot of opportunity","The Washington Post","Research Analyst","The Washington Post","Fun place to work","The Washington Post","Paid only .10 per newspaper had to deliver 1000 newspaper to make hundred dollars a day, which would kill you transmission."
"2K Games","Quality Assurance Tester",10.9,3.8,3.4,2.8,3.8,3.8,"The Washington Post",",Typical day at work I collect the money for a distributor from all the stores in the downtown area","Paycom",",Corporate","UPMC",",free food","Allstate Insurance",",30 min lunches"
"2K Games","Customer Service Representative",17.49,3.8,3.4,2.8,3.8,3.8,"JPMorgan Chase",",Management","Blizzard Entertainment",",Customer Service Representative","City and County of Denver","Coaching youth by giving them direction in their lives","CDPHP",",nothing"
"3M","Material Handler",12.87,3.9,3.9,3.5,3.7,3.9,"Harris Corporation",",Management uneven in how the treat each employee, and with how much they demand from each employee.","Florida Blue",",Bilingual Insurance Agent","Synchrony Financial",",Free Lunches","HMS",",The minimum wage is very low"
"3M","Operator",14.65,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Area worked in was a shared space and always neat and presentable.",NA,NA,NA,NA,NA,NA
"3M","Machine Operator",14.12,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Friendly and engaging team members to assist with innovation and problem solving.",NA,NA,NA,NA,NA,NA
"3M","Senior Engineer",99843,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",I attend the University of Pennsylvania and am having a great experience so far. The professors are distinguished and passionate about their subjects and I really enjoy my classes.",NA,NA,NA,NA,NA,NA
"3M","Senior Research Engineer",98890,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",I loved working here but unfortunately was hired for a temporary position and have not had the chance to advance to a permanent placement.",NA,NA,NA,NA,NA,NA
"3M","Shipping and Receiving Clerk",15.36,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Good benefits, Good pay everyone's friendly and usually no tension its a lot of work but that comes within every job i had a good working experience for Penn great place.",NA,NA,NA,NA,NA,NA
"3M","Product Development Engineer",86434,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",It is a privilege to work at University of Pennsylvania.  Great facilities and motivated principal investigators are key to the successful postdoctoral program.",NA,NA,NA,NA,NA,NA
"3M","Warehouse Worker",14.25,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Great place to learn and experiment. ",NA,NA,NA,NA,NA,NA
"3M","Technician",42568,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Diversified workplace",NA,NA,NA,NA,NA,NA
"3M","Forklift Operator",15.14,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Great motivators",NA,NA,NA,NA,NA,NA
"3M","Scientist",100109,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Easy to approach managers",NA,NA,NA,NA,NA,NA
"3M","Maintenance Mechanic",24.78,3.9,3.9,3.5,3.7,3.9,"Harris Corporation",",Government Support, supporting the Program Office with required regulatory and statutory documentation during the acquisition process material in support of the warfighter.","The Washington Post",",Global Account Manager","GILT GROUPE",",Good Pay","AT&T",",Don't really have cons as we all were affected when our office closed down."
"3M","Electronics Technician",25032,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Located in great city- San Jose",NA,NA,NA,NA,NA,NA
"3M","Production Associate",35530,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Free snacks",NA,NA,NA,NA,NA,NA
"3M","Maintenance Technician",22.79,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Monthly meeting to discuss new research going on in the field",NA,NA,NA,NA,NA,NA
"3M","Assembler",12.38,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Flexible timings",NA,NA,NA,NA,NA,NA
"3M","Slitter Operator",16.24,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",I gained valuable experiences in this position however the pay made it very difficult to live in Philadelphia. If you have a disposable income you will likely enjoy the experience.",NA,NA,NA,NA,NA,NA
"3M","Senior Product Development Engineer",95865,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Great learning environment due to interacting with individuals in various stages of their education and career. Post grad students, undergraduates, doctors, researchers, nurses etc... However, it takes awhile to move up and you are faced with heavy competition for jobs. Great benefits. Once your in, stay.",NA,NA,NA,NA,NA,NA
"3M","Production Operator",15.6,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",A good place to learn and develop for start-up scientists. Very good Biomedical Postdoctoral Program (BPP) in the Perelman School of Medicine.",NA,NA,NA,NA,NA,NA
"3M","Senior Analytical Chemist",95530,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Decent salary with reasonable amount of work. Professional training provided for international students. Helpful in deeper understanding in subject",NA,NA,NA,NA,NA,NA
"3M","Packer",13.57,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",Location is great for plenty of food options and easy access to train and subway. Co-workers were great. Hardworking and fun to work around. Management was amazing as they took into account your home life.",NA,NA,NA,NA,NA,NA
"3M","Production Worker",11.85,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",unlimited resources, world class teachers. and the top hospitals in the country. what I have learned the most is patience, and an unwilling resolve to never quit and always find a way.",NA,NA,NA,NA,NA,NA
