Index,StoreNames,No_Coupons,Coupons,Coupon_N_A_Offer,CashBack_Pct_Dollars,CashBack,CB_NOD_Up_To,Total,AvgCashBack,TotalPurchAmt,,,,,,Total,By year,years
1,Macy's,70,70 Coupons,Coupons,0.030,3.0% Cash Back,Cash Back,29444817,"883,345","981,493,900",,,,Total Cash back since '99,,"$475,061,292 ","$27,944,781.88 ",17
2,Kohl's,27,27 Coupons,Coupons,0.030,3.0% Cash Back,Cash Back,28935206,"868,056","964,506,867",,,,,,,,
3,Nordstrom,18,18 Offers,Offers,0.020,2.0% Cash Back,Cash Back,21811161,"436,223","1,090,558,050",,,,,,,,
4,Sephora,9,9 Coupons,Coupons,0.080,8.0% Cash Back was 4.0%,Cash Back Promo,14460391,"1,156,831","180,754,888",,,,,,,,
5,eBay,22,22 Coupons,Coupons,0.050,Up to 5.0% was 0.0%,Up to Pct off,13834090,"6,917","276,681,800",,,,,,,,
6,JCPenney,15,15 Coupons,Coupons,0.030,3.0% Cash Back,Cash Back,13508414,"4,053","450,280,467",,,,,,,,
7,Groupon,9,9 Coupons,Coupons,0.070,7.0% Cash Back was 3.0%,Cash Back Promo,13449360,"941,455","192,133,714",,,,,,,,
8,Walmart,35,35 Coupons,Coupons,0.010,1.0% Cash Back,Cash Back,13098686,"130,987","1,309,868,600",,,,,,,,
9,Sears,119,119 Coupons,Coupons,0.010,1.0% Cash Back,Cash Back,11229544,"112,295","1,122,954,400",,,,,,,,
10,Neiman Marcus,5,5 Offers,Offers,0.080,8.0% Cash Back was 4.0%,Cash Back Promo,7647776,"611,822","95,597,200",,,,,,,,
11,Hotels.com,14,14 Coupons,Coupons,0.030,Up to 3.0%,Up to Pct off,7310198,"2,193","243,673,267",,,,,,,,
12,Target,1,1 Coupon,Coupon,0.010,1.0% Cash Back,Cash Back,7173265,"71,733","717,326,500",,,,,,,,
13,Saks Fifth Avenue,12,12 Coupons,Coupons,0.080,8.0% Cash Back was 4.0%,Cash Back Promo,7144170,"571,534","89,302,125",,,,,,,,
14,QVC,48,48 Coupons,Coupons,0.010,1.0% Cash Back,Cash Back,6544713,"65,447","654,471,300",,,,,,,,
15,Expedia,37,37 Coupons,Coupons,0.100,Up to 10.0%,Up to Pct off,6524017,"6,524","65,240,170",,,,,,,,
16,Bloomingdale's,44,44 Coupons,Coupons,0.030,3.0% Cash Back,Cash Back,6457545,"1,937","215,251,500",,,,,,,,
17,Lowe's,23,23 Coupons,Coupons,0.025,2.5% Cash Back was 1.5%,Cash Back Promo,6412425,"160,311","256,497,000",,,,,,,,
18,Overstock.com,21,21 Coupons,Coupons,0.020,2.0% Cash Back,Cash Back,5983643,"119,673","299,182,150",,,,,,,,
19,Old Navy,10,10 Coupons,Coupons,0.020,2.0% Cash Back,Cash Back,5860015,"117,200","293,000,750",,,,,,,,
20,Priceline,14,14 Coupons,Coupons,0.100,Up to 10.0%,Up to Pct off,5759591,"575,959","57,595,910",,,,,,,,
21,Gap,8,8 Coupons,Coupons,0.020,2.0% Cash Back,Cash Back,5619423,"1,124","280,971,150",,,,,,,,
22,Staples,16,16 Coupons,Coupons,0.020,2.0% Cash Back,Cash Back,5423002,"108,460","271,150,100",,,,,,,,
23,Nike,6,6 Coupons,Coupons,0.080,8.0% Cash Back was 1.5%,Cash Back Promo,4901331,"392,106","61,266,638",,,,,,,,
24,Dell Consumer,14,14 Coupons,Coupons,0.080,8.0% Cash Back was 2.0%,Cash Back Promo,4867151,"389,372","60,839,388",,,,,,,,
25,Lands' End,7,7 Coupons,Coupons,0.020,2.0% Cash Back,Cash Back,4644186,"92,884","232,209,300",,,,,,,,
26,Magazines.com,10,10 Coupons,Coupons,0.250,25.0% Cash Back,Cash Back,4221763,"1,055,441","16,887,052",,,,,,,,
27,Best Buy,9,9 Coupons,Coupons,0.010,1.0% Cash Back,Cash Back,4063081,406,"406,308,100",,,,,,,,
28,Dell Small Business,5,5 Coupons,Coupons,0.020,2.0% Cash Back,Cash Back,3955964,791,"197,798,200",,,,,,,,
29,HP.com,16,16 Coupons,Coupons,0.020,2.0% Cash Back,Cash Back,3416104,683,"170,805,200",,,,,,,,
30,HSN,37,37 Coupons,Coupons,0.030,3.0% Cash Back,Cash Back,3278680,984,"109,289,333",,,,,,,,
31,J.Crew,3,3 Coupons,Coupons,0.015,1.5% Cash Back,Cash Back,3204517,481,"213,634,467",,,,,,,,
32,eBags,55,55 Coupons,Coupons,0.080,8.0% Cash Back,Cash Back,3193100,"2,554","39,913,750",,,,,,,,
33,Orbitz,19,19 Coupons,Coupons,0.070,Up to 7.0%,Up to Pct off,2899718,"202,980","41,424,543",,,,,,,,
34,Vitacost,20,20 Coupons,Coupons,0.030,3.0% Cash Back,Cash Back,2893518,"86,806","96,450,600",,,,,,,,
35,Ralph Lauren,12,12 Coupons,Coupons,0.025,2.5% Cash Back,Cash Back,2849009,"71,225","113,960,360",,,,,,,,
