store,coupon,discount,total
A Pea in the Pod,4 Coupons,2.5% Cash Back,"$33,066 "
A.L.C.,1 Coupon,3.0% Cash Back,
A4C,13 Coupons,3.0% Cash Back,"$11,576 "
ABC Carpet & Home,3 Coupons,2.0% Cash Back,
ABCmouse.com,3 Coupons,$2.00 Cash Back,"$21,220 "
Abebooks,4 Coupons,2.5% Cash Back,"$208,814 "
ABSINTHE,1 Coupon,2.5% Cash Back,
Abt Electronics,39 Coupons,2.0% Cash Back,
AC Lens,4 Coupons,5.0% Cash Back,
Academy Sports & Outdoors,22 Coupons,1.5% Cash Back,"$2,172 "
Accessorize,4 Coupons,2.5% Cash Back,
Accor Hotels,6 Coupons,6.0% Cash Back,
Ace Hardware,27 Coupons,3.0% Cash Back,"$80,182 "
Acer,13 Coupons,2.0% Cash Back,
Acme Tools,16 Coupons,1.5% Cash Back,
Acronis,4 Coupons,Up to 20.0%,
Active Ride Shop,13 Coupons,3.0% Cash Back,"$1,665 "
AcuRite,4 Coupons,5.0% Cash Back,
Adagio Teas,3 Coupons,2.5% Cash Back,"$23,795 "
Adam & Eve,1 Coupon,7.0% Cash Back,
Addition Elle,8 Coupons,1.0% Cash Back,"$1,401 "
adidas,No Coupons Available,No Discount,
adidas Golf,19 Coupons,3.0% Cash Back,"$2,023 "
Adorama,17 Coupons,1.0% Cash Back,
Advance Auto Parts,4 Coupons,2.0% Cash Back,"$917,314 "
Aerie by American Eagle,8 Coupons,2.0% Cash Back,"$191,272 "
Aeropostale,10 Coupons,2.0% Cash Back,"$571,999 "
Aerosoles,5 Coupons,4.0% Cash Back was 2.0%,"$15,349 "
AG Jeans,1 Coupon,6.0% Cash Back,
Agoda,4 Coupons,3.0% Cash Back,
AHAlife,2 Coupons,4.5% Cash Back,
AHAnoir,No Coupons Available,7.5% Cash Back,
AHAVA,4 Coupons,4.0% Cash Back,
Ahnu,2 Coupons,Coupons Only,
Air and Water,1 Coupon,3.0% Cash Back,
Air Filters Delivered,3 Coupons,4.0% Cash Back,"$8,761 "
Air France,1 Coupon,1.0% Cash Back,
Airport Parking Reservations,8 Coupons,10.0% Cash Back,"$14,933 "
AirportRentalCars,1 Coupon,4.0% Cash Back,
AJ Madison,18 Coupons,2.0% Cash Back,
AKIRA,No Coupons Available,4.0% Cash Back,
Alamo Rent A Car,No Coupons Available,2.5% Cash Back,"$45,097 "
Aldo Shoes,1 Coupon,3.0% Cash Back,"$122,476 "
Alex and Ani,4 Coupons,1.0% Cash Back,"$141,296 "
AlexandAlexa,4 Coupons,3.0% Cash Back,
Alexis Bittar,3 Coupons,3.5% Cash Back,
Algenist,3 Coupons,5.0% Cash Back,
Alibris,8 Coupons,2.5% Cash Back,"$102,416 "
Alice + Olivia,9 Coupons,6.0% Cash Back,
Alienware,1 Coupon,2.0% Cash Back,
AliExpress,2 Coupons,3.5% Cash Back,"$94,509 "
All About Dance,13 Coupons,4.0% Cash Back,"$73,903 "
All Battery,1 Coupon,8.0% Cash Back,
AllBeauty.com,No Coupons Available,2.0% Cash Back,
Allen Edmonds,3 Coupons,3.5% Cash Back,
Allied Shirts,1 Coupon,3.0% Cash Back,
AllPosters,1 Coupon,6.0% Cash Back,"$74,816 "
AllSaints,2 Offers,2.0% Cash Back,
