Date,Song,Artist,Genre,Length ,Group,GroupID
1/2/60,Why,Frankie Avalon,Pop,7,1960,1
1/9/60,El Paso,Marty Robbins,Rock,14,1960,1
1/23/60,Running Bear,Johnny Preston,Pop,21,1960,1
2/13/60,Teen Angel,Mark Dinning,Pop,14,1960,1
2/27/60,The Theme From A Summer Place,Percy Faith And His Orchestra,Rock,91,1960,1
5/28/60,Cathy's Clown,The Everly Brothers,Pop,35,1960,1
7/2/60,Everybody's Somebody's Fool,Connie Francis,Pop,21,1960,1
7/23/60,I'm Sorry,Brenda Lee,Pop,21,1960,1
8/13/60,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,Pop,42,1960,1
9/24/60,The Twist,Chubby Checker,Rock,7,1960,1
10/1/60,My Heart Has A Mind Of Its Own,Connie Francis,Pop,14,1960,1
10/15/60,Mr. Custer,Larry Verne,R&B,7,1960,1
10/22/60,Save The Last Dance For Me,The Drifters,Other,7,1960,1
10/29/60,I Want To Be Wanted,Brenda Lee,Pop,7,1960,1
11/5/60,Save The Last Dance For Me,The Drifters,Other,14,1960,1
11/19/60,Georgia On My Mind,Ray Charles,Soul,7,1960,1
11/26/60,Stay,Maurice Williams & The Zodiacs,Other,49,1960,1
1/14/61,Wonderland By Night,Bert Kaempfert And His Orchestra,Other,21,1960,1
2/4/61,Will You Love Me Tomorrow,The Shirelles,R&B,14,1960,1
2/18/61,Calcutta,Lawrence Welk And His Orchestra,Pop,14,1960,1
3/4/61,Pony Time,Chubby Checker,Rock,35,1960,1
4/8/61,Blue Moon,The Marcels,Rock,21,1960,1
4/29/61,Runaway,Del Shannon,Rock,28,1960,1
5/27/61,Mother-In-Law,Ernie K-Doe,R&B,7,1960,1
6/3/61,Travelin' Man,Ricky Nelson,Rock,7,1960,1
6/10/61,Running Scared,Roy Orbison,Rock,7,1960,1
6/17/61,Travelin' Man,Ricky Nelson,Rock,7,1960,1
6/24/61,Moody River,Pat Boone,Pop,7,1960,1
7/1/61,Quarter To Three,U.S. Bonds,Pop,14,1960,1
7/15/61,Tossin' And Turnin',Bobby Lewis,Rock,49,1960,1
9/2/61,Wooden Heart,Joe Dowell,Pop,7,1960,1
9/9/61,Michael,The Highwaymen,Other,14,1960,1
9/23/61,Take Good Care Of My Baby,Bobby Vee,Pop,21,1960,1
10/14/61,Hit The Road Jack,Ray Charles and his Orchestra,Soul,14,1960,1
10/28/61,Runaround Sue,Dion,Pop,14,1960,1
11/11/61,Big Bad John,Jimmy Dean,Other,35,1960,1
12/16/61,Please Mr. Postman,The Marvelettes,Soul,7,1960,1
12/23/61,The Lion Sleeps Tonight,The Tokens,Other,21,1960,1
1/13/62,The Twist,Chubby Checker,Rock,14,1960,1
1/27/62,Peppermint Twist - Part I,Joey Dee & the Starliters,R&B,21,1960,1
2/17/62,Duke Of Earl,Gene Chandler,Pop,21,1960,1
3/10/62,Hey! Baby,Bruce Channel,Rock,21,1960,1
3/31/62,Don't Break The Heart That Loves You,Connie Francis,Pop,7,1960,1
4/7/62,Johnny Angel,Shelley Fabares,Rock,28,1960,1
5/5/62,Soldier Boy,The Shirelles,R&B,28,1960,1
6/2/62,I Can't Stop Loving You,Ray Charles,Soul,42,1960,1
7/14/62,Roses Are Red (My Love),Bobby Vinton,Pop,28,1960,1
8/11/62,Breaking Up Is Hard To Do,Neil Sedaka,Pop,14,1960,1
8/25/62,The Loco-Motion,Little Eva,Pop,7,1960,1
9/1/62,Sheila,Tommy Roe,Pop,14,1960,1
9/15/62,Sherry,The 4 Seasons,Rock,49,1960,1
11/3/62,He's A Rebel,The Crystals,Pop,14,1960,1
11/17/62,Big Girls Don't Cry,The 4 Seasons,Rock,35,1960,1
12/22/62,Telstar,The Tornadoes,Pop,21,1960,1
1/12/63,Go Away Little Girl,Steve Lawrence,Pop,14,1960,1
1/26/63,Walk Right In,The Rooftop Singers,Other,14,1960,1
2/9/63,Hey Paula,Paul and Paula,Pop,21,1960,1
3/2/63,Walk Like A Man,The 4 Seasons,Rock,21,1960,1
3/23/63,Our Day Will Come,Ruby And The Romantics,Pop,7,1960,1
3/30/63,He's So Fine,The Chiffons,Rock,28,1960,1
4/27/63,I Will Follow Him,Little Peggy March,Pop,21,1960,1
5/18/63,If You Wanna Be Happy,Jimmy Soul,Pop,14,1960,1
6/1/63,It's My Party,Lesley Gore,Pop,14,1960,1
6/15/63,Sukiyaki,Kyu Sakamoto,Pop,21,1960,1
7/6/63,Easier Said Than Done,The Essex,R&B,14,1960,1
7/20/63,Surf City,Jan & Dean,Rock,14,1960,1
8/3/63,So Much In Love,The Tymes,R&B,28,1960,1
8/31/63,My Boyfriend's Back,The Angels,Pop,21,1960,1
9/21/63,Blue Velvet,Bobby Vinton,Pop,21,1960,1
10/12/63,Sugar Shack,Jimmy Gilmer And The Fireballs,Rock,35,1960,1
11/16/63,Deep Purple,Nino Tempo & April Stevens,Pop,7,1960,1
11/23/63,I'm Leaving It Up To You,Dale & Grace,Pop,14,1960,1
12/7/63,Dominique,The Singing Nun (Soeur Sourire),Other,28,1960,1
1/4/64,There! I've Said It Again,Bobby Vinton,Pop,28,1960,1
2/1/64,I Want To Hold Your Hand,The Beatles,Rock,49,1960,1
3/21/64,She Loves You,The Beatles,Rock,14,1960,1
4/4/64,Can't Buy Me Love,The Beatles,Rock,42,1960,1
5/16/64,My Guy,Mary Wells,Soul,14,1960,1
5/30/64,Love Me Do,The Beatles,Rock,7,1960,1
6/6/64,Chapel Of Love,The Dixie Cups,Pop,21,1960,1
6/27/64,A World Without Love,Peter And Gordon,Pop,7,1960,1
7/4/64,I Get Around,The Beach Boys,Rock,28,1960,1
