BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,25,22.6,3.0,1.4,3.1,46.8,0.0,0.0,0.0,0.1,0.4,27.3,2.1,6.3,8.4,1.9,1.6,0.5,1.0,3.2,0,0,-1.2
Home,13,23.3,2.5,1.2,2.4,48.4,0.0,0.0,0.0,0.2,0.5,50.0,2.0,7.2,9.2,2.1,1.5,0.6,0.9,3.1,0,0,0.8
Road,12,21.8,3.5,1.8,3.8,45.7,0.0,0.1,0.0,0.0,0.4,0.0,2.2,5.3,7.4,1.8,1.8,0.3,1.0,3.3,0,0,-3.4
Wins,8,23.1,2.6,1.1,2.8,40.9,0.0,0.1,0.0,0.4,0.5,75.0,2.0,6.6,8.6,2.0,1.6,0.4,1.0,2.8,0,0,6.5
Losses,17,22.3,3.2,1.6,3.2,49.1,0.0,0.0,0.0,0.0,0.4,0.0,2.1,6.1,8.2,1.9,1.6,0.5,0.9,3.4,0,0,-4.8
October,3,24.8,5.3,2.7,5.3,50.0,0.0,0.0,0.0,0.0,1.3,0.0,2.3,8.3,10.7,2.0,1.7,0.3,0.3,3.0,0,0,-1.7
November,11,26.6,3.4,1.5,3.6,42.5,0.0,0.1,0.0,0.3,0.6,42.9,2.9,7.7,10.6,2.5,1.9,0.6,1.1,3.7,0,0,-2.1
December,4,16.2,2.5,1.3,1.8,71.4,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.0,7.5,1.3,1.8,0.5,1.0,2.8,0,0,4.0
January,7,19.0,1.7,0.9,2.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3,4.3,1.3,1.1,0.3,1.0,2.7,0,0,-2.6
Pre All-Star,25,22.6,3.0,1.4,3.1,46.8,0.0,0.0,0.0,0.1,0.4,27.3,2.1,6.3,8.4,1.9,1.6,0.5,1.0,3.2,0,0,-1.2
Starters,21,23.6,3.5,1.7,3.5,47.9,0.0,0.0,0.0,0.1,0.5,27.3,2.3,7.0,9.4,2.0,1.9,0.5,0.9,3.4,0,0,-1.9
Bench,4,17.2,0.5,0.3,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.3,3.0,1.8,0.5,0.5,1.3,2.3,0,0,2.3
0 Days Rest,2,25.9,5.0,2.5,5.5,45.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.0,5.5,0.5,1.5,0.0,2.0,3.0,0,0,-0.5
1 Days Rest,12,23.3,2.8,1.3,3.4,36.6,0.0,0.1,0.0,0.3,0.6,42.9,2.4,6.3,8.8,1.8,1.6,0.5,0.8,3.3,0,0,-1.3
2 Days Rest,4,20.6,3.5,1.8,2.0,87.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,8.0,8.5,1.8,1.8,0.8,0.5,4.0,0,0,-4.0
3 Days Rest,2,29.4,3.0,1.5,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,10.5,14.0,4.5,3.0,1.5,0.0,5.0,0,0,-1.0
4 Days Rest,2,19.7,3.0,1.5,4.0,37.5,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,2.5,1.0,0.0,1.0,2.0,0,0,-6.0
5 Days Rest,1,21.0,4.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,1.0,1.0,0.0,1.0,4.0,0,0,0.0
6+ Days Rest,2,15.8,1.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.5,5.0,2.0,1.5,0.0,2.5,0.5,0,0,8.5
