,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - CHI @ GSW",L,240,92,37,92,40.2,4,24,16.7,14,19,73.7,15,29,44,25,7,2,14,17,2017-02-08 00:00:00,GSW,AWAY
1,"FEB 06, 2017 - CHI @ SAC",W,240,112,43,81,53.1,6,19,31.6,20,31,64.5,8,27,35,21,10,3,8,17,2017-02-06 00:00:00,SAC,AWAY
2,"FEB 03, 2017 - CHI @ HOU",L,265,117,48,100,48.0,8,25,32.0,13,18,72.2,14,39,53,30,7,7,14,23,2017-02-03 00:00:00,HOU,AWAY
3,"FEB 01, 2017 - CHI @ OKC",W,240,128,49,81,60.5,6,15,40.0,24,30,80.0,4,38,42,25,7,2,9,19,2017-02-01 00:00:00,OKC,AWAY
4,"JAN 29, 2017 - CHI vs. PHI",W,240,121,45,89,50.6,8,14,57.1,23,28,82.1,10,39,49,29,8,5,10,11,2017-01-29 00:00:00,PHI,HOME
5,"JAN 27, 2017 - CHI vs. MIA",L,240,88,33,78,42.3,3,13,23.1,19,25,76.0,9,34,43,19,7,9,21,12,2017-01-27 00:00:00,MIA,HOME
6,"JAN 25, 2017 - CHI vs. ATL",L,240,114,43,94,45.7,8,27,29.6,20,26,76.9,12,29,41,18,6,5,6,16,2017-01-25 00:00:00,ATL,HOME
7,"JAN 24, 2017 - CHI @ ORL",W,240,100,35,77,45.5,7,22,31.8,23,30,76.7,6,38,44,12,13,6,13,19,2017-01-24 00:00:00,ORL,AWAY
8,"JAN 21, 2017 - CHI vs. SAC",W,240,102,34,83,41.0,6,17,35.3,28,33,84.8,14,34,48,22,7,7,11,18,2017-01-21 00:00:00,SAC,HOME
9,"JAN 20, 2017 - CHI @ ATL",L,240,93,34,81,42.0,7,28,25.0,18,19,94.7,12,29,41,18,12,5,24,17,2017-01-20 00:00:00,ATL,AWAY
10,"JAN 17, 2017 - CHI vs. DAL",L,240,98,37,82,45.1,6,14,42.9,18,22,81.8,11,32,43,23,6,3,13,22,2017-01-17 00:00:00,DAL,HOME
11,"JAN 15, 2017 - CHI @ MEM",W,240,108,40,78,51.3,4,17,23.5,24,35,68.6,6,41,47,18,8,5,12,14,2017-01-15 00:00:00,MEM,AWAY
12,"JAN 14, 2017 - CHI vs. NOP",W,240,107,43,101,42.6,8,20,40.0,13,23,56.5,21,42,63,22,10,6,10,20,2017-01-14 00:00:00,NOP,HOME
13,"JAN 12, 2017 - CHI @ NYK",L,240,89,35,89,39.3,3,18,16.7,16,21,76.2,14,29,43,20,5,4,12,12,2017-01-12 00:00:00,NYK,AWAY
14,"JAN 10, 2017 - CHI @ WAS",L,240,99,35,88,39.8,10,27,37.0,19,21,90.5,12,32,44,19,10,2,17,18,2017-01-10 00:00:00,WAS,AWAY
15,"JAN 09, 2017 - CHI vs. OKC",L,240,94,34,83,41.0,7,19,36.8,19,22,86.4,9,29,38,18,7,2,11,13,2017-01-09 00:00:00,OKC,HOME
