BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,2,4.9,3.0,1.0,1.0,100,0.0,0.0,0.0,1.0,1.0,100,0.5,1.0,1.5,0.5,0.0,0.5,0.0,0.5,0,0,-6.0
Home,1,8.4,6.0,2.0,2.0,100,0.0,0.0,0.0,2.0,2.0,100,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0,0,-13.0
Road,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
Wins,1,8.4,6.0,2.0,2.0,100,0.0,0.0,0.0,2.0,2.0,100,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0,0,-13.0
Losses,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
December,1,8.4,6.0,2.0,2.0,100,0.0,0.0,0.0,2.0,2.0,100,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0,0,-13.0
January,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
Pre All-Star,2,4.9,3.0,1.0,1.0,100,0.0,0.0,0.0,1.0,1.0,100,0.5,1.0,1.5,0.5,0.0,0.5,0.0,0.5,0,0,-6.0
Bench,2,4.9,3.0,1.0,1.0,100,0.0,0.0,0.0,1.0,1.0,100,0.5,1.0,1.5,0.5,0.0,0.5,0.0,0.5,0,0,-6.0
6+ Days Rest,2,4.9,3.0,1.0,1.0,100,0.0,0.0,0.0,1.0,1.0,100,0.5,1.0,1.5,0.5,0.0,0.5,0.0,0.5,0,0,-6.0
