BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,43,14.4,2.8,1.0,2.6,38.4,0.4,1.0,38.1,0.4,0.7,65.5,0.3,1.3,1.6,0.9,0.7,0.8,0.3,1.5,0,0,1.6
Home,22,13.2,2.3,0.8,2.5,32.7,0.3,0.7,37.5,0.4,0.7,56.3,0.1,1.5,1.6,1.0,0.7,0.6,0.4,1.5,0,0,0.8
Road,21,15.7,3.3,1.2,2.7,43.9,0.5,1.2,38.5,0.5,0.6,76.9,0.4,1.2,1.6,0.9,0.7,1.0,0.2,1.5,0,0,2.3
Wins,30,14.6,2.9,1.0,2.4,42.5,0.4,0.9,46.4,0.4,0.7,57.1,0.3,1.5,1.7,1.1,0.6,0.8,0.3,1.5,0,0,3.8
Losses,13,14.0,2.6,0.9,3.0,30.8,0.2,1.1,21.4,0.5,0.6,87.5,0.3,1.0,1.3,0.5,0.9,0.9,0.2,1.5,0,0,-3.5
October,2,6.2,2.0,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.5,0.0,0.5,0.5,0,0,5.5
November,8,8.6,2.0,0.6,1.5,41.7,0.0,0.0,0.0,0.8,0.9,85.7,0.4,0.9,1.3,0.5,0.8,0.5,0.0,1.1,0,0,-2.4
December,14,21.3,3.7,1.2,3.4,35.4,0.7,1.6,45.5,0.6,1.1,53.3,0.4,1.6,2.1,1.5,0.9,0.8,0.4,2.2,0,0,8.6
January,15,13.6,2.4,0.9,2.7,34.1,0.3,1.1,29.4,0.2,0.3,75.0,0.2,1.3,1.5,0.7,0.7,1.1,0.3,1.4,0,0,-3.6
February,4,9.2,3.3,1.3,2.0,62.5,0.3,0.8,33.3,0.5,0.8,66.7,0.0,1.3,1.3,0.5,0.3,1.0,0.0,0.8,0,0,2.3
Pre All-Star,43,14.4,2.8,1.0,2.6,38.4,0.4,1.0,38.1,0.4,0.7,65.5,0.3,1.3,1.6,0.9,0.7,0.8,0.3,1.5,0,0,1.6
Starters,18,21.5,4.5,1.7,4.3,38.5,0.7,2.0,36.1,0.4,0.8,57.1,0.3,1.8,2.1,1.2,0.8,1.4,0.5,2.1,0,0,5.1
Bench,25,9.3,1.6,0.5,1.4,38.2,0.1,0.2,50.0,0.4,0.6,73.3,0.3,1.0,1.3,0.8,0.6,0.4,0.1,1.1,0,0,-1.0
0 Days Rest,7,15.9,2.7,1.0,3.6,28.0,0.3,1.3,22.2,0.4,0.4,100,0.1,1.3,1.4,0.6,1.0,0.6,0.4,1.6,0,0,3.6
1 Days Rest,22,13.5,2.5,1.0,2.4,40.4,0.3,0.8,38.9,0.3,0.5,60.0,0.3,1.3,1.6,0.9,0.8,1.0,0.3,1.4,0,0,1.0
2 Days Rest,8,16.6,3.0,0.9,2.8,31.8,0.6,1.5,41.7,0.6,1.0,62.5,0.3,1.4,1.6,1.3,0.3,0.6,0.1,2.1,0,0,1.1
3 Days Rest,2,8.1,4.0,1.5,2.0,75.0,0.5,1.0,50.0,0.5,0.5,100,0.0,0.0,0.0,0.5,0.0,1.5,0.0,0.0,0,0,0.5
4 Days Rest,1,4.0,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,-8.0
5 Days Rest,1,21.1,5.0,1.0,2.0,50.0,1.0,1.0,100,2.0,4.0,50.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,3.0,0,0,12.0
6+ Days Rest,2,19.5,4.0,1.5,2.5,60.0,0.0,0.0,0.0,1.0,1.0,100,0.5,2.0,2.5,2.0,1.0,1.0,0.5,1.5,0,0,3.5
