,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 06, 2017 - SAS @ MEM",L,3,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,3,0,-2,2017-02-06 00:00:00,MEM,AWAY
1,"FEB 04, 2017 - SAS vs. DEN",W,9,4,2,5,40.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,2017-02-04 00:00:00,DEN,HOME
2,"FEB 02, 2017 - SAS vs. PHI",W,5,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,2,1,-4,2017-02-02 00:00:00,PHI,HOME
3,"JAN 31, 2017 - SAS vs. OKC",W,1,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-4,2017-01-31 00:00:00,OKC,HOME
4,"JAN 27, 2017 - SAS @ NOP",L,2,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-4,2017-01-27 00:00:00,NOP,AWAY
5,"JAN 24, 2017 - SAS @ TOR",W,23,11,4,7,57.1,0,0,0.0,3,4,75.0,0,3,3,2,0,1,3,4,6,2017-01-24 00:00:00,TOR,AWAY
6,"JAN 23, 2017 - SAS @ BKN",W,22,4,2,8,25.0,0,2,0.0,0,0,0.0,1,5,6,3,0,0,2,1,4,2017-01-23 00:00:00,BKN,AWAY
7,"JAN 21, 2017 - SAS @ CLE",W,22,14,7,10,70.0,0,0,0.0,0,0,0.0,0,2,2,5,0,0,2,0,1,2017-01-21 00:00:00,CLE,AWAY
8,"JAN 19, 2017 - SAS vs. DEN",W,34,24,7,11,63.6,3,5,60.0,7,7,100.0,0,2,2,2,1,0,1,3,23,2017-01-19 00:00:00,DEN,HOME
9,"JAN 12, 2017 - SAS vs. LAL",W,10,10,3,5,60.0,2,2,100.0,2,2,100.0,0,1,1,2,0,0,1,1,8,2017-01-12 00:00:00,LAL,HOME
10,"JAN 07, 2017 - SAS vs. CHA",W,4,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,-1,2017-01-07 00:00:00,CHA,HOME
11,"JAN 05, 2017 - SAS @ DEN",W,6,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0,0,6,2017-01-05 00:00:00,DEN,AWAY
12,"JAN 03, 2017 - SAS vs. TOR",W,8,2,1,3,33.3,0,1,0.0,0,0,0.0,1,1,2,0,1,2,4,1,-4,2017-01-03 00:00:00,TOR,HOME
13,"DEC 30, 2016 - SAS vs. POR",W,6,2,1,4,25.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,-7,2016-12-30 00:00:00,POR,HOME
14,"DEC 28, 2016 - SAS vs. PHX",W,3,6,2,2,100.0,0,0,0.0,2,2,100.0,0,0,0,1,0,0,0,0,5,2016-12-28 00:00:00,PHX,HOME
15,"DEC 25, 2016 - SAS vs. CHI",W,2,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2016-12-25 00:00:00,CHI,HOME
16,"DEC 23, 2016 - SAS @ POR",W,20,9,4,8,50.0,1,1,100.0,0,0,0.0,1,2,3,1,1,0,3,1,3,2016-12-23 00:00:00,POR,AWAY
17,"DEC 22, 2016 - SAS @ LAC",L,8,4,2,5,40.0,0,0,0.0,0,2,0.0,1,1,2,0,1,0,0,1,1,2016-12-22 00:00:00,LAC,AWAY
18,"NOV 29, 2016 - SAS vs. ORL",L,4,2,0,1,0.0,0,1,0.0,2,2,100.0,0,1,1,1,0,0,1,0,1,2016-11-29 00:00:00,ORL,HOME
19,"NOV 26, 2016 - SAS @ WAS",W,1,0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,-3,2016-11-26 00:00:00,WAS,AWAY
20,"NOV 21, 2016 - SAS vs. DAL",W,15,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,4,0,0,4,4,-5,2016-11-21 00:00:00,DAL,HOME
21,"NOV 18, 2016 - SAS @ LAL",W,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2016-11-18 00:00:00,LAL,AWAY
22,"NOV 16, 2016 - SAS @ SAC",W,3,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,-13,2016-11-16 00:00:00,SAC,AWAY
23,"NOV 14, 2016 - SAS vs. MIA",W,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-4,2016-11-14 00:00:00,MIA,HOME
24,"NOV 11, 2016 - SAS vs. DET",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,2016-11-11 00:00:00,DET,HOME
25,"NOV 05, 2016 - SAS vs. LAC",L,9,6,2,4,50.0,2,2,100.0,0,0,0.0,0,0,0,0,0,0,1,1,-5,2016-11-05 00:00:00,LAC,HOME
26,"NOV 04, 2016 - SAS @ UTA",W,3,2,0,2,0.0,0,0,0.0,2,2,100.0,0,0,0,1,0,0,0,0,-2,2016-11-04 00:00:00,UTA,AWAY
27,"NOV 01, 2016 - SAS vs. UTA",L,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-3,2016-11-01 00:00:00,UTA,HOME
28,"OCT 29, 2016 - SAS vs. NOP",W,9,0,0,2,0.0,0,1,0.0,0,2,0.0,0,2,2,1,0,0,1,1,-4,2016-10-29 00:00:00,NOP,HOME
