BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,44,18.1,8.1,3.4,6.7,51.0,0.0,0.0,0.0,1.3,2.6,49.6,2.0,3.8,5.8,1.3,1.8,0.6,0.8,2.0,4,0,-3.2
Home,22,16.2,6.8,2.8,5.4,52.5,0.0,0.0,0.0,1.1,2.2,51.0,1.7,3.1,4.8,1.4,1.7,0.5,0.6,1.5,2,0,-1.3
Road,22,20.0,9.4,4.0,8.0,50.0,0.0,0.0,0.0,1.4,2.9,48.4,2.3,4.5,6.9,1.3,2.0,0.6,1.0,2.4,2,0,-5.1
Wins,19,15.2,7.8,3.4,6.1,55.7,0.0,0.0,0.0,1.1,2.4,46.7,1.6,3.8,5.4,1.3,1.5,0.4,0.7,1.6,2,0,1.4
Losses,25,20.3,8.3,3.4,7.2,48.0,0.0,0.0,0.0,1.4,2.7,51.5,2.3,3.8,6.2,1.4,2.0,0.7,0.8,2.2,2,0,-6.7
October,3,28.9,16.0,6.0,12.0,50.0,0.0,0.0,0.0,4.0,6.3,63.2,3.7,8.3,12.0,1.7,1.3,0.3,2.3,2.3,1,0,3.3
November,15,20.7,8.4,3.7,7.5,48.7,0.0,0.0,0.0,1.1,2.3,45.7,2.3,4.5,6.7,1.7,2.5,0.7,0.7,2.3,3,0,-3.2
December,11,15.8,7.6,3.5,6.1,58.2,0.0,0.0,0.0,0.5,1.3,42.9,2.3,3.0,5.3,0.8,2.0,0.6,0.8,2.0,0,0,-5.4
January,12,14.8,6.8,2.7,5.3,50.0,0.0,0.0,0.0,1.5,2.9,51.4,0.9,3.2,4.1,1.2,1.3,0.5,0.6,1.7,0,0,-2.6
February,3,15.9,5.3,2.0,4.7,42.9,0.0,0.0,0.0,1.3,3.3,40.0,2.3,2.0,4.3,1.7,0.3,0.3,0.3,1.3,0,0,-4.0
Pre All-Star,44,18.1,8.1,3.4,6.7,51.0,0.0,0.0,0.0,1.3,2.6,49.6,2.0,3.8,5.8,1.3,1.8,0.6,0.8,2.0,4,0,-3.2
Starters,29,20.8,9.2,3.9,7.9,49.6,0.0,0.0,0.0,1.3,2.7,49.4,2.6,4.4,7.0,1.4,2.3,0.7,0.9,2.1,4,0,-4.7
Bench,15,12.8,6.0,2.4,4.3,56.3,0.0,0.0,0.0,1.2,2.4,50.0,0.9,2.7,3.7,1.1,0.9,0.4,0.5,1.7,0,0,-0.2
0 Days Rest,8,15.6,7.3,2.9,6.1,46.9,0.0,0.0,0.0,1.5,2.9,52.2,1.6,3.9,5.5,1.6,1.6,0.3,0.5,1.8,0,0,-2.6
1 Days Rest,22,20.7,9.0,4.0,7.5,52.4,0.0,0.0,0.0,1.1,2.5,42.9,2.4,4.1,6.5,1.2,2.0,0.8,1.0,2.0,4,0,-6.0
2 Days Rest,9,16.8,7.0,2.8,6.3,43.9,0.0,0.0,0.0,1.4,2.8,52.0,2.2,3.3,5.6,1.6,1.6,0.6,0.8,2.2,0,0,-0.1
3 Days Rest,2,11.0,3.5,1.5,3.0,50.0,0.0,0.0,0.0,0.5,0.5,100,0.5,2.0,2.5,0.5,2.0,0.0,0.0,2.0,0,0,2.0
4 Days Rest,2,16.9,13.0,5.0,7.0,71.4,0.0,0.0,0.0,3.0,4.0,75.0,1.0,4.5,5.5,1.5,1.0,0.0,1.0,1.5,0,0,2.5
6+ Days Rest,1,8.7,4.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,1.0,1.0,0,0,4.0
