,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - HOU vs. PHX",W,5,5,2,4,50.0,1,2,50.0,0,0,0.0,2,0,2,0,0,0,0,0,-1,2017-02-11 00:00:00,PHX,HOME
1,"FEB 07, 2017 - HOU vs. ORL",W,2,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,3,2017-02-07 00:00:00,ORL,HOME
2,"JAN 31, 2017 - HOU vs. SAC",W,4,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-2,2017-01-31 00:00:00,SAC,HOME
3,"JAN 29, 2017 - HOU @ IND",L,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,2017-01-29 00:00:00,IND,AWAY
4,"JAN 21, 2017 - HOU @ MEM",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,2017-01-21 00:00:00,MEM,AWAY
5,"JAN 20, 2017 - HOU vs. GSW",L,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,7,2017-01-20 00:00:00,GSW,HOME
6,"JAN 18, 2017 - HOU vs. MIL",W,2,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-3,2017-01-18 00:00:00,MIL,HOME
7,"JAN 15, 2017 - HOU @ BKN",W,6,7,2,2,100.0,1,1,100.0,2,2,100.0,0,1,1,0,0,0,0,3,-4,2017-01-15 00:00:00,BKN,AWAY
8,"JAN 11, 2017 - HOU @ MIN",L,1,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,2017-01-11 00:00:00,MIN,AWAY
9,"DEC 30, 2016 - HOU vs. LAC",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,2016-12-30 00:00:00,LAC,HOME
10,"DEC 27, 2016 - HOU @ DAL",W,8,2,0,2,0.0,0,1,0.0,2,2,100.0,0,1,1,1,0,0,1,2,-9,2016-12-27 00:00:00,DAL,AWAY
