BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,33,10.2,4.5,1.6,4.0,40.9,0.2,0.6,35.0,1.0,1.4,71.1,0.1,1.0,1.1,1.4,0.7,0.4,0.2,1.1,0,0,-1.0
Home,15,10.8,4.8,1.9,4.6,42.0,0.2,0.6,33.3,0.7,1.1,64.7,0.1,1.0,1.1,1.4,1.0,0.3,0.3,1.3,0,0,-1.9
Road,18,9.8,4.2,1.4,3.5,39.7,0.2,0.6,36.4,1.2,1.6,75.0,0.1,0.9,1.0,1.4,0.4,0.5,0.1,0.8,0,0,-0.2
Wins,21,9.6,4.0,1.8,3.8,46.8,0.2,0.6,41.7,0.3,0.5,60.0,0.1,0.8,0.9,1.2,0.6,0.3,0.3,1.1,0,0,-0.6
Losses,12,11.3,5.2,1.4,4.4,32.1,0.2,0.7,25.0,2.2,2.9,74.3,0.1,1.3,1.4,1.8,0.8,0.6,0.0,0.9,0,0,-1.8
October,1,5.1,2.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,10.0
November,5,9.2,3.2,1.0,2.6,38.5,0.0,0.0,0.0,1.2,1.6,75.0,0.0,1.2,1.2,2.0,0.8,0.0,0.2,0.8,0,0,-1.0
December,9,12.6,7.0,2.3,5.1,45.7,0.4,0.9,50.0,1.9,2.4,77.3,0.1,1.2,1.3,1.9,0.7,0.7,0.2,1.4,0,0,-3.2
January,13,9.3,3.9,1.7,4.5,37.9,0.1,0.6,12.5,0.5,0.8,54.5,0.1,0.8,0.8,1.0,0.5,0.3,0.2,0.9,0,0,-0.8
February,5,10.4,3.0,1.0,2.4,41.7,0.4,0.6,66.7,0.6,0.8,75.0,0.0,1.0,1.0,1.2,1.0,0.6,0.2,1.2,0,0,0.2
Pre All-Star,33,10.2,4.5,1.6,4.0,40.9,0.2,0.6,35.0,1.0,1.4,71.1,0.1,1.0,1.1,1.4,0.7,0.4,0.2,1.1,0,0,-1.0
Bench,33,10.2,4.5,1.6,4.0,40.9,0.2,0.6,35.0,1.0,1.4,71.1,0.1,1.0,1.1,1.4,0.7,0.4,0.2,1.1,0,0,-1.0
0 Days Rest,4,11.5,5.5,1.5,4.0,37.5,0.5,0.8,66.7,2.0,3.0,66.7,0.3,1.0,1.3,2.0,0.3,1.0,0.0,0.8,0,0,-0.8
1 Days Rest,16,10.0,4.3,1.8,4.3,40.6,0.2,0.7,27.3,0.6,0.7,81.8,0.1,0.9,0.9,1.2,0.7,0.2,0.3,1.1,0,0,-0.3
2 Days Rest,5,13.8,7.8,2.4,5.2,46.2,0.4,0.8,50.0,2.6,3.2,81.3,0.0,1.4,1.4,1.8,0.8,0.8,0.2,1.0,0,0,-4.0
3 Days Rest,2,6.9,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0,0,1.0
5 Days Rest,2,10.5,3.5,1.5,4.0,37.5,0.0,0.5,0.0,0.5,2.0,25.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.5,0,0,-3.0
6+ Days Rest,4,7.0,2.3,1.0,2.8,36.4,0.0,0.3,0.0,0.3,0.5,50.0,0.3,0.8,1.0,1.3,0.5,0.0,0.3,0.5,0,0,-0.3
