BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,46,16.0,5.5,2.0,5.3,36.7,1.1,3.0,35.0,0.5,0.6,96.2,0.4,2.8,3.2,0.8,0.6,0.1,0.4,2.3,1,0,-1.1
Home,20,18.0,6.3,2.3,6.4,35.4,1.2,3.7,32.9,0.6,0.6,100,0.3,3.2,3.5,1.2,0.4,0.1,0.5,2.5,0,0,0.6
Road,26,14.5,5.0,1.7,4.5,38.1,1.0,2.6,37.3,0.5,0.6,93.3,0.4,2.5,3.0,0.6,0.7,0.2,0.3,2.1,1,0,-2.3
Wins,19,17.3,6.7,2.4,6.3,37.8,1.4,3.7,37.1,0.6,0.6,100,0.3,3.3,3.5,0.9,0.5,0.1,0.4,2.4,1,0,2.2
Losses,27,15.1,4.7,1.7,4.7,35.7,0.9,2.6,32.9,0.5,0.5,92.9,0.4,2.5,3.0,0.8,0.6,0.1,0.4,2.1,0,0,-3.4
October,2,10.2,1.5,0.5,3.5,14.3,0.5,2.5,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,1.0,0,0,-0.5
November,16,16.5,6.6,2.4,6.0,39.6,1.2,3.6,33.3,0.6,0.6,100,0.4,3.2,3.6,1.0,0.7,0.1,0.3,2.3,1,0,0.3
December,14,16.4,5.2,1.9,4.9,37.7,1.1,3.0,38.1,0.4,0.4,100,0.3,2.6,2.9,0.5,0.5,0.1,0.4,2.6,0,0,-2.4
January,12,15.5,5.4,1.8,5.8,31.9,0.9,2.8,33.3,0.8,0.9,90.9,0.5,2.6,3.1,1.0,0.4,0.2,0.5,1.9,0,0,-2.0
February,2,18.3,4.0,1.5,2.0,75.0,1.0,1.5,66.7,0.0,0.0,0.0,0.0,4.5,4.5,1.5,1.5,0.0,0.0,3.0,0,0,2.5
Pre All-Star,46,16.0,5.5,2.0,5.3,36.7,1.1,3.0,35.0,0.5,0.6,96.2,0.4,2.8,3.2,0.8,0.6,0.1,0.4,2.3,1,0,-1.1
Starters,5,20.9,4.4,1.6,6.0,26.7,0.4,4.0,10.0,0.8,0.8,100,0.4,3.2,3.6,1.0,0.4,0.2,0.2,3.8,0,0,-1.8
Bench,41,15.4,5.7,2.0,5.2,38.1,1.1,2.9,39.2,0.5,0.5,95.5,0.4,2.8,3.1,0.8,0.6,0.1,0.4,2.1,1,0,-1.0
0 Days Rest,5,16.5,6.0,2.2,5.0,44.0,1.2,2.6,46.2,0.4,0.4,100,0.6,3.2,3.8,0.6,0.4,0.0,0.6,3.4,0,0,0.8
1 Days Rest,24,15.0,5.6,2.0,5.6,35.1,1.1,3.4,32.1,0.6,0.6,100,0.1,2.5,2.7,0.8,0.4,0.1,0.3,2.2,1,0,-1.5
2 Days Rest,11,18.8,6.5,2.4,5.6,41.9,1.1,2.8,38.7,0.7,0.8,88.9,0.9,3.1,4.0,0.9,1.0,0.2,0.5,2.0,0,0,-0.3
3 Days Rest,5,14.1,2.8,1.0,4.6,21.7,0.8,2.8,28.6,0.0,0.0,0.0,0.2,2.4,2.6,1.0,0.4,0.0,0.4,2.0,0,0,-4.2
4 Days Rest,1,18.7,3.0,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,0.0,0.0,2.0,0,0,6.0
