,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.3,100.8,23,30,0.434,38.5,85.5,45.1,9.3,25.9,35.9,14.5,21.2,68.1,10.3,33.4,43.7,21.4,13.4,7.0,5.5,20.5,-1.1,38.1,84.7,44.9,8.0,23.3,34.4,17.8,22.8,77.7,10.0,34.1,44.1,20.3,13.3,6.8,5.1,5.5,18.7,101.9
1,Home,26,48.6,104.0,13,13,0.5,39.3,84.7,46.5,10.1,26.5,38.1,15.2,23.0,66.3,9.4,34.8,44.2,20.9,13.8,6.8,5.1,20.6,2.3,38.3,86.4,44.4,7.7,24.2,31.9,17.3,22.3,77.6,9.6,33.8,43.4,18.5,12.9,6.7,4.0,5.1,19.3,101.7
2,Road,27,48.0,97.7,10,17,0.37,37.7,86.2,43.8,8.6,25.4,33.7,13.7,19.5,70.2,11.1,32.1,43.3,21.9,13.1,7.1,5.9,20.4,-4.3,37.8,83.1,45.4,8.3,22.5,36.9,18.2,23.4,77.8,10.4,34.4,44.7,22.1,13.7,7.0,6.1,5.9,18.1,102.0
3,Wins,23,48.2,107.6,23,0,1.0,41.0,85.3,48.1,10.6,26.2,40.5,15.0,22.0,68.0,10.4,34.7,45.1,22.2,13.4,7.5,5.6,19.9,9.8,36.5,84.0,43.5,7.7,24.1,32.1,17.0,22.1,77.0,9.4,31.6,41.0,19.1,14.2,6.9,4.6,5.6,18.9,97.8
4,Losses,30,48.3,95.6,0,30,0.0,36.6,85.6,42.8,8.3,25.7,32.3,14.0,20.6,68.2,10.2,32.5,42.7,20.8,13.4,6.6,5.4,21.0,-9.4,39.2,85.3,46.0,8.2,22.8,36.2,18.3,23.4,78.2,10.4,36.0,46.5,21.3,12.7,6.8,5.4,5.4,18.5,105.0
5,October,3,48.0,99.3,1,2,0.333,38.7,87.7,44.1,8.3,23.3,35.7,13.7,20.7,66.1,11.0,35.7,46.7,21.7,14.7,4.7,5.7,23.0,-0.3,35.3,87.7,40.3,7.7,19.3,39.7,21.3,26.0,82.1,14.0,32.0,46.0,20.0,11.3,6.3,6.0,5.7,20.3,99.7
6,November,15,48.3,96.1,5,10,0.333,36.3,85.6,42.4,8.5,25.9,32.7,15.1,22.7,66.5,11.6,33.0,44.6,19.6,12.8,7.9,6.2,21.1,-1.9,36.4,83.4,43.6,7.5,22.1,33.7,17.7,22.2,79.6,9.9,35.7,45.7,19.9,14.4,6.2,5.7,6.2,19.0,97.9
7,December,16,48.6,100.4,4,12,0.25,39.4,86.7,45.5,8.6,24.5,34.9,13.0,19.9,65.4,10.9,34.0,44.9,22.2,13.5,6.1,5.2,19.1,-5.2,40.1,87.1,46.0,8.8,24.9,35.2,16.8,21.8,77.0,10.1,33.8,43.9,20.4,11.8,6.7,5.5,5.2,17.6,105.6
8,January,15,48.0,102.3,9,6,0.6,38.1,83.2,45.8,10.3,27.2,37.7,15.8,22.0,71.8,7.8,32.7,40.5,21.3,12.9,7.5,4.8,20.9,-0.7,38.6,84.1,45.9,8.4,24.9,33.7,17.5,22.9,76.2,9.9,34.5,44.4,21.1,14.1,6.7,4.3,4.8,19.7,103.1
9,February,4,48.0,115.5,4,0,1.0,44.8,86.8,51.6,12.5,28.8,43.5,13.5,18.5,73.0,11.8,33.8,45.5,25.3,16.8,6.5,6.5,21.0,16.5,36.3,80.3,45.2,6.0,18.8,32.0,20.5,27.0,75.9,7.0,29.0,36.0,19.0,13.8,10.8,3.0,6.5,17.0,99.0
10,Pre All-Star,53,48.3,100.8,23,30,0.434,38.5,85.5,45.1,9.3,25.9,35.9,14.5,21.2,68.1,10.3,33.4,43.7,21.4,13.4,7.0,5.5,20.5,-1.1,38.1,84.7,44.9,8.0,23.3,34.4,17.8,22.8,77.7,10.0,34.1,44.1,20.3,13.3,6.8,5.1,5.5,18.7,101.9
