,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.7,103.1,20,33,0.377,38.7,87.5,44.3,9.4,26.5,35.3,16.3,21.9,74.4,8.7,35.5,44.3,22.6,12.7,7.6,6.1,18.3,-3.7,40.2,89.6,44.9,10.6,29.8,35.5,15.8,20.4,77.5,10.3,38.6,49.0,23.7,13.5,7.4,4.7,6.1,19.1,106.8
1,Home,29,48.7,106.7,14,15,0.483,39.8,88.3,45.1,9.8,27.8,35.1,17.3,23.0,75.1,8.7,36.5,45.2,23.6,12.1,8.2,6.3,18.6,-1.6,40.3,89.9,44.8,10.4,29.4,35.3,17.4,21.7,80.3,10.3,38.9,49.2,23.9,13.7,7.1,4.5,6.3,19.6,108.3
2,Road,24,48.6,98.8,6,18,0.25,37.4,86.4,43.3,8.9,25.0,35.6,15.0,20.5,73.4,8.8,34.4,43.2,21.4,13.5,7.0,5.8,18.0,-6.2,40.1,89.3,45.0,10.8,30.4,35.6,13.9,18.8,73.7,10.3,38.3,48.7,23.4,13.2,7.8,4.9,5.8,18.4,105.0
3,Wins,20,48.5,110.5,20,0,1.0,40.5,87.5,46.3,11.2,28.6,39.1,18.4,23.6,77.9,8.6,38.4,47.0,24.0,11.9,8.9,6.4,18.5,9.8,37.5,89.2,42.0,9.7,30.7,31.5,16.2,20.9,77.5,9.5,37.8,47.3,21.5,14.0,6.5,4.3,6.4,19.8,100.7
4,Losses,33,48.8,98.7,0,33,0.0,37.7,87.4,43.1,8.3,25.3,32.8,15.0,20.9,72.0,8.8,33.8,42.6,21.8,13.2,6.8,5.9,18.2,-11.8,41.9,89.8,46.6,11.2,29.4,38.0,15.6,20.1,77.6,10.8,39.2,50.0,25.0,13.1,8.0,4.9,5.9,18.6,110.5
5,October,3,48.0,98.3,0,3,0.0,39.0,92.7,42.1,4.0,21.0,19.0,16.3,21.3,76.6,8.0,34.3,42.3,24.7,12.0,10.0,5.0,24.0,-10.7,38.7,85.7,45.1,9.0,25.3,35.5,22.7,28.0,81.0,8.7,43.7,52.3,23.7,16.3,7.0,4.3,5.0,19.7,109.0
6,November,16,48.9,103.7,7,9,0.438,38.2,84.4,45.2,8.7,25.1,34.6,18.6,23.9,77.8,7.7,36.0,43.7,23.1,13.4,8.0,6.8,18.5,-0.5,39.1,89.8,43.6,10.1,29.4,34.2,15.9,20.3,78.4,10.2,36.8,47.0,24.4,13.6,7.8,4.1,6.8,20.1,104.2
7,December,16,48.9,102.9,7,9,0.438,38.2,88.3,43.3,9.9,26.7,37.0,16.6,22.8,72.9,9.2,36.3,45.5,22.4,12.2,6.5,5.2,17.4,-4.3,40.6,90.2,45.0,11.6,32.1,36.1,14.3,19.3,74.1,10.7,39.2,49.9,24.1,12.8,6.6,4.8,5.2,19.4,107.1
8,January,14,48.4,105.1,5,9,0.357,39.9,89.9,44.4,11.7,30.5,38.4,13.6,18.9,71.7,10.0,35.0,45.0,22.9,12.4,8.2,6.4,18.0,-1.8,40.4,90.0,44.8,10.6,29.0,36.7,15.6,19.9,78.1,11.0,39.2,50.2,22.1,13.9,7.6,5.4,6.4,17.6,106.9
9,February,4,48.0,98.5,1,3,0.25,38.8,83.8,46.3,6.0,22.0,27.3,15.0,20.8,72.3,7.0,33.5,40.5,19.0,14.0,6.8,7.0,18.3,-15.5,43.5,88.0,49.4,9.8,29.0,33.6,17.3,21.3,81.2,8.3,38.0,46.3,24.8,11.8,8.8,4.3,7.0,18.5,114.0
10,Pre All-Star,53,48.7,103.1,20,33,0.377,38.7,87.5,44.3,9.4,26.5,35.3,16.3,21.9,74.4,8.7,35.5,44.3,22.6,12.7,7.6,6.1,18.3,-3.7,40.2,89.6,44.9,10.6,29.8,35.5,15.8,20.4,77.5,10.3,38.6,49.0,23.7,13.5,7.4,4.7,6.1,19.1,106.8
11,0 Days Rest,10,50.5,103.0,3,7,0.3,38.8,89.6,43.3,9.1,27.7,32.9,16.3,21.0,77.6,7.5,36.9,44.4,21.6,13.2,7.1,6.0,20.3,-6.1,40.1,91.1,44.0,11.6,32.6,35.6,17.3,23.1,74.9,9.8,40.2,50.0,23.8,13.6,8.2,4.2,6.0,19.8,109.1
12,1 Days Rest,31,48.3,103.6,13,18,0.419,39.2,87.7,44.7,9.5,26.5,35.9,15.8,21.6,73.3,9.1,35.5,44.7,22.7,12.4,7.5,6.6,17.7,-3.1,40.4,89.7,45.0,10.2,28.3,36.2,15.8,20.2,78.1,10.8,38.6,49.5,23.4,13.1,6.9,4.7,6.6,19.0,106.7
13,2 Days Rest,11,48.0,101.9,4,7,0.364,37.5,84.5,44.5,9.9,26.5,37.5,16.9,23.1,73.2,9.0,35.0,44.0,22.4,13.5,7.6,5.0,17.2,-3.1,40.2,88.5,45.4,10.9,32.4,33.7,13.7,17.4,79.1,9.3,36.5,45.8,24.8,13.2,8.2,5.1,5.0,18.5,105.0
14,5 Days Rest,1,48.0,102.0,0,1,0.0,38.0,92.0,41.3,3.0,19.0,15.8,23.0,26.0,88.5,5.0,28.0,33.0,31.0,11.0,16.0,5.0,29.0,-5.0,37.0,83.0,44.6,8.0,24.0,33.3,25.0,33.0,75.8,11.0,47.0,58.0,18.0,25.0,7.0,4.0,5.0,22.0,107.0
