,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - NYK vs. LAC",L,240,115,46,92,50.0,8,27,29.6,15,18,83.3,12,29,41,25,9,5,11,22,2017-02-08 00:00:00,LAC,HOME
1,"FEB 06, 2017 - NYK vs. LAL",L,240,107,37,82,45.1,7,21,33.3,26,33,78.8,6,34,40,16,4,4,16,24,2017-02-06 00:00:00,LAL,HOME
2,"FEB 04, 2017 - NYK vs. CLE",L,240,104,39,86,45.3,12,31,38.7,14,28,50.0,13,29,42,23,9,7,10,20,2017-02-04 00:00:00,CLE,HOME
3,"FEB 01, 2017 - NYK @ BKN",W,240,95,35,99,35.4,6,27,22.2,19,31,61.3,21,37,58,23,16,7,13,18,2017-02-01 00:00:00,BKN,AWAY
4,"JAN 31, 2017 - NYK @ WAS",L,240,101,34,93,36.6,5,24,20.8,28,35,80.0,22,29,51,18,8,2,12,17,2017-01-31 00:00:00,WAS,AWAY
5,"JAN 29, 2017 - NYK @ ATL",L,340,139,51,128,39.8,18,51,35.3,19,23,82.6,15,48,63,32,9,11,12,39,2017-01-29 00:00:00,ATL,AWAY
6,"JAN 27, 2017 - NYK vs. CHA",W,240,110,46,96,47.9,9,27,33.3,9,13,69.2,11,37,48,22,8,9,10,18,2017-01-27 00:00:00,CHA,HOME
7,"JAN 25, 2017 - NYK @ DAL",L,240,95,39,92,42.4,7,23,30.4,10,12,83.3,18,37,55,17,4,2,18,21,2017-01-25 00:00:00,DAL,AWAY
8,"JAN 23, 2017 - NYK @ IND",W,240,109,35,76,46.1,8,22,36.4,31,35,88.6,6,37,43,19,8,7,14,21,2017-01-23 00:00:00,IND,AWAY
9,"JAN 21, 2017 - NYK vs. PHX",L,240,105,40,89,44.9,11,21,52.4,14,16,87.5,15,31,46,20,6,3,12,20,2017-01-21 00:00:00,PHX,HOME
10,"JAN 19, 2017 - NYK vs. WAS",L,240,110,42,90,46.7,7,24,29.2,19,22,86.4,14,27,41,20,7,4,10,14,2017-01-19 00:00:00,WAS,HOME
11,"JAN 18, 2017 - NYK @ BOS",W,240,117,46,91,50.5,10,25,40.0,15,18,83.3,18,39,57,27,2,8,14,24,2017-01-18 00:00:00,BOS,AWAY
12,"JAN 16, 2017 - NYK vs. ATL",L,240,107,42,85,49.4,8,26,30.8,15,23,65.2,15,38,53,21,8,3,18,22,2017-01-16 00:00:00,ATL,HOME
13,"JAN 15, 2017 - NYK @ TOR",L,240,101,35,84,41.7,12,29,41.4,19,27,70.4,11,30,41,21,7,7,14,16,2017-01-15 00:00:00,TOR,AWAY
14,"JAN 12, 2017 - NYK vs. CHI",W,240,104,44,92,47.8,7,23,30.4,9,11,81.8,17,31,48,21,3,7,12,17,2017-01-12 00:00:00,CHI,HOME
15,"JAN 11, 2017 - NYK @ PHI",L,240,97,42,86,48.8,4,22,18.2,9,10,90.0,8,32,40,20,7,8,13,22,2017-01-11 00:00:00,PHI,AWAY
16,"JAN 09, 2017 - NYK vs. NOP",L,240,96,36,85,42.4,11,29,37.9,13,16,81.3,12,33,45,17,5,4,14,18,2017-01-09 00:00:00,NOP,HOME
17,"JAN 07, 2017 - NYK @ IND",L,240,109,40,87,46.0,12,31,38.7,17,24,70.8,6,26,32,25,9,7,17,24,2017-01-07 00:00:00,IND,AWAY
18,"JAN 06, 2017 - NYK @ MIL",W,240,116,41,83,49.4,13,23,56.5,21,27,77.8,11,29,40,29,5,6,14,21,2017-01-06 00:00:00,MIL,AWAY
19,"JAN 04, 2017 - NYK vs. MIL",L,240,104,42,94,44.7,13,28,46.4,7,12,58.3,15,31,46,26,9,3,13,19,2017-01-04 00:00:00,MIL,HOME
20,"JAN 02, 2017 - NYK vs. ORL",L,240,103,39,83,47.0,8,21,38.1,17,24,70.8,16,30,46,18,7,5,18,17,2017-01-02 00:00:00,ORL,HOME
21,"DEC 31, 2016 - NYK @ HOU",L,240,122,47,105,44.8,10,32,31.3,18,25,72.0,13,35,48,21,7,3,7,20,2016-12-31 00:00:00,HOU,AWAY
22,"DEC 30, 2016 - NYK @ NOP",L,240,92,35,93,37.6,7,23,30.4,15,16,93.8,10,40,50,18,7,6,14,18,2016-12-30 00:00:00,NOP,AWAY
23,"DEC 28, 2016 - NYK @ ATL",L,265,98,35,93,37.6,7,27,25.9,21,26,80.8,14,41,55,20,8,7,17,23,2016-12-28 00:00:00,ATL,AWAY
24,"DEC 25, 2016 - NYK vs. BOS",L,240,114,41,87,47.1,8,23,34.8,24,27,88.9,17,32,49,11,5,6,17,23,2016-12-25 00:00:00,BOS,HOME
25,"DEC 22, 2016 - NYK vs. ORL",W,240,106,41,96,42.7,9,20,45.0,15,17,88.2,18,34,52,26,9,9,15,18,2016-12-22 00:00:00,ORL,HOME
26,"DEC 20, 2016 - NYK vs. IND",W,240,118,44,88,50.0,13,23,56.5,17,21,81.0,4,41,45,24,6,8,14,18,2016-12-20 00:00:00,IND,HOME
27,"DEC 17, 2016 - NYK @ DEN",L,240,114,35,80,43.8,8,23,34.8,36,39,92.3,9,26,35,18,6,4,11,27,2016-12-17 00:00:00,DEN,AWAY
28,"DEC 15, 2016 - NYK @ GSW",L,240,90,38,93,40.9,5,21,23.8,9,19,47.4,14,35,49,19,10,5,11,10,2016-12-15 00:00:00,GSW,AWAY
29,"DEC 13, 2016 - NYK @ PHX",L,265,111,38,97,39.2,7,20,35.0,28,38,73.7,11,32,43,23,10,4,13,27,2016-12-13 00:00:00,PHX,AWAY
30,"DEC 11, 2016 - NYK @ LAL",W,240,118,41,84,48.8,10,22,45.5,26,31,83.9,8,36,44,21,9,11,10,15,2016-12-11 00:00:00,LAL,AWAY
31,"DEC 09, 2016 - NYK @ SAC",W,240,103,36,84,42.9,10,29,34.5,21,25,84.0,12,42,54,22,3,6,16,25,2016-12-09 00:00:00,SAC,AWAY
32,"DEC 07, 2016 - NYK vs. CLE",L,240,94,35,87,40.2,11,31,35.5,13,15,86.7,13,30,43,22,6,3,16,22,2016-12-07 00:00:00,CLE,HOME
33,"DEC 06, 2016 - NYK @ MIA",W,240,114,48,98,49.0,7,25,28.0,11,16,68.8,18,35,53,22,6,6,10,18,2016-12-06 00:00:00,MIA,AWAY
34,"DEC 04, 2016 - NYK vs. SAC",W,240,106,39,88,44.3,11,29,37.9,17,24,70.8,14,44,58,20,5,10,18,25,2016-12-04 00:00:00,SAC,HOME
35,"DEC 02, 2016 - NYK vs. MIN",W,240,118,41,86,47.7,12,31,38.7,24,30,80.0,11,32,43,26,9,6,15,18,2016-12-02 00:00:00,MIN,HOME
36,"NOV 30, 2016 - NYK @ MIN",W,240,106,41,91,45.1,13,32,40.6,11,15,73.3,12,27,39,24,8,3,13,26,2016-11-30 00:00:00,MIN,AWAY
37,"NOV 28, 2016 - NYK vs. OKC",L,240,103,36,91,39.6,6,19,31.6,25,28,89.3,12,28,40,20,9,11,5,16,2016-11-28 00:00:00,OKC,HOME
38,"NOV 26, 2016 - NYK @ CHA",L,240,102,37,99,37.4,12,32,37.5,16,20,80.0,11,36,47,26,9,6,8,27,2016-11-26 00:00:00,CHA,AWAY
39,"NOV 25, 2016 - NYK vs. CHA",W,265,113,45,97,46.4,11,28,39.3,12,13,92.3,13,42,55,26,9,8,16,21,2016-11-25 00:00:00,CHA,HOME
40,"NOV 22, 2016 - NYK vs. POR",W,240,107,45,96,46.9,9,29,31.0,8,8,100.0,10,33,43,26,8,5,13,23,2016-11-22 00:00:00,POR,HOME
41,"NOV 20, 2016 - NYK vs. ATL",W,240,104,42,88,47.7,10,27,37.0,10,14,71.4,11,39,50,21,8,1,15,23,2016-11-20 00:00:00,ATL,HOME
42,"NOV 17, 2016 - NYK @ WAS",L,240,112,41,86,47.7,12,29,41.4,18,20,90.0,10,26,36,23,9,1,13,20,2016-11-17 00:00:00,WAS,AWAY
43,"NOV 16, 2016 - NYK vs. DET",W,240,105,42,93,45.2,9,25,36.0,12,19,63.2,19,33,52,24,8,9,9,11,2016-11-16 00:00:00,DET,HOME
44,"NOV 14, 2016 - NYK vs. DAL",W,240,93,34,78,43.6,9,25,36.0,16,18,88.9,14,37,51,18,5,5,17,16,2016-11-14 00:00:00,DAL,HOME
45,"NOV 12, 2016 - NYK @ TOR",L,240,107,44,97,45.4,7,23,30.4,12,16,75.0,17,32,49,19,3,2,16,23,2016-11-12 00:00:00,TOR,AWAY
46,"NOV 11, 2016 - NYK @ BOS",L,240,87,33,94,35.1,6,23,26.1,15,17,88.2,21,36,57,19,7,11,25,26,2016-11-11 00:00:00,BOS,AWAY
47,"NOV 09, 2016 - NYK vs. BKN",W,240,110,44,92,47.8,10,30,33.3,12,17,70.6,9,41,50,25,11,5,14,21,2016-11-09 00:00:00,BKN,HOME
48,"NOV 06, 2016 - NYK vs. UTA",L,240,109,42,83,50.6,8,20,40.0,17,19,89.5,10,29,39,18,8,5,12,26,2016-11-06 00:00:00,UTA,HOME
49,"NOV 04, 2016 - NYK @ CHI",W,240,117,46,89,51.7,9,21,42.9,16,21,76.2,11,29,40,32,7,2,5,23,2016-11-04 00:00:00,CHI,AWAY
50,"NOV 02, 2016 - NYK vs. HOU",L,240,99,37,85,43.5,8,20,40.0,17,25,68.0,7,27,34,18,10,6,16,22,2016-11-02 00:00:00,HOU,HOME
51,"NOV 01, 2016 - NYK @ DET",L,240,89,35,86,40.7,7,22,31.8,12,15,80.0,8,35,43,18,6,9,11,20,2016-11-01 00:00:00,DET,AWAY
52,"OCT 29, 2016 - NYK vs. MEM",W,240,111,40,76,52.6,6,21,28.6,25,39,64.1,6,35,41,24,4,4,12,25,2016-10-29 00:00:00,MEM,HOME
53,"OCT 25, 2016 - NYK @ CLE",L,240,88,32,87,36.8,9,27,33.3,15,20,75.0,13,29,42,17,6,6,18,22,2016-10-25 00:00:00,CLE,AWAY
