BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,21,11.1,3.9,1.5,4.0,36.5,0.9,2.4,35.3,0.0,0.1,50.0,0.0,1.1,1.2,0.4,0.3,0.5,0.2,0.6,0,0,-0.8
Home,7,12.4,6.3,2.4,5.1,47.2,1.4,3.3,43.5,0.0,0.0,0.0,0.0,1.3,1.3,0.4,0.1,0.0,0.4,0.9,0,0,2.9
Road,14,10.5,2.6,1.0,3.5,28.6,0.6,2.0,28.6,0.1,0.1,50.0,0.1,1.1,1.1,0.4,0.4,0.7,0.1,0.4,0,0,-2.6
Wins,8,11.4,5.1,1.9,4.3,44.1,1.4,3.1,44.0,0.0,0.0,0.0,0.0,1.3,1.3,0.4,0.3,0.1,0.5,0.6,0,0,3.4
Losses,13,11.0,3.1,1.2,3.9,31.4,0.5,2.0,26.9,0.1,0.2,50.0,0.1,1.1,1.2,0.4,0.3,0.7,0.0,0.5,0,0,-3.4
October,3,19.0,9.7,3.7,9.3,39.3,2.3,5.7,41.2,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.3,1.0,0.3,1.7,0,0,-4.0
November,6,12.3,4.2,1.7,4.0,41.7,0.8,2.7,31.3,0.0,0.0,0.0,0.0,1.2,1.2,0.3,0.2,0.3,0.5,0.5,0,0,1.0
December,5,7.2,1.6,0.6,2.0,30.0,0.4,1.0,40.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,0.4,0.0,0.0,0.2,0,0,1.6
January,6,10.5,3.2,1.2,3.7,31.8,0.7,2.2,30.8,0.2,0.3,50.0,0.2,1.3,1.5,0.5,0.3,0.8,0.0,0.5,0,0,-3.3
February,1,3.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0
Pre All-Star,21,11.1,3.9,1.5,4.0,36.5,0.9,2.4,35.3,0.0,0.1,50.0,0.0,1.1,1.2,0.4,0.3,0.5,0.2,0.6,0,0,-0.8
Bench,21,11.1,3.9,1.5,4.0,36.5,0.9,2.4,35.3,0.0,0.1,50.0,0.0,1.1,1.2,0.4,0.3,0.5,0.2,0.6,0,0,-0.8
0 Days Rest,5,7.8,1.0,0.4,1.8,22.2,0.2,1.0,20.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.8,0.0,0.6,0,0,-6.2
1 Days Rest,5,11.2,5.8,2.2,4.4,50.0,1.4,3.0,46.7,0.0,0.0,0.0,0.0,1.2,1.2,0.6,0.2,0.6,0.6,0.6,0,0,2.2
2 Days Rest,1,27.0,22.0,8.0,17.0,47.1,6.0,12.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0,0,15.0
3 Days Rest,1,4.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
4 Days Rest,3,11.4,4.7,2.0,4.0,50.0,0.7,1.3,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,0.3,0.0,0.0,0.3,0,0,1.3
5 Days Rest,3,17.7,1.3,0.3,5.3,6.3,0.3,3.7,9.1,0.3,0.7,50.0,0.3,2.3,2.7,0.3,0.7,1.0,0.0,0.3,0,0,1.0
6+ Days Rest,3,6.4,2.3,1.0,2.7,37.5,0.3,1.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.7,0,0,-6.7
