,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"JAN 18, 2017 - SAC vs. IND",L,28,21,8,13,61.5,3,4,75.0,2,2,100.0,3,1,4,0,2,1,3,3,9,2017-01-18 00:00:00,IND,HOME
1,"JAN 15, 2017 - SAC vs. OKC",L,36,22,6,18,33.3,2,5,40.0,8,9,88.9,2,8,10,2,2,2,3,4,10,2017-01-15 00:00:00,OKC,HOME
2,"JAN 13, 2017 - SAC vs. CLE",L,35,23,8,14,57.1,3,3,100.0,4,5,80.0,5,5,10,2,0,4,2,5,-12,2017-01-13 00:00:00,CLE,HOME
3,"JAN 10, 2017 - SAC vs. DET",W,38,11,3,11,27.3,1,2,50.0,4,4,100.0,2,5,7,4,3,1,7,5,10,2017-01-10 00:00:00,DET,HOME
4,"JAN 08, 2017 - SAC vs. GSW",L,35,23,9,17,52.9,2,6,33.3,3,4,75.0,0,1,1,3,2,2,4,3,-15,2017-01-08 00:00:00,GSW,HOME
5,"JAN 06, 2017 - SAC vs. LAC",L,33,18,7,17,41.2,1,6,16.7,3,3,100.0,1,6,7,1,0,0,0,0,0,2017-01-06 00:00:00,LAC,HOME
6,"DEC 26, 2016 - SAC vs. PHI",W,36,17,7,16,43.8,1,4,25.0,2,2,100.0,2,7,9,2,0,1,4,1,8,2016-12-26 00:00:00,PHI,HOME
7,"DEC 12, 2016 - SAC vs. LAL",W,14,7,2,6,33.3,0,3,0.0,3,3,100.0,0,5,5,2,2,1,0,0,8,2016-12-12 00:00:00,LAL,HOME
8,"DEC 10, 2016 - SAC @ UTA",L,33,20,7,15,46.7,3,4,75.0,3,4,75.0,0,5,5,3,2,0,1,2,-4,2016-12-10 00:00:00,UTA,AWAY
9,"DEC 09, 2016 - SAC vs. NYK",L,35,13,4,15,26.7,0,5,0.0,5,6,83.3,0,5,5,1,1,0,0,5,-8,2016-12-09 00:00:00,NYK,HOME
10,"DEC 07, 2016 - SAC @ DAL",W,31,19,8,14,57.1,1,3,33.3,2,2,100.0,1,2,3,4,4,0,2,1,35,2016-12-07 00:00:00,DAL,AWAY
