,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - GSW @ OKC",W,16,6,3,3,100.0,0,0,0.0,0,1,0.0,0,2,2,2,1,0,0,0,8,2017-02-11 00:00:00,OKC,AWAY
1,"FEB 10, 2017 - GSW @ MEM",W,12,2,0,3,0.0,0,0,0.0,2,2,100.0,0,1,1,2,0,0,1,4,3,2017-02-10 00:00:00,MEM,AWAY
2,"FEB 08, 2017 - GSW vs. CHI",W,16,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,2,1,2017-02-08 00:00:00,CHI,HOME
3,"FEB 04, 2017 - GSW @ SAC",L,17,8,3,4,75.0,0,0,0.0,2,2,100.0,0,2,2,0,0,1,0,0,-7,2017-02-04 00:00:00,SAC,AWAY
4,"JAN 29, 2017 - GSW @ POR",W,23,6,3,6,50.0,0,0,0.0,0,0,0.0,0,1,1,3,1,0,2,3,-10,2017-01-29 00:00:00,POR,AWAY
5,"JAN 28, 2017 - GSW vs. LAC",W,16,8,4,6,66.7,0,0,0.0,0,0,0.0,0,2,2,1,1,1,0,1,3,2017-01-28 00:00:00,LAC,HOME
6,"JAN 25, 2017 - GSW @ CHA",W,18,2,1,7,14.3,0,0,0.0,0,0,0.0,0,1,1,3,1,0,0,3,14,2017-01-25 00:00:00,CHA,AWAY
7,"JAN 23, 2017 - GSW @ MIA",L,21,4,2,4,50.0,0,0,0.0,0,0,0.0,1,4,5,5,1,1,3,4,1,2017-01-23 00:00:00,MIA,AWAY
8,"JAN 20, 2017 - GSW @ HOU",W,18,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,0,0,1,2,1,4,2017-01-20 00:00:00,HOU,AWAY
9,"JAN 18, 2017 - GSW vs. OKC",W,20,8,4,8,50.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,0,4,2017-01-18 00:00:00,OKC,HOME
10,"JAN 16, 2017 - GSW vs. CLE",W,15,13,6,7,85.7,0,0,0.0,1,1,100.0,0,2,2,1,0,0,1,4,13,2017-01-16 00:00:00,CLE,HOME
11,"JAN 12, 2017 - GSW vs. DET",W,21,10,5,7,71.4,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,1,-10,2017-01-12 00:00:00,DET,HOME
12,"JAN 10, 2017 - GSW vs. MIA",W,18,8,3,5,60.0,0,0,0.0,2,4,50.0,0,0,0,1,0,0,0,3,0,2017-01-10 00:00:00,MIA,HOME
13,"JAN 08, 2017 - GSW @ SAC",W,19,6,3,4,75.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,1,0,-2,2017-01-08 00:00:00,SAC,AWAY
14,"JAN 06, 2017 - GSW vs. MEM",L,16,7,3,4,75.0,0,0,0.0,1,2,50.0,0,2,2,2,1,0,3,2,-10,2017-01-06 00:00:00,MEM,HOME
15,"JAN 04, 2017 - GSW vs. POR",W,18,9,4,6,66.7,0,0,0.0,1,1,100.0,1,3,4,1,0,0,2,0,1,2017-01-04 00:00:00,POR,HOME
16,"JAN 02, 2017 - GSW vs. DEN",W,18,6,3,6,50.0,0,0,0.0,0,1,0.0,2,1,3,4,1,0,0,0,9,2017-01-02 00:00:00,DEN,HOME
17,"DEC 30, 2016 - GSW vs. DAL",W,18,6,3,5,60.0,0,0,0.0,0,0,0.0,0,2,2,0,0,2,0,1,-5,2016-12-30 00:00:00,DAL,HOME
18,"DEC 28, 2016 - GSW vs. TOR",W,12,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,2,2,-20,2016-12-28 00:00:00,TOR,HOME
19,"DEC 25, 2016 - GSW @ CLE",L,18,2,0,2,0.0,0,0,0.0,2,2,100.0,0,3,3,3,0,1,1,1,-2,2016-12-25 00:00:00,CLE,AWAY
20,"DEC 23, 2016 - GSW @ DET",W,15,4,2,5,40.0,0,0,0.0,0,0,0.0,0,1,1,2,2,0,0,2,-6,2016-12-23 00:00:00,DET,AWAY
21,"DEC 22, 2016 - GSW @ BKN",W,18,4,2,4,50.0,0,0,0.0,0,0,0.0,0,2,2,0,2,0,2,2,-3,2016-12-22 00:00:00,BKN,AWAY
22,"DEC 20, 2016 - GSW vs. UTA",W,18,2,1,4,25.0,0,0,0.0,0,0,0.0,1,1,2,4,0,0,0,5,5,2016-12-20 00:00:00,UTA,HOME
23,"DEC 17, 2016 - GSW vs. POR",W,16,8,3,5,60.0,0,0,0.0,2,2,100.0,0,2,2,1,1,0,1,0,12,2016-12-17 00:00:00,POR,HOME
24,"DEC 15, 2016 - GSW vs. NYK",W,19,10,5,8,62.5,0,0,0.0,0,0,0.0,0,1,1,3,0,1,0,2,-6,2016-12-15 00:00:00,NYK,HOME
25,"DEC 13, 2016 - GSW @ NOP",W,17,4,2,5,40.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,2016-12-13 00:00:00,NOP,AWAY
26,"DEC 11, 2016 - GSW @ MIN",W,19,9,4,5,80.0,0,0,0.0,1,1,100.0,0,4,4,1,1,0,0,1,13,2016-12-11 00:00:00,MIN,AWAY
