BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,8,2.7,0.6,0.3,0.9,28.6,0.1,0.8,16.7,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0,0,0.0
Home,3,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0,0,-1.0
Road,5,2.6,1.0,0.4,0.8,50.0,0.2,0.6,33.3,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0,0,0.6
Wins,6,2.7,0.3,0.2,1.0,16.7,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0,0,-0.3
Losses,2,2.7,1.5,0.5,0.5,100,0.5,0.5,100,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0,0,1.0
November,2,2.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,0,-1.0
December,6,2.8,0.8,0.3,0.8,40.0,0.2,0.7,25.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.2,0,0,0.3
Pre All-Star,8,2.7,0.6,0.3,0.9,28.6,0.1,0.8,16.7,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0,0,0.0
Bench,8,2.7,0.6,0.3,0.9,28.6,0.1,0.8,16.7,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0,0,0.0
0 Days Rest,1,1.8,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0
1 Days Rest,2,3.3,1.5,0.5,1.0,50.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.5
4 Days Rest,2,2.6,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0,0,1.5
6+ Days Rest,3,2.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0,0,-1.7
