,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - MEM vs. GSW",L,25,17,5,9,55.6,0,1,0.0,7,9,77.8,6,7,13,1,0,0,2,1,-12,2017-02-10 00:00:00,GSW,HOME
1,"FEB 06, 2017 - MEM vs. SAS",W,23,15,6,13,46.2,0,0,0.0,3,3,100.0,3,3,6,0,0,0,1,3,-2,2017-02-06 00:00:00,SAS,HOME
2,"FEB 04, 2017 - MEM @ MIN",W,31,9,3,15,20.0,0,3,0.0,3,5,60.0,4,6,10,2,1,1,1,6,4,2017-02-04 00:00:00,MIN,AWAY
3,"FEB 03, 2017 - MEM @ OKC",L,29,16,6,14,42.9,0,1,0.0,4,4,100.0,3,7,10,3,1,0,1,4,-19,2017-02-03 00:00:00,OKC,AWAY
4,"FEB 01, 2017 - MEM @ DEN",W,21,14,7,12,58.3,0,1,0.0,0,0,0.0,1,5,6,2,0,0,4,2,13,2017-02-01 00:00:00,DEN,AWAY
5,"JAN 30, 2017 - MEM @ PHX",W,23,18,8,13,61.5,2,3,66.7,0,0,0.0,0,5,5,0,1,0,2,1,10,2017-01-30 00:00:00,PHX,AWAY
6,"JAN 28, 2017 - MEM @ UTA",W,34,28,12,20,60.0,0,1,0.0,4,4,100.0,3,6,9,1,1,0,1,1,8,2017-01-28 00:00:00,UTA,AWAY
7,"JAN 27, 2017 - MEM @ POR",L,31,17,8,11,72.7,0,1,0.0,1,2,50.0,4,9,13,3,1,0,1,1,3,2017-01-27 00:00:00,POR,AWAY
8,"JAN 25, 2017 - MEM vs. TOR",W,38,16,7,10,70.0,1,2,50.0,1,4,25.0,1,7,8,3,0,0,1,1,-5,2017-01-25 00:00:00,TOR,HOME
9,"JAN 21, 2017 - MEM vs. HOU",L,24,11,4,11,36.4,0,2,0.0,3,5,60.0,1,7,8,1,0,0,0,1,-9,2017-01-21 00:00:00,HOU,HOME
10,"JAN 20, 2017 - MEM vs. SAC",W,24,20,7,14,50.0,2,3,66.7,4,5,80.0,2,8,10,2,0,0,1,2,23,2017-01-20 00:00:00,SAC,HOME
11,"JAN 18, 2017 - MEM @ WAS",L,20,6,3,14,21.4,0,1,0.0,0,0,0.0,3,6,9,0,0,0,0,1,-4,2017-01-18 00:00:00,WAS,AWAY
12,"JAN 15, 2017 - MEM vs. CHI",L,33,15,7,19,36.8,1,1,100.0,0,0,0.0,8,8,16,2,0,0,1,3,8,2017-01-15 00:00:00,CHI,HOME
13,"JAN 13, 2017 - MEM @ HOU",W,23,16,7,16,43.8,1,2,50.0,1,2,50.0,3,9,12,2,2,0,2,3,11,2017-01-13 00:00:00,HOU,AWAY
14,"JAN 11, 2017 - MEM @ OKC",L,27,14,6,13,46.2,0,0,0.0,2,3,66.7,4,5,9,1,0,0,4,2,-5,2017-01-11 00:00:00,OKC,AWAY
15,"JAN 08, 2017 - MEM vs. UTA",W,27,13,6,16,37.5,0,2,0.0,1,1,100.0,2,9,11,1,3,1,2,1,9,2017-01-08 00:00:00,UTA,HOME
16,"JAN 06, 2017 - MEM @ GSW",W,35,27,12,17,70.6,1,1,100.0,2,2,100.0,4,7,11,6,0,0,1,4,24,2017-01-06 00:00:00,GSW,AWAY
17,"JAN 04, 2017 - MEM @ LAC",L,19,13,6,12,50.0,0,0,0.0,1,2,50.0,0,3,3,0,0,0,2,1,-2,2017-01-04 00:00:00,LAC,AWAY
18,"JAN 03, 2017 - MEM @ LAL",L,28,11,3,12,25.0,1,2,50.0,4,4,100.0,3,6,9,1,1,0,0,1,2,2017-01-03 00:00:00,LAL,AWAY
19,"DEC 31, 2016 - MEM @ SAC",W,24,14,7,16,43.8,0,2,0.0,0,0,0.0,2,4,6,3,0,0,2,4,19,2016-12-31 00:00:00,SAC,AWAY
20,"DEC 29, 2016 - MEM vs. OKC",W,25,21,10,17,58.8,1,3,33.3,0,0,0.0,2,6,8,2,0,0,1,2,21,2016-12-29 00:00:00,OKC,HOME
21,"DEC 27, 2016 - MEM @ BOS",L,28,16,6,13,46.2,0,1,0.0,4,4,100.0,5,5,10,2,1,0,3,1,-6,2016-12-27 00:00:00,BOS,AWAY
22,"DEC 26, 2016 - MEM @ ORL",L,23,13,6,15,40.0,1,3,33.3,0,0,0.0,1,4,5,3,1,1,0,1,2,2016-12-26 00:00:00,ORL,AWAY
23,"DEC 23, 2016 - MEM vs. HOU",W,20,16,8,11,72.7,0,0,0.0,0,0,0.0,1,4,5,4,1,0,2,1,17,2016-12-23 00:00:00,HOU,HOME
24,"DEC 21, 2016 - MEM @ DET",W,19,6,3,13,23.1,0,2,0.0,0,0,0.0,1,3,4,4,1,0,1,2,9,2016-12-21 00:00:00,DET,AWAY
25,"DEC 20, 2016 - MEM vs. BOS",L,21,9,4,14,28.6,0,2,0.0,1,2,50.0,2,3,5,2,0,1,0,2,7,2016-12-20 00:00:00,BOS,HOME
26,"DEC 18, 2016 - MEM vs. UTA",L,23,12,5,13,38.5,0,2,0.0,2,2,100.0,3,8,11,1,1,0,1,3,3,2016-12-18 00:00:00,UTA,HOME
27,"DEC 16, 2016 - MEM vs. SAC",L,27,10,4,9,44.4,0,0,0.0,2,2,100.0,3,6,9,5,0,0,1,4,4,2016-12-16 00:00:00,SAC,HOME
28,"DEC 14, 2016 - MEM vs. CLE",W,19,6,2,11,18.2,0,1,0.0,2,2,100.0,3,4,7,4,0,0,0,1,-5,2016-12-14 00:00:00,CLE,HOME
29,"DEC 13, 2016 - MEM @ CLE",L,31,18,9,15,60.0,0,1,0.0,0,0,0.0,1,4,5,2,2,1,1,1,-23,2016-12-13 00:00:00,CLE,AWAY
30,"DEC 10, 2016 - MEM vs. GSW",W,21,14,6,11,54.5,1,2,50.0,1,1,100.0,2,5,7,1,0,0,0,1,-4,2016-12-10 00:00:00,GSW,HOME
31,"DEC 08, 2016 - MEM vs. POR",W,17,7,2,10,20.0,0,1,0.0,3,6,50.0,4,5,9,2,0,0,1,4,-17,2016-12-08 00:00:00,POR,HOME
32,"DEC 06, 2016 - MEM vs. PHI",W,22,12,5,16,31.3,0,0,0.0,2,4,50.0,6,8,14,1,0,0,0,0,6,2016-12-06 00:00:00,PHI,HOME
33,"NOV 23, 2016 - MEM @ PHI",W,27,11,5,14,35.7,0,1,0.0,1,2,50.0,1,5,6,1,1,2,0,5,1,2016-11-23 00:00:00,PHI,AWAY
34,"NOV 21, 2016 - MEM @ CHA",W,21,14,7,14,50.0,0,0,0.0,0,0,0.0,1,7,8,1,0,0,0,2,0,2016-11-21 00:00:00,CHA,AWAY
35,"NOV 19, 2016 - MEM vs. MIN",W,21,18,7,11,63.6,1,2,50.0,3,4,75.0,1,6,7,0,0,0,0,2,9,2016-11-19 00:00:00,MIN,HOME
36,"NOV 18, 2016 - MEM @ DAL",W,22,10,4,12,33.3,0,2,0.0,2,2,100.0,2,6,8,3,0,0,1,0,3,2016-11-18 00:00:00,DAL,AWAY
37,"NOV 16, 2016 - MEM @ LAC",W,26,18,7,13,53.8,0,0,0.0,4,4,100.0,2,5,7,1,0,0,1,0,6,2016-11-16 00:00:00,LAC,AWAY
38,"NOV 14, 2016 - MEM @ UTA",W,23,18,7,13,53.8,0,0,0.0,4,4,100.0,5,5,10,0,0,0,2,4,7,2016-11-14 00:00:00,UTA,AWAY
39,"NOV 12, 2016 - MEM @ MIL",L,23,12,6,13,46.2,0,1,0.0,0,0,0.0,1,6,7,1,3,0,0,1,-8,2016-11-12 00:00:00,MIL,AWAY
40,"NOV 08, 2016 - MEM vs. DEN",W,23,16,8,13,61.5,0,0,0.0,0,1,0.0,4,4,8,0,0,0,1,2,-5,2016-11-08 00:00:00,DEN,HOME
41,"NOV 06, 2016 - MEM vs. POR",L,20,15,6,11,54.5,1,1,100.0,2,2,100.0,1,6,7,2,0,0,1,1,7,2016-11-06 00:00:00,POR,HOME
42,"NOV 04, 2016 - MEM vs. LAC",L,28,15,6,11,54.5,0,1,0.0,3,5,60.0,1,8,9,2,0,0,4,2,3,2016-11-04 00:00:00,LAC,HOME
43,"NOV 02, 2016 - MEM vs. NOP",W,20,10,5,18,27.8,0,2,0.0,0,1,0.0,4,7,11,0,0,0,2,3,-12,2016-11-02 00:00:00,NOP,HOME
44,"NOV 01, 2016 - MEM @ MIN",L,10,2,1,6,16.7,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,2,-22,2016-11-01 00:00:00,MIN,AWAY
45,"OCT 30, 2016 - MEM vs. WAS",W,25,22,10,16,62.5,0,1,0.0,2,3,66.7,1,7,8,1,3,0,4,3,-7,2016-10-30 00:00:00,WAS,HOME
46,"OCT 29, 2016 - MEM @ NYK",L,21,13,5,14,35.7,1,1,100.0,2,2,100.0,2,7,9,2,0,0,1,3,8,2016-10-29 00:00:00,NYK,AWAY
47,"OCT 26, 2016 - MEM vs. MIN",W,25,19,7,12,58.3,1,2,50.0,4,6,66.7,1,10,11,1,0,0,2,1,-1,2016-10-26 00:00:00,MIN,HOME
