,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"DEC 30, 2016 - DAL @ GSW",L,6,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,9,2016-12-30 00:00:00,GSW,AWAY
1,"DEC 26, 2016 - DAL @ NOP",L,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2016-12-26 00:00:00,NOP,AWAY
2,"DEC 19, 2016 - DAL @ DEN",L,5,5,2,3,66.7,1,2,50.0,0,0,0.0,1,0,1,0,0,0,2,0,9,2016-12-19 00:00:00,DEN,AWAY
3,"DEC 18, 2016 - DAL vs. SAC",W,16,0,0,4,0.0,0,1,0.0,0,2,0.0,0,3,3,0,0,2,0,4,12,2016-12-18 00:00:00,SAC,HOME
4,"DEC 16, 2016 - DAL @ UTA",L,3,3,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,1,3,1,2016-12-16 00:00:00,UTA,AWAY
5,"DEC 14, 2016 - DAL vs. DET",L,1,0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,2016-12-14 00:00:00,DET,HOME
6,"DEC 12, 2016 - DAL vs. DEN",W,3,3,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,1,-8,2016-12-12 00:00:00,DEN,HOME
7,"DEC 10, 2016 - DAL @ HOU",L,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-6,2016-12-10 00:00:00,HOU,AWAY
8,"DEC 07, 2016 - DAL vs. SAC",L,11,0,0,2,0.0,0,0,0.0,0,2,0.0,0,5,5,0,0,2,0,1,-10,2016-12-07 00:00:00,SAC,HOME
9,"DEC 03, 2016 - DAL vs. CHI",W,2,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,5,2016-12-03 00:00:00,CHI,HOME
10,"NOV 25, 2016 - DAL @ CLE",L,6,0,0,1,0.0,0,0,0.0,0,2,0.0,0,1,1,0,0,0,0,0,1,2016-11-25 00:00:00,CLE,AWAY
11,"NOV 23, 2016 - DAL vs. LAC",L,3,0,0,1,0.0,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,0,9,2016-11-23 00:00:00,LAC,HOME
12,"NOV 18, 2016 - DAL vs. MEM",L,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,2016-11-18 00:00:00,MEM,HOME
13,"NOV 14, 2016 - DAL @ NYK",L,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,3,2016-11-14 00:00:00,NYK,AWAY
14,"NOV 09, 2016 - DAL @ GSW",L,6,9,3,5,60.0,1,1,100.0,2,2,100.0,2,1,3,0,0,0,0,1,-1,2016-11-09 00:00:00,GSW,AWAY
15,"NOV 04, 2016 - DAL vs. POR",L,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,2016-11-04 00:00:00,POR,HOME
16,"OCT 28, 2016 - DAL vs. HOU",L,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,6,2016-10-28 00:00:00,HOU,HOME
