BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,20,6.3,2.7,1.1,2.0,53.8,0.0,0.0,0.0,0.6,1.2,52.2,1.3,1.4,2.7,0.1,0.5,0.4,0.5,1.4,2,0,1.1
Home,8,4.3,1.8,0.6,1.5,41.7,0.0,0.0,0.0,0.5,0.9,57.1,0.8,0.6,1.4,0.0,0.3,0.0,0.1,1.0,0,0,0.0
Road,12,7.6,3.3,1.3,2.3,59.3,0.0,0.0,0.0,0.7,1.3,50.0,1.6,1.9,3.5,0.1,0.7,0.6,0.7,1.7,2,0,1.8
Wins,3,11.7,5.3,2.0,2.3,85.7,0.0,0.0,0.0,1.3,2.0,66.7,2.7,2.7,5.3,0.3,0.3,0.7,0.3,3.0,1,0,4.0
Losses,17,5.4,2.2,0.9,1.9,46.9,0.0,0.0,0.0,0.5,1.0,47.1,1.0,1.2,2.2,0.0,0.5,0.3,0.5,1.1,1,0,0.5
October,1,3.8,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0,0,4.0
November,6,12.1,5.7,2.3,3.5,66.7,0.0,0.0,0.0,1.0,2.0,50.0,2.7,3.3,6.0,0.2,0.8,0.7,1.2,2.3,2,0,2.3
December,7,4.8,1.3,0.4,1.4,30.0,0.0,0.0,0.0,0.4,0.9,50.0,1.1,0.6,1.7,0.0,0.1,0.4,0.1,1.4,0,0,0.6
January,4,2.7,2.0,0.8,1.5,50.0,0.0,0.0,0.0,0.5,0.8,66.7,0.3,0.5,0.8,0.0,0.3,0.0,0.3,0.8,0,0,0.5
February,2,2.3,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0,0,-1.5
Pre All-Star,20,6.3,2.7,1.1,2.0,53.8,0.0,0.0,0.0,0.6,1.2,52.2,1.3,1.4,2.7,0.1,0.5,0.4,0.5,1.4,2,0,1.1
Bench,20,6.3,2.7,1.1,2.0,53.8,0.0,0.0,0.0,0.6,1.2,52.2,1.3,1.4,2.7,0.1,0.5,0.4,0.5,1.4,2,0,1.1
0 Days Rest,2,15.1,7.0,3.0,5.5,54.5,0.0,0.0,0.0,1.0,2.0,50.0,4.0,3.5,7.5,0.0,0.5,1.0,2.0,2.5,1,0,-0.5
1 Days Rest,4,11.9,5.5,2.3,3.3,69.2,0.0,0.0,0.0,1.0,1.5,66.7,3.0,3.3,6.3,0.3,1.0,0.5,0.5,3.0,1,0,6.5
3 Days Rest,5,2.8,1.2,0.4,1.2,33.3,0.0,0.0,0.0,0.4,1.0,40.0,0.8,1.0,1.8,0.0,0.2,0.0,0.4,0.2,0,0,-1.2
4 Days Rest,2,4.4,1.5,0.0,0.5,0.0,0.0,0.0,0.0,1.5,2.0,75.0,0.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,0,0,4.5
5 Days Rest,3,2.3,0.7,0.3,1.3,25.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.3,0.0,0.3,0.3,0.0,0.7,0,0,-1.7
6+ Days Rest,4,4.6,1.8,0.8,1.0,75.0,0.0,0.0,0.0,0.3,0.5,50.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.5,0,0,-0.5
