,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"JAN 05, 2017 - DEN vs. SAS",L,4,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,2,-6,2017-01-05 00:00:00,SAS,HOME
1,"DEC 12, 2016 - DEN @ DAL",L,4,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,8,2016-12-12 00:00:00,DAL,AWAY
2,"DEC 08, 2016 - DEN @ WAS",L,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2016-12-08 00:00:00,WAS,AWAY
3,"DEC 05, 2016 - DEN @ PHI",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,2016-12-05 00:00:00,PHI,AWAY
4,"DEC 03, 2016 - DEN @ UTA",L,4,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,-6,2016-12-03 00:00:00,UTA,AWAY
5,"DEC 02, 2016 - DEN vs. HOU",L,9,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,1,5,2016-12-02 00:00:00,HOU,HOME
6,"NOV 30, 2016 - DEN vs. MIA",L,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1,2016-11-30 00:00:00,MIA,HOME
7,"NOV 27, 2016 - DEN @ PHX",W,12,0,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,1,0,2,2,2,2016-11-27 00:00:00,PHX,AWAY
8,"NOV 25, 2016 - DEN vs. OKC",L,27,7,2,8,25.0,0,3,0.0,3,5,60.0,1,2,3,3,4,0,0,1,-2,2016-11-25 00:00:00,OKC,HOME
9,"NOV 23, 2016 - DEN @ UTA",L,12,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,2,0,2016-11-23 00:00:00,UTA,AWAY
10,"NOV 20, 2016 - DEN vs. UTA",W,7,2,0,1,0.0,0,0,0.0,2,2,100.0,0,2,2,0,0,0,0,1,-2,2016-11-20 00:00:00,UTA,HOME
11,"NOV 18, 2016 - DEN vs. TOR",L,1,0,0,0,0.0,0,0,0.0,0,2,0.0,1,0,1,0,0,0,0,1,-8,2016-11-18 00:00:00,TOR,HOME
12,"NOV 16, 2016 - DEN vs. PHX",W,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,-6,2016-11-16 00:00:00,PHX,HOME
