,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - BOS @ UTA",W,14,5,2,2,100.0,0,0,0.0,1,2,50.0,0,3,3,2,1,0,2,1,-3,2017-02-11 00:00:00,UTA,AWAY
1,"FEB 09, 2017 - BOS @ POR",W,15,5,2,5,40.0,0,1,0.0,1,2,50.0,4,2,6,1,0,0,1,1,-4,2017-02-09 00:00:00,POR,AWAY
2,"FEB 08, 2017 - BOS @ SAC",L,27,14,6,7,85.7,2,2,100.0,0,0,0.0,1,4,5,1,3,0,2,0,2,2017-02-08 00:00:00,SAC,AWAY
3,"FEB 05, 2017 - BOS vs. LAC",W,28,13,6,9,66.7,1,3,33.3,0,0,0.0,2,4,6,1,0,0,0,3,18,2017-02-05 00:00:00,LAC,HOME
4,"FEB 03, 2017 - BOS vs. LAL",W,15,5,2,2,100.0,0,0,0.0,1,2,50.0,1,1,2,1,0,0,0,3,-5,2017-02-03 00:00:00,LAL,HOME
5,"FEB 01, 2017 - BOS vs. TOR",W,15,5,2,2,100.0,1,1,100.0,0,0,0.0,1,1,2,0,0,0,1,4,-7,2017-02-01 00:00:00,TOR,HOME
6,"JAN 30, 2017 - BOS vs. DET",W,15,4,2,5,40.0,0,1,0.0,0,0,0.0,2,3,5,0,0,2,0,5,10,2017-01-30 00:00:00,DET,HOME
7,"JAN 28, 2017 - BOS @ MIL",W,25,11,5,7,71.4,1,1,100.0,0,1,0.0,1,6,7,2,0,1,0,3,5,2017-01-28 00:00:00,MIL,AWAY
8,"JAN 27, 2017 - BOS vs. ORL",W,22,10,5,6,83.3,0,0,0.0,0,0,0.0,0,4,4,2,0,0,0,0,23,2017-01-27 00:00:00,ORL,HOME
9,"JAN 25, 2017 - BOS vs. HOU",W,10,6,2,2,100.0,0,0,0.0,2,2,100.0,0,5,5,1,0,0,2,3,-7,2017-01-25 00:00:00,HOU,HOME
10,"JAN 24, 2017 - BOS @ WAS",L,4,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-5,2017-01-24 00:00:00,WAS,AWAY
11,"JAN 21, 2017 - BOS vs. POR",L,29,3,1,2,50.0,0,1,0.0,1,2,50.0,5,2,7,2,1,2,3,3,-12,2017-01-21 00:00:00,POR,HOME
12,"JAN 18, 2017 - BOS vs. NYK",L,18,10,5,6,83.3,0,0,0.0,0,0,0.0,1,6,7,2,1,2,0,4,8,2017-01-18 00:00:00,NYK,HOME
