,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"JAN 27, 2017 - ORL @ BOS",L,12,7,3,7,42.9,1,3,33.3,0,0,0.0,0,4,4,2,0,0,1,1,9,2017-01-27 00:00:00,BOS,AWAY
1,"JAN 22, 2017 - ORL vs. GSW",L,4,2,1,2,50.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,1,6,2017-01-22 00:00:00,GSW,HOME
2,"DEC 08, 2016 - NOP vs. PHI",L,18,0,0,7,0.0,0,3,0.0,0,0,0.0,0,2,2,1,1,0,0,0,1,2016-12-08 00:00:00,PHI,HOME
3,"DEC 05, 2016 - NOP vs. MEM",L,29,9,4,10,40.0,1,4,25.0,0,0,0.0,1,5,6,2,1,0,1,2,9,2016-12-05 00:00:00,MEM,HOME
4,"DEC 04, 2016 - NOP @ OKC",L,19,3,1,5,20.0,1,4,25.0,0,0,0.0,1,4,5,0,0,0,1,3,-3,2016-12-04 00:00:00,OKC,AWAY
5,"DEC 02, 2016 - NOP vs. LAC",L,25,9,4,7,57.1,1,4,25.0,0,0,0.0,1,2,3,1,0,0,0,2,-9,2016-12-02 00:00:00,LAC,HOME
6,"NOV 29, 2016 - NOP vs. LAL",W,22,7,3,5,60.0,1,2,50.0,0,0,0.0,2,4,6,2,2,0,1,4,-4,2016-11-29 00:00:00,LAL,HOME
7,"NOV 27, 2016 - NOP @ DAL",L,10,0,0,3,0.0,0,3,0.0,0,0,0.0,0,2,2,0,0,0,0,0,4,2016-11-27 00:00:00,DAL,AWAY
8,"NOV 25, 2016 - NOP @ POR",L,9,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,5,2016-11-25 00:00:00,POR,AWAY
9,"NOV 23, 2016 - NOP vs. MIN",W,3,6,2,2,100.0,2,2,100.0,0,0,0.0,0,0,0,0,0,0,0,1,-2,2016-11-23 00:00:00,MIN,HOME
10,"NOV 22, 2016 - NOP @ ATL",W,8,0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,1,2,1,-12,2016-11-22 00:00:00,ATL,AWAY
