BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,37,15.9,5.9,2.2,5.6,39.6,0.9,3.0,29.1,0.6,0.6,87.5,0.3,0.5,0.7,0.5,0.2,0.5,0.1,1.1,0,0,-0.5
Home,18,16.0,6.2,2.4,6.1,40.0,0.9,3.4,26.2,0.4,0.4,87.5,0.3,0.6,0.8,0.6,0.2,0.5,0.0,1.3,0,0,3.3
Road,19,15.7,5.6,2.0,5.1,39.2,0.8,2.6,32.7,0.7,0.8,87.5,0.3,0.4,0.6,0.4,0.2,0.6,0.1,0.8,0,0,-4.2
Wins,20,16.5,6.8,2.6,5.8,44.8,1.2,3.2,37.5,0.4,0.5,88.9,0.2,0.5,0.7,0.6,0.2,0.6,0.1,0.9,0,0,2.1
Losses,17,15.1,4.8,1.8,5.4,33.0,0.5,2.7,17.4,0.8,0.9,86.7,0.4,0.4,0.8,0.4,0.2,0.5,0.1,1.3,0,0,-3.6
October,1,6.0,6.0,3.0,5.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,2.0
November,13,13.3,5.8,2.2,5.0,44.6,0.8,2.4,35.5,0.5,0.7,77.8,0.2,0.3,0.5,0.7,0.3,0.2,0.2,0.6,0,0,0.2
December,14,19.9,5.6,2.1,6.0,35.7,0.9,3.4,25.0,0.4,0.5,85.7,0.4,0.6,1.0,0.4,0.1,0.8,0.0,1.3,0,0,-2.4
January,4,11.1,5.3,1.5,4.5,33.3,0.8,2.5,30.0,1.5,1.5,100,0.3,0.0,0.3,0.3,0.3,0.8,0.0,1.5,0,0,0.5
February,5,16.9,7.2,2.8,7.0,40.0,1.2,4.0,30.0,0.4,0.4,100,0.4,0.8,1.2,0.4,0.2,0.6,0.0,1.2,0,0,1.4
Pre All-Star,37,15.9,5.9,2.2,5.6,39.6,0.9,3.0,29.1,0.6,0.6,87.5,0.3,0.5,0.7,0.5,0.2,0.5,0.1,1.1,0,0,-0.5
Starters,7,17.5,4.7,1.7,4.7,36.4,0.7,2.9,25.0,0.6,0.6,100,0.0,0.3,0.3,0.3,0.0,0.9,0.0,1.1,0,0,-4.1
Bench,30,15.5,6.1,2.3,5.8,40.2,0.9,3.0,30.0,0.6,0.7,85.0,0.3,0.5,0.8,0.5,0.2,0.5,0.1,1.0,0,0,0.3
0 Days Rest,7,20.9,7.7,2.7,6.9,39.6,1.3,3.9,33.3,1.0,1.1,87.5,0.3,0.9,1.1,0.3,0.1,0.3,0.0,1.3,0,0,-2.9
1 Days Rest,19,15.1,4.9,1.9,5.0,37.9,0.7,2.7,27.5,0.4,0.5,80.0,0.2,0.3,0.4,0.7,0.2,0.6,0.1,1.1,0,0,-0.9
2 Days Rest,3,13.1,6.7,2.7,5.3,50.0,1.3,3.0,44.4,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,1.0,0.0,0.3,0,0,1.0
3 Days Rest,3,18.3,6.3,2.7,7.3,36.4,1.0,4.0,25.0,0.0,0.0,0.0,0.7,1.0,1.7,0.0,0.3,0.3,0.0,1.3,0,0,1.0
4 Days Rest,1,8.6,6.0,3.0,5.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0,0,-1.0
5 Days Rest,1,9.2,2.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,4.0
6+ Days Rest,3,13.9,7.3,2.3,6.0,38.9,0.7,2.7,25.0,2.0,2.0,100,0.3,0.0,0.3,0.3,0.3,1.0,0.0,1.7,0,0,2.7
