,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - DET vs. SAS",L,9,4,2,5,40.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,2017-02-10 00:00:00,SAS,HOME
1,"FEB 08, 2017 - DET vs. LAL",W,16,10,4,7,57.1,0,0,0.0,2,2,100.0,2,4,6,0,0,1,1,4,9,2017-02-08 00:00:00,LAL,HOME
2,"FEB 06, 2017 - DET vs. PHI",W,22,12,5,8,62.5,0,0,0.0,2,2,100.0,4,3,7,1,0,1,0,2,-10,2017-02-06 00:00:00,PHI,HOME
3,"FEB 04, 2017 - DET @ IND",L,17,4,1,3,33.3,0,0,0.0,2,4,50.0,2,2,4,0,0,3,0,1,2,2017-02-04 00:00:00,IND,AWAY
4,"FEB 03, 2017 - DET vs. MIN",W,19,8,3,7,42.9,0,0,0.0,2,2,100.0,5,1,6,0,0,0,1,3,-2,2017-02-03 00:00:00,MIN,HOME
5,"FEB 01, 2017 - DET vs. NOP",W,19,8,4,5,80.0,0,0,0.0,0,0,0.0,1,6,7,0,0,0,0,3,31,2017-02-01 00:00:00,NOP,HOME
6,"JAN 28, 2017 - DET @ MIA",L,13,2,0,2,0.0,0,0,0.0,2,2,100.0,3,2,5,1,0,0,1,0,-5,2017-01-28 00:00:00,MIA,AWAY
7,"JAN 23, 2017 - DET vs. SAC",L,14,4,2,3,66.7,0,0,0.0,0,0,0.0,1,0,1,1,1,0,2,3,-10,2017-01-23 00:00:00,SAC,HOME
8,"JAN 21, 2017 - DET vs. WAS",W,16,9,3,4,75.0,0,0,0.0,3,3,100.0,1,2,3,0,0,0,1,5,9,2017-01-21 00:00:00,WAS,HOME
9,"JAN 18, 2017 - DET vs. ATL",W,22,12,3,5,60.0,0,0,0.0,6,8,75.0,2,2,4,2,0,0,0,4,7,2017-01-18 00:00:00,ATL,HOME
10,"JAN 15, 2017 - DET @ LAL",W,16,6,3,4,75.0,0,0,0.0,0,0,0.0,1,3,4,0,0,1,0,4,10,2017-01-15 00:00:00,LAL,AWAY
11,"JAN 13, 2017 - DET @ UTA",L,18,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,0,0,4,0,1,-18,2017-01-13 00:00:00,UTA,AWAY
12,"JAN 12, 2017 - DET @ GSW",L,5,4,2,2,100.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,2,-1,2017-01-12 00:00:00,GSW,AWAY
13,"JAN 10, 2017 - DET @ SAC",L,6,0,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,3,1,2017-01-10 00:00:00,SAC,AWAY
14,"JAN 08, 2017 - DET @ POR",W,6,2,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-4,2017-01-08 00:00:00,POR,AWAY
15,"JAN 01, 2017 - DET @ MIA",W,9,2,1,1,100.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,1,2,9,2017-01-01 00:00:00,MIA,AWAY
