BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,45,25.3,7.8,2.8,6.5,42.5,1.0,2.6,38.8,1.2,1.4,87.5,0.2,1.8,2.0,1.2,0.7,0.4,0.1,1.8,0,0,-3.5
Home,21,24.5,7.3,2.5,5.9,42.7,0.9,2.2,38.3,1.4,1.6,90.9,0.1,1.7,1.9,1.1,0.8,0.2,0.1,1.7,0,0,-4.4
Road,24,26.0,8.2,3.0,7.1,42.4,1.1,2.9,39.1,1.1,1.3,83.9,0.2,1.8,2.0,1.3,0.6,0.5,0.1,1.9,0,0,-2.7
Wins,18,27.6,8.7,3.1,6.5,47.9,1.2,2.7,43.8,1.3,1.6,82.8,0.1,2.1,2.2,1.7,0.7,0.3,0.1,1.8,0,0,2.4
Losses,27,23.8,7.2,2.6,6.6,39.0,0.9,2.5,35.3,1.2,1.3,91.4,0.2,1.6,1.8,0.9,0.7,0.4,0.1,1.8,0,0,-7.4
October,4,29.4,7.3,2.5,6.3,40.0,1.0,2.3,44.4,1.3,1.3,100,0.0,2.3,2.3,1.3,0.3,0.8,0.3,2.3,0,0,6.3
November,14,26.0,8.9,3.2,7.6,42.5,0.6,2.1,26.7,1.9,2.1,93.1,0.3,2.3,2.6,1.1,0.2,0.1,0.0,1.6,0,0,-4.4
December,8,17.2,4.3,1.6,4.5,36.1,0.6,1.8,35.7,0.4,0.6,60.0,0.3,1.1,1.4,0.9,0.6,0.4,0.0,1.4,0,0,-5.1
January,16,27.0,9.2,3.3,6.9,47.3,1.7,3.6,47.4,1.0,1.1,88.9,0.1,1.5,1.6,1.4,1.2,0.4,0.3,1.9,0,0,-3.5
February,3,29.0,5.3,1.7,5.7,29.4,0.3,2.0,16.7,1.7,2.3,71.4,0.0,2.0,2.0,1.3,1.0,0.7,0.0,2.3,0,0,-7.7
Pre All-Star,45,25.3,7.8,2.8,6.5,42.5,1.0,2.6,38.8,1.2,1.4,87.5,0.2,1.8,2.0,1.2,0.7,0.4,0.1,1.8,0,0,-3.5
Starters,30,28.5,8.3,2.9,7.2,40.5,1.1,2.9,37.2,1.5,1.7,86.3,0.2,2.0,2.2,1.3,0.5,0.4,0.1,1.9,0,0,-2.7
Bench,15,19.0,6.7,2.5,5.3,48.1,0.9,2.0,43.3,0.8,0.9,92.3,0.2,1.3,1.5,1.0,1.1,0.2,0.1,1.5,0,0,-5.1
0 Days Rest,10,31.6,10.9,3.9,9.1,42.9,1.4,3.2,43.8,1.7,2.1,81.0,0.3,2.1,2.4,1.6,0.8,0.4,0.2,2.4,0,0,-2.5
1 Days Rest,25,23.2,6.6,2.4,5.9,40.1,0.9,2.6,33.8,1.0,1.1,96.3,0.1,1.8,2.0,1.0,0.6,0.2,0.1,1.6,0,0,-4.8
2 Days Rest,3,26.1,8.0,2.7,5.3,50.0,1.0,2.0,50.0,1.7,1.7,100,0.0,0.7,0.7,1.7,1.0,0.3,0.3,2.0,0,0,-1.3
3 Days Rest,2,26.4,3.5,1.0,3.5,28.6,0.0,0.5,0.0,1.5,2.5,60.0,0.5,2.0,2.5,1.5,0.0,1.5,0.0,0.5,0,0,-6.5
4 Days Rest,1,21.7,7.0,3.0,8.0,37.5,1.0,3.0,33.3,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0,0,-14.0
5 Days Rest,2,17.1,5.5,2.0,3.5,57.1,0.5,1.5,33.3,1.0,1.5,66.7,0.0,0.5,0.5,0.5,1.0,0.0,0.0,1.5,0,0,5.0
6+ Days Rest,2,28.2,13.5,5.0,9.0,55.6,2.0,3.0,66.7,1.5,1.5,100,0.0,2.5,2.5,1.0,1.0,1.0,0.0,2.0,0,0,4.0
