,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - SAC vs. ATL",W,29,8,3,7,42.9,1,2,50.0,1,1,100.0,0,1,1,2,0,0,1,2,-10,2017-02-10 00:00:00,ATL,HOME
1,"FEB 08, 2017 - SAC vs. BOS",W,34,9,3,9,33.3,0,2,0.0,3,4,75.0,0,3,3,3,1,0,3,2,1,2017-02-08 00:00:00,BOS,HOME
2,"FEB 06, 2017 - SAC vs. CHI",L,17,5,2,5,40.0,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,4,-20,2017-02-06 00:00:00,CHI,HOME
3,"FEB 04, 2017 - SAC vs. GSW",W,36,2,0,3,0.0,0,1,0.0,2,3,66.7,0,2,2,1,1,0,0,1,-4,2017-02-04 00:00:00,GSW,HOME
4,"JAN 31, 2017 - SAC @ HOU",L,27,9,3,9,33.3,1,4,25.0,2,3,66.7,0,1,1,1,0,1,1,1,-16,2017-01-31 00:00:00,HOU,AWAY
5,"JAN 30, 2017 - SAC @ PHI",L,36,8,3,9,33.3,2,7,28.6,0,0,0.0,0,4,4,3,0,0,2,3,2,2017-01-30 00:00:00,PHI,AWAY
6,"JAN 28, 2017 - SAC @ CHA",W,31,13,4,8,50.0,2,4,50.0,3,4,75.0,0,2,2,4,1,0,0,1,9,2017-01-28 00:00:00,CHA,AWAY
7,"JAN 27, 2017 - SAC @ IND",L,34,15,6,9,66.7,3,5,60.0,0,0,0.0,0,1,1,0,0,0,1,5,-12,2017-01-27 00:00:00,IND,AWAY
8,"JAN 25, 2017 - SAC @ CLE",W,40,14,5,8,62.5,4,6,66.7,0,0,0.0,0,2,2,3,0,0,2,4,4,2017-01-25 00:00:00,CLE,AWAY
9,"JAN 23, 2017 - SAC @ DET",W,29,6,2,9,22.2,2,7,28.6,0,0,0.0,0,2,2,2,0,0,0,0,11,2017-01-23 00:00:00,DET,AWAY
10,"JAN 21, 2017 - SAC @ CHI",L,35,9,3,9,33.3,3,4,75.0,0,0,0.0,1,0,1,4,1,1,0,4,-5,2017-01-21 00:00:00,CHI,AWAY
11,"JAN 20, 2017 - SAC @ MEM",L,25,5,2,5,40.0,0,3,0.0,1,1,100.0,0,2,2,0,2,0,1,0,0,2017-01-20 00:00:00,MEM,AWAY
12,"JAN 18, 2017 - SAC vs. IND",L,31,11,3,6,50.0,2,4,50.0,3,3,100.0,0,1,1,1,0,1,1,3,-4,2017-01-18 00:00:00,IND,HOME
13,"JAN 15, 2017 - SAC vs. OKC",L,18,7,2,5,40.0,1,1,100.0,2,2,100.0,0,3,3,0,0,1,4,1,-17,2017-01-15 00:00:00,OKC,HOME
