BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,51,28.0,12.0,4.3,9.9,43.6,1.5,3.9,38.5,1.8,2.6,69.7,0.3,1.8,2.1,2.9,1.5,0.7,0.2,2.5,0,0,-1.1
Home,23,28.1,11.6,4.3,9.8,43.6,1.2,3.3,36.4,1.8,2.4,75.0,0.1,1.8,2.0,3.2,1.6,0.6,0.3,2.2,0,0,1.1
Road,28,28.0,12.3,4.4,10.1,43.6,1.8,4.4,39.8,1.8,2.7,65.8,0.5,1.8,2.2,2.7,1.4,0.9,0.1,2.7,0,0,-3.0
Wins,30,27.7,11.7,4.2,9.6,44.3,1.6,3.9,39.8,1.7,2.4,68.5,0.2,2.2,2.3,3.3,1.4,0.7,0.1,2.3,0,0,3.2
Losses,21,28.5,12.4,4.5,10.5,42.7,1.4,3.9,36.6,2.0,2.8,71.2,0.5,1.2,1.8,2.4,1.6,0.8,0.2,2.7,0,0,-7.2
October,3,26.2,11.7,5.3,9.3,57.1,0.7,2.3,28.6,0.3,0.7,50.0,0.0,2.0,2.0,1.3,1.7,0.3,0.0,1.3,0,0,7.0
November,16,21.8,7.3,2.6,6.8,38.9,0.9,2.4,35.9,1.1,1.9,60.0,0.1,1.4,1.5,2.0,0.9,0.8,0.3,2.2,0,0,-0.9
December,16,27.2,12.5,4.4,10.2,43.6,1.9,4.6,41.9,1.7,2.1,79.4,0.4,1.4,1.8,2.5,1.3,0.9,0.0,2.4,0,0,-5.1
January,11,35.9,17.6,6.4,13.5,47.0,2.3,5.3,43.1,2.6,3.6,72.5,0.4,2.5,2.9,4.5,2.2,0.5,0.3,2.8,0,0,1.5
February,5,34.5,13.2,4.4,11.8,37.3,1.0,4.4,22.7,3.4,5.2,65.4,0.6,2.6,3.2,5.0,2.4,0.6,0.4,3.4,0,0,0.4
Pre All-Star,51,28.0,12.0,4.3,9.9,43.6,1.5,3.9,38.5,1.8,2.6,69.7,0.3,1.8,2.1,2.9,1.5,0.7,0.2,2.5,0,0,-1.1
Starters,23,34.4,16.3,5.7,12.7,45.4,2.1,5.3,40.2,2.7,3.7,72.6,0.5,2.3,2.8,4.0,2.1,0.6,0.2,2.7,0,0,-0.4
Bench,28,22.8,8.5,3.2,7.7,41.2,1.0,2.8,35.9,1.1,1.7,64.6,0.2,1.4,1.5,2.1,1.0,0.8,0.1,2.3,0,0,-1.7
0 Days Rest,11,29.2,11.8,4.4,10.8,40.3,1.4,4.0,34.1,1.7,2.5,70.4,0.3,1.3,1.5,2.5,1.8,0.5,0.3,2.6,0,0,-4.0
1 Days Rest,29,26.2,11.2,4.0,9.4,43.0,1.4,3.6,40.0,1.7,2.4,69.6,0.4,1.8,2.1,3.0,1.4,0.8,0.1,2.4,0,0,-1.7
2 Days Rest,6,31.0,15.2,5.5,11.0,50.0,1.8,4.5,40.7,2.3,2.8,82.4,0.3,1.5,1.8,2.7,1.7,0.5,0.3,2.5,0,0,5.5
3 Days Rest,3,34.8,16.3,5.3,11.7,45.7,2.7,6.0,44.4,3.0,5.0,60.0,0.0,3.0,3.0,4.0,1.0,1.3,0.0,3.0,0,0,-3.7
4 Days Rest,1,32.7,9.0,3.0,7.0,42.9,1.0,3.0,33.3,2.0,4.0,50.0,0.0,4.0,4.0,5.0,2.0,0.0,0.0,1.0,0,0,9.0
6+ Days Rest,1,26.2,8.0,4.0,8.0,50.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,0.0,2.0,0,0,4.0
