,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - SAC vs. ATL",W,42,22,8,17,47.1,6,10,60.0,0,0,0.0,3,6,9,3,4,0,2,3,2,2017-02-10 00:00:00,ATL,HOME
1,"FEB 08, 2017 - SAC vs. BOS",W,30,17,7,12,58.3,3,5,60.0,0,0,0.0,0,2,2,1,0,0,1,2,17,2017-02-08 00:00:00,BOS,HOME
2,"FEB 06, 2017 - SAC vs. CHI",L,16,2,1,6,16.7,0,2,0.0,0,0,0.0,0,1,1,1,0,0,2,1,-24,2017-02-06 00:00:00,CHI,HOME
3,"FEB 04, 2017 - SAC vs. GSW",W,29,10,2,6,33.3,1,4,25.0,5,6,83.3,1,0,1,1,3,0,0,1,-5,2017-02-04 00:00:00,GSW,HOME
4,"FEB 03, 2017 - SAC vs. PHX",L,35,18,6,12,50.0,3,6,50.0,3,4,75.0,0,0,0,3,0,0,0,4,-4,2017-02-03 00:00:00,PHX,HOME
5,"JAN 31, 2017 - SAC @ HOU",L,12,2,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,4,1,0,0,1,3,2017-01-31 00:00:00,HOU,AWAY
6,"JAN 20, 2017 - SAC @ MEM",L,12,4,2,6,33.3,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,1,3,2017-01-20 00:00:00,MEM,AWAY
7,"JAN 18, 2017 - SAC vs. IND",L,4,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,2,0,-5,2017-01-18 00:00:00,IND,HOME
8,"JAN 13, 2017 - SAC vs. CLE",L,1,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,2017-01-13 00:00:00,CLE,HOME
9,"JAN 10, 2017 - SAC vs. DET",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-2,2017-01-10 00:00:00,DET,HOME
10,"JAN 04, 2017 - SAC vs. MIA",L,6,0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-7,2017-01-04 00:00:00,MIA,HOME
11,"JAN 03, 2017 - SAC @ DEN",W,15,6,2,4,50.0,2,3,66.7,0,0,0.0,0,2,2,0,0,0,0,2,-1,2017-01-03 00:00:00,DEN,AWAY
12,"DEC 31, 2016 - SAC vs. MEM",L,15,4,2,4,50.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,1,-5,2016-12-31 00:00:00,MEM,HOME
13,"DEC 28, 2016 - SAC @ POR",L,19,5,2,9,22.2,0,2,0.0,1,1,100.0,0,0,0,0,2,0,1,1,-11,2016-12-28 00:00:00,POR,AWAY
14,"DEC 26, 2016 - SAC vs. PHI",W,17,4,2,7,28.6,0,3,0.0,0,0,0.0,0,2,2,3,0,0,1,1,-4,2016-12-26 00:00:00,PHI,HOME
15,"DEC 23, 2016 - SAC @ MIN",W,16,7,2,4,50.0,1,3,33.3,2,3,66.7,0,3,3,0,0,0,0,2,0,2016-12-23 00:00:00,MIN,AWAY
16,"DEC 21, 2016 - SAC @ UTA",W,17,6,3,6,50.0,0,1,0.0,0,0,0.0,1,1,2,0,2,0,2,1,-11,2016-12-21 00:00:00,UTA,AWAY
17,"DEC 20, 2016 - SAC vs. POR",W,21,8,2,4,50.0,1,3,33.3,3,3,100.0,0,0,0,0,0,0,0,3,-7,2016-12-20 00:00:00,POR,HOME
18,"DEC 18, 2016 - SAC @ DAL",L,27,5,2,5,40.0,1,2,50.0,0,0,0.0,0,3,3,2,1,0,2,5,-8,2016-12-18 00:00:00,DAL,AWAY
19,"DEC 16, 2016 - SAC @ MEM",W,16,8,3,7,42.9,1,3,33.3,1,1,100.0,0,0,0,0,2,0,1,1,5,2016-12-16 00:00:00,MEM,AWAY
20,"DEC 12, 2016 - SAC vs. LAL",W,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,0,-5,2016-12-12 00:00:00,LAL,HOME
21,"DEC 10, 2016 - SAC @ UTA",L,26,1,0,5,0.0,0,3,0.0,1,4,25.0,1,1,2,1,1,0,0,1,-8,2016-12-10 00:00:00,UTA,AWAY
22,"DEC 09, 2016 - SAC vs. NYK",L,22,10,4,7,57.1,2,2,100.0,0,0,0.0,1,3,4,2,1,0,0,1,-3,2016-12-09 00:00:00,NYK,HOME
23,"DEC 07, 2016 - SAC @ DAL",W,21,9,3,11,27.3,1,6,16.7,2,2,100.0,0,1,1,0,0,0,1,1,24,2016-12-07 00:00:00,DAL,AWAY
24,"NOV 27, 2016 - SAC @ BKN",W,7,4,2,4,50.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,2016-11-27 00:00:00,BKN,AWAY
25,"NOV 25, 2016 - SAC vs. HOU",L,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-10,2016-11-25 00:00:00,HOU,HOME
26,"NOV 23, 2016 - SAC vs. OKC",W,17,9,4,10,40.0,1,3,33.3,0,0,0.0,0,2,2,0,0,0,0,3,14,2016-11-23 00:00:00,OKC,HOME
27,"NOV 20, 2016 - SAC vs. TOR",W,3,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-6,2016-11-20 00:00:00,TOR,HOME
28,"NOV 18, 2016 - SAC vs. LAC",L,3,2,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,0,0,-6,2016-11-18 00:00:00,LAC,HOME
29,"NOV 16, 2016 - SAC vs. SAS",L,26,14,6,10,60.0,2,4,50.0,0,0,0.0,0,3,3,0,0,1,2,1,9,2016-11-16 00:00:00,SAS,HOME
30,"NOV 11, 2016 - SAC @ POR",L,18,2,0,2,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,1,-1,2016-11-11 00:00:00,POR,AWAY
31,"NOV 08, 2016 - SAC vs. NOP",W,16,5,2,3,66.7,1,2,50.0,0,0,0.0,1,3,4,0,0,0,1,0,5,2016-11-08 00:00:00,NOP,HOME
32,"NOV 05, 2016 - SAC @ MIL",L,23,5,2,8,25.0,0,2,0.0,1,2,50.0,0,1,1,4,1,0,1,1,-5,2016-11-05 00:00:00,MIL,AWAY
