,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - DET vs. LAL",W,4,4,2,2,100.0,0,0,0.0,0,0,0.0,3,1,4,1,0,0,1,0,-3,2017-02-08 00:00:00,LAL,HOME
1,"JAN 21, 2017 - DET vs. WAS",W,5,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,2017-01-21 00:00:00,WAS,HOME
2,"JAN 18, 2017 - DET vs. ATL",W,2,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,1,2017-01-18 00:00:00,ATL,HOME
3,"JAN 13, 2017 - DET @ UTA",L,15,6,3,5,60.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,1,-19,2017-01-13 00:00:00,UTA,AWAY
4,"JAN 12, 2017 - DET @ GSW",L,16,13,5,7,71.4,0,0,0.0,3,3,100.0,6,5,11,2,0,0,0,1,-5,2017-01-12 00:00:00,GSW,AWAY
5,"JAN 10, 2017 - DET @ SAC",L,10,8,3,7,42.9,0,0,0.0,2,2,100.0,1,3,4,0,0,0,0,0,5,2017-01-10 00:00:00,SAC,AWAY
6,"JAN 08, 2017 - DET @ POR",W,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2017-01-08 00:00:00,POR,AWAY
7,"JAN 05, 2017 - DET vs. CHA",W,22,15,3,4,75.0,0,0,0.0,9,11,81.8,9,10,19,0,0,1,3,0,12,2017-01-05 00:00:00,CHA,HOME
8,"JAN 03, 2017 - DET vs. IND",L,10,4,2,5,40.0,0,0,0.0,0,0,0.0,2,2,4,0,0,2,0,0,-4,2017-01-03 00:00:00,IND,HOME
9,"DEC 28, 2016 - DET vs. MIL",L,4,3,1,2,50.0,0,0,0.0,1,2,50.0,1,2,3,0,0,0,0,0,-1,2016-12-28 00:00:00,MIL,HOME
10,"DEC 19, 2016 - DET @ CHI",L,7,6,3,6,50.0,0,0,0.0,0,0,0.0,0,2,2,0,1,2,0,0,3,2016-12-19 00:00:00,CHI,AWAY
11,"DEC 17, 2016 - DET vs. IND",L,4,2,1,2,50.0,0,0,0.0,0,2,0.0,0,0,0,1,0,0,0,0,1,2016-12-17 00:00:00,IND,HOME
12,"DEC 09, 2016 - DET @ MIN",W,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-3,2016-12-09 00:00:00,MIN,AWAY
13,"DEC 02, 2016 - DET @ ATL",W,4,3,1,1,100.0,0,0,0.0,1,2,50.0,1,1,2,0,0,0,0,1,5,2016-12-02 00:00:00,ATL,AWAY
14,"NOV 29, 2016 - DET @ CHA",W,2,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-1,2016-11-29 00:00:00,CHA,AWAY
15,"NOV 23, 2016 - DET vs. MIA",W,3,0,0,3,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,-1,2016-11-23 00:00:00,MIA,HOME
16,"NOV 18, 2016 - DET @ CLE",L,6,2,1,4,25.0,0,0,0.0,0,0,0.0,2,3,5,0,0,1,1,1,2,2016-11-18 00:00:00,CLE,AWAY
17,"NOV 14, 2016 - DET vs. OKC",W,12,4,2,6,33.3,0,0,0.0,0,0,0.0,0,4,4,0,0,2,0,2,6,2016-11-14 00:00:00,OKC,HOME
18,"NOV 07, 2016 - DET @ LAC",L,8,7,1,4,25.0,0,0,0.0,5,5,100.0,2,0,2,0,0,0,0,1,5,2016-11-07 00:00:00,LAC,AWAY
19,"NOV 05, 2016 - DET vs. DEN",W,2,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-2,2016-11-05 00:00:00,DEN,HOME
20,"OCT 28, 2016 - DET vs. ORL",W,2,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-4,2016-10-28 00:00:00,ORL,HOME
21,"OCT 26, 2016 - DET @ TOR",L,5,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,2,1,2016-10-26 00:00:00,TOR,AWAY
