BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,35,11.5,3.9,1.7,3.5,47.2,0.3,0.7,38.5,0.3,0.6,52.4,1.1,2.1,3.2,0.5,0.5,0.2,0.1,1.3,0,0,-1.3
Home,13,9.6,3.0,1.2,3.2,38.1,0.2,0.4,60.0,0.3,0.6,50.0,1.2,1.8,3.0,0.5,0.4,0.2,0.1,0.7,0,0,-4.6
Road,22,12.5,4.5,1.9,3.7,51.9,0.3,1.0,33.3,0.3,0.6,53.8,1.0,2.4,3.4,0.5,0.6,0.1,0.1,1.7,0,0,0.7
Wins,15,10.9,3.7,1.6,3.5,45.3,0.1,0.4,33.3,0.4,0.5,75.0,1.1,2.0,3.1,0.8,0.4,0.1,0.1,1.2,0,0,0.5
Losses,20,11.9,4.1,1.7,3.5,48.6,0.4,1.0,40.0,0.3,0.7,38.5,1.1,2.3,3.3,0.4,0.7,0.3,0.2,1.4,0,0,-2.6
October,2,5.6,4.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.5,0.5,0.0,0.0,0.0,0,0,-5.0
November,14,12.2,4.4,1.8,3.5,51.0,0.2,0.5,42.9,0.6,0.9,61.5,1.4,1.9,3.4,0.8,0.4,0.1,0.1,1.7,0,0,-1.3
December,7,11.5,2.9,1.0,2.9,35.0,0.4,1.0,42.9,0.4,1.0,42.9,0.4,2.7,3.1,0.4,1.3,0.1,0.3,1.0,0,0,-4.3
January,8,14.4,5.3,2.4,5.0,47.5,0.5,1.5,33.3,0.0,0.0,0.0,1.3,3.3,4.5,0.3,0.4,0.5,0.0,1.4,0,0,3.5
February,4,5.9,1.5,0.8,1.5,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.8,1.0,0.5,0.3,0.0,0.0,1.0,0,0,-3.8
Pre All-Star,35,11.5,3.9,1.7,3.5,47.2,0.3,0.7,38.5,0.3,0.6,52.4,1.1,2.1,3.2,0.5,0.5,0.2,0.1,1.3,0,0,-1.3
Starters,1,14.0,4.0,2.0,6.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,0,0,-6.0
Bench,34,11.4,3.9,1.6,3.4,47.9,0.3,0.8,38.5,0.3,0.6,52.4,1.1,2.1,3.1,0.5,0.6,0.2,0.1,1.3,0,0,-1.1
0 Days Rest,6,15.4,8.5,3.7,5.7,64.7,1.0,1.5,66.7,0.2,0.8,20.0,1.3,3.7,5.0,0.3,0.3,0.2,0.0,1.5,0,0,-0.3
1 Days Rest,15,10.0,2.4,1.0,2.4,41.7,0.1,0.4,16.7,0.3,0.5,71.4,0.9,1.5,2.5,0.5,0.4,0.3,0.2,1.2,0,0,-2.2
2 Days Rest,8,12.4,4.4,1.9,4.4,42.9,0.4,1.0,37.5,0.3,0.5,50.0,1.1,2.3,3.4,0.9,0.9,0.1,0.1,1.6,0,0,3.0
4 Days Rest,1,10.6,3.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0,0,-15.0
5 Days Rest,2,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0,0,-4.0
6+ Days Rest,3,14.5,4.0,1.7,5.3,31.3,0.0,1.0,0.0,0.7,1.0,66.7,1.0,3.7,4.7,0.7,1.0,0.0,0.0,0.7,0,0,-3.7
