,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - LAC @ NYK",W,8,4,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0,2017-02-08 00:00:00,NYK,AWAY
1,"FEB 06, 2017 - LAC @ TOR",L,7,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-4,2017-02-06 00:00:00,TOR,AWAY
2,"FEB 02, 2017 - LAC vs. GSW",L,16,7,3,5,60.0,0,0,0.0,1,1,100.0,0,2,2,0,0,0,1,2,0,2017-02-02 00:00:00,GSW,HOME
3,"FEB 01, 2017 - LAC @ PHX",W,6,8,3,3,100.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,0,0,0,2017-02-01 00:00:00,PHX,AWAY
4,"JAN 28, 2017 - LAC @ GSW",L,15,9,4,6,66.7,0,0,0.0,1,2,50.0,2,3,5,2,0,0,1,0,-2,2017-01-28 00:00:00,GSW,AWAY
5,"JAN 24, 2017 - LAC @ PHI",L,12,6,0,1,0.0,0,0,0.0,6,6,100.0,1,1,2,0,0,0,0,0,0,2017-01-24 00:00:00,PHI,AWAY
6,"JAN 23, 2017 - LAC @ ATL",W,15,7,1,2,50.0,0,0,0.0,5,5,100.0,1,3,4,0,0,1,1,2,11,2017-01-23 00:00:00,ATL,AWAY
7,"JAN 21, 2017 - LAC @ DEN",L,18,4,2,6,33.3,0,0,0.0,0,0,0.0,0,3,3,0,0,1,2,3,-11,2017-01-21 00:00:00,DEN,AWAY
8,"JAN 19, 2017 - LAC vs. MIN",L,19,10,5,5,100.0,0,0,0.0,0,1,0.0,1,3,4,4,1,0,2,2,8,2017-01-19 00:00:00,MIN,HOME
9,"JAN 16, 2017 - LAC vs. OKC",W,18,10,4,6,66.7,0,0,0.0,2,2,100.0,2,4,6,0,1,0,1,2,1,2017-01-16 00:00:00,OKC,HOME
10,"JAN 14, 2017 - LAC vs. LAL",W,9,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,2017-01-14 00:00:00,LAL,HOME
11,"JAN 11, 2017 - LAC vs. ORL",W,8,3,1,2,50.0,0,0,0.0,1,1,100.0,0,1,1,0,0,0,2,0,-6,2017-01-11 00:00:00,ORL,HOME
12,"JAN 08, 2017 - LAC vs. MIA",W,20,12,5,9,55.6,0,0,0.0,2,2,100.0,2,2,4,0,2,0,2,1,3,2017-01-08 00:00:00,MIA,HOME
13,"JAN 04, 2017 - LAC vs. MEM",W,5,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,-7,2017-01-04 00:00:00,MEM,HOME
14,"JAN 02, 2017 - LAC vs. PHX",W,14,10,4,6,66.7,0,0,0.0,2,3,66.7,1,0,1,0,0,0,1,0,3,2017-01-02 00:00:00,PHX,HOME
15,"DEC 31, 2016 - LAC @ OKC",L,24,18,7,9,77.8,0,1,0.0,4,4,100.0,2,4,6,0,0,1,1,4,-3,2016-12-31 00:00:00,OKC,AWAY
16,"DEC 30, 2016 - LAC @ HOU",L,14,8,3,5,60.0,0,0,0.0,2,3,66.7,1,0,1,0,1,0,3,1,-19,2016-12-30 00:00:00,HOU,AWAY
17,"DEC 28, 2016 - LAC @ NOP",L,13,7,3,6,50.0,0,0,0.0,1,1,100.0,1,3,4,1,0,0,0,0,-5,2016-12-28 00:00:00,NOP,AWAY
18,"DEC 26, 2016 - LAC vs. DEN",L,20,11,2,4,50.0,0,0,0.0,7,8,87.5,1,3,4,2,0,1,1,0,7,2016-12-26 00:00:00,DEN,HOME
19,"DEC 25, 2016 - LAC @ LAL",L,19,8,3,3,100.0,0,0,0.0,2,2,100.0,0,4,4,2,1,0,1,0,-5,2016-12-25 00:00:00,LAL,AWAY
20,"DEC 23, 2016 - LAC vs. DAL",L,8,2,1,2,50.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,-4,2016-12-23 00:00:00,DAL,HOME
21,"DEC 22, 2016 - LAC vs. SAS",W,13,4,2,4,50.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,1,-1,2016-12-22 00:00:00,SAS,HOME
22,"DEC 20, 2016 - LAC vs. DEN",W,11,8,3,3,100.0,0,0,0.0,2,2,100.0,1,0,1,1,0,0,1,0,-4,2016-12-20 00:00:00,DEN,HOME
23,"DEC 10, 2016 - LAC vs. NOP",W,11,0,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,2,0,1,1,3,11,2016-12-10 00:00:00,NOP,HOME
24,"DEC 02, 2016 - LAC @ NOP",W,5,2,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,1,-3,2016-12-02 00:00:00,NOP,AWAY
25,"NOV 29, 2016 - LAC @ BKN",L,12,6,3,4,75.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,2,-9,2016-11-29 00:00:00,BKN,AWAY
26,"NOV 27, 2016 - LAC @ IND",L,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2016-11-27 00:00:00,IND,AWAY
27,"NOV 23, 2016 - LAC @ DAL",W,7,4,2,5,40.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-5,2016-11-23 00:00:00,DAL,AWAY
28,"NOV 19, 2016 - LAC vs. CHI",W,3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-5,2016-11-19 00:00:00,CHI,HOME
29,"NOV 16, 2016 - LAC vs. MEM",L,9,6,2,2,100.0,0,0,0.0,2,2,100.0,0,0,0,1,0,0,1,1,-10,2016-11-16 00:00:00,MEM,HOME
30,"NOV 14, 2016 - LAC vs. BKN",W,22,4,2,4,50.0,0,0,0.0,0,0,0.0,0,4,4,0,0,1,0,0,-7,2016-11-14 00:00:00,BKN,HOME
31,"NOV 12, 2016 - LAC @ MIN",W,11,2,1,3,33.3,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,0,-13,2016-11-12 00:00:00,MIN,AWAY
32,"NOV 09, 2016 - LAC vs. POR",W,9,8,2,3,66.7,0,0,0.0,4,4,100.0,1,1,2,0,0,0,0,2,-5,2016-11-09 00:00:00,POR,HOME
33,"NOV 07, 2016 - LAC vs. DET",W,9,6,3,5,60.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,1,-6,2016-11-07 00:00:00,DET,HOME
34,"NOV 02, 2016 - LAC vs. OKC",L,13,5,2,5,40.0,1,1,100.0,0,0,0.0,3,1,4,0,1,0,1,2,8,2016-11-02 00:00:00,OKC,HOME
35,"OCT 30, 2016 - LAC vs. UTA",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-7,2016-10-30 00:00:00,UTA,HOME
