,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - ORL @ DAL",L,29,10,3,7,42.9,1,2,50.0,3,4,75.0,0,2,2,5,2,0,3,1,-10,2017-02-11 00:00:00,DAL,AWAY
1,"FEB 09, 2017 - ORL vs. PHI",L,28,11,2,6,33.3,1,2,50.0,6,6,100.0,0,3,3,4,1,0,5,3,4,2017-02-09 00:00:00,PHI,HOME
2,"FEB 07, 2017 - ORL @ HOU",L,23,2,1,5,20.0,0,2,0.0,0,0,0.0,0,3,3,4,1,0,1,3,-19,2017-02-07 00:00:00,HOU,AWAY
3,"FEB 04, 2017 - ORL @ ATL",L,20,8,3,4,75.0,2,3,66.7,0,0,0.0,0,2,2,3,1,0,0,2,3,2017-02-04 00:00:00,ATL,AWAY
4,"FEB 03, 2017 - ORL vs. TOR",W,32,18,5,6,83.3,1,2,50.0,7,7,100.0,1,2,3,4,2,1,0,2,-4,2017-02-03 00:00:00,TOR,HOME
5,"FEB 01, 2017 - ORL vs. IND",L,19,5,2,4,50.0,1,1,100.0,0,0,0.0,0,0,0,1,2,0,1,3,-12,2017-02-01 00:00:00,IND,HOME
6,"JAN 30, 2017 - ORL @ MIN",L,34,18,6,10,60.0,1,3,33.3,5,5,100.0,1,3,4,2,2,0,1,2,8,2017-01-30 00:00:00,MIN,AWAY
7,"JAN 29, 2017 - ORL @ TOR",W,34,15,5,8,62.5,0,1,0.0,5,5,100.0,0,1,1,1,1,0,1,4,8,2017-01-29 00:00:00,TOR,AWAY
8,"JAN 27, 2017 - ORL @ BOS",L,32,9,3,7,42.9,1,3,33.3,2,2,100.0,0,1,1,4,1,0,1,1,-8,2017-01-27 00:00:00,BOS,AWAY
9,"JAN 24, 2017 - ORL vs. CHI",L,23,7,3,6,50.0,0,1,0.0,1,2,50.0,1,2,3,6,0,0,1,2,-13,2017-01-24 00:00:00,CHI,HOME
10,"JAN 22, 2017 - ORL vs. GSW",L,36,12,4,10,40.0,1,5,20.0,3,5,60.0,1,1,2,4,2,0,4,3,1,2017-01-22 00:00:00,GSW,HOME
11,"JAN 20, 2017 - ORL vs. MIL",W,31,5,2,8,25.0,1,4,25.0,0,0,0.0,1,5,6,2,0,0,0,4,-6,2017-01-20 00:00:00,MIL,HOME
12,"JAN 18, 2017 - ORL @ NOP",L,19,9,3,5,60.0,2,3,66.7,1,1,100.0,1,2,3,0,0,0,3,2,-11,2017-01-18 00:00:00,NOP,AWAY
13,"JAN 16, 2017 - ORL @ DEN",L,14,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,0,6,2017-01-16 00:00:00,DEN,AWAY
14,"JAN 14, 2017 - ORL @ UTA",L,8,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,2,0,1,2,-14,2017-01-14 00:00:00,UTA,AWAY
