BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,53,33.8,23.0,8.3,19.1,43.7,2.0,5.6,35.6,4.4,5.3,82.9,0.9,5.2,6.1,2.9,2.0,0.8,0.5,2.7,6,0,-3.2
Home,27,34.8,24.0,8.7,19.5,44.6,2.3,5.9,38.1,4.3,5.3,81.3,1.0,6.3,7.3,2.9,1.8,1.0,0.5,2.7,4,0,-0.5
Road,26,32.8,22.0,7.9,18.6,42.7,1.7,5.3,32.6,4.4,5.2,84.6,0.7,4.1,4.8,3.0,2.1,0.7,0.4,2.7,2,0,-6.0
Wins,22,35.1,23.2,8.4,20.2,41.7,2.5,6.8,37.6,3.9,4.7,82.5,1.0,5.5,6.4,3.3,1.7,1.0,0.5,2.4,3,0,5.8
Losses,31,32.9,22.9,8.3,18.3,45.2,1.6,4.8,33.6,4.7,5.7,83.1,0.8,5.0,5.8,2.6,2.1,0.8,0.4,2.9,3,0,-9.5
October,2,32.8,19.5,6.5,16.5,39.4,1.0,4.5,22.2,5.5,7.0,78.6,0.5,5.0,5.5,4.0,3.5,0.5,0.0,3.5,0,0,-3.0
November,16,34.1,22.6,8.4,19.1,43.8,2.0,5.8,34.4,3.8,4.3,88.4,1.1,5.4,6.6,2.4,1.8,1.1,0.4,2.9,1,0,-1.6
December,14,32.7,21.6,7.3,17.9,40.6,1.9,5.5,35.1,5.1,5.8,87.7,0.6,4.9,5.6,3.1,1.7,0.9,0.3,2.6,1,0,-1.9
January,17,34.6,25.4,9.4,20.1,46.9,2.4,5.8,40.8,4.2,5.5,76.6,0.7,5.6,6.3,3.3,2.0,0.6,0.6,2.4,4,0,-3.7
February,4,33.9,21.5,8.0,19.8,40.5,1.3,5.3,23.8,4.3,5.5,77.3,1.5,3.8,5.3,2.0,2.5,1.3,0.8,3.3,0,0,-11.8
Pre All-Star,53,33.8,23.0,8.3,19.1,43.7,2.0,5.6,35.6,4.4,5.3,82.9,0.9,5.2,6.1,2.9,2.0,0.8,0.5,2.7,6,0,-3.2
Starters,53,33.8,23.0,8.3,19.1,43.7,2.0,5.6,35.6,4.4,5.3,82.9,0.9,5.2,6.1,2.9,2.0,0.8,0.5,2.7,6,0,-3.2
0 Days Rest,11,30.7,20.3,7.6,17.8,42.9,1.5,5.2,28.1,3.5,4.5,78.0,0.9,4.5,5.5,2.7,2.1,0.5,0.2,3.2,1,0,-7.7
1 Days Rest,30,35.1,23.6,8.4,19.6,42.8,2.0,5.8,35.3,4.8,5.7,83.1,0.8,5.6,6.4,3.1,1.9,0.8,0.6,2.5,4,0,-0.3
2 Days Rest,9,33.3,24.6,9.1,19.8,46.1,2.8,6.3,43.9,3.6,4.0,88.9,1.1,4.9,6.0,2.3,1.4,1.6,0.6,2.4,1,0,-5.2
3 Days Rest,2,35.5,24.5,7.5,14.5,51.7,1.5,3.5,42.9,8.0,10.0,80.0,0.5,4.5,5.0,4.0,3.5,0.5,0.0,3.0,0,0,-4.0
4 Days Rest,1,30.1,19.0,8.0,18.0,44.4,1.0,4.0,25.0,2.0,2.0,100,1.0,4.0,5.0,3.0,4.0,1.0,0.0,5.0,0,0,-19.0
