BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,12,9.5,2.3,0.8,1.8,40.9,0.0,0.3,0.0,0.8,1.2,71.4,0.8,1.8,2.6,0.4,0.4,0.4,0.6,1.7,0,0,0.7
Home,8,8.7,2.8,0.9,2.0,43.8,0.0,0.4,0.0,1.0,1.5,66.7,0.9,1.4,2.3,0.5,0.4,0.4,0.6,1.8,0,0,0.1
Road,4,11.1,1.5,0.5,1.5,33.3,0.0,0.0,0.0,0.5,0.5,100,0.5,2.8,3.3,0.3,0.5,0.5,0.5,1.5,0,0,1.8
Wins,8,8.7,2.8,1.0,2.1,47.1,0.0,0.4,0.0,0.8,1.0,75.0,0.9,1.4,2.3,0.5,0.4,0.5,0.8,1.5,0,0,0.8
Losses,4,11.1,1.5,0.3,1.3,20.0,0.0,0.0,0.0,1.0,1.5,66.7,0.5,2.8,3.3,0.3,0.5,0.3,0.3,2.0,0,0,0.5
October,2,7.2,4.0,1.5,1.5,100,0.0,0.0,0.0,1.0,2.0,50.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0,0,2.0
November,5,9.8,2.0,0.6,2.8,21.4,0.0,0.6,0.0,0.8,0.8,100,1.4,2.4,3.8,0.8,1.0,0.2,0.4,1.6,0,0,-2.0
December,5,10.0,2.0,0.6,1.0,60.0,0.0,0.0,0.0,0.8,1.2,66.7,0.2,1.8,2.0,0.0,0.0,0.6,0.8,2.0,0,0,2.8
Pre All-Star,12,9.5,2.3,0.8,1.8,40.9,0.0,0.3,0.0,0.8,1.2,71.4,0.8,1.8,2.6,0.4,0.4,0.4,0.6,1.7,0,0,0.7
Bench,12,9.5,2.3,0.8,1.8,40.9,0.0,0.3,0.0,0.8,1.2,71.4,0.8,1.8,2.6,0.4,0.4,0.4,0.6,1.7,0,0,0.7
0 Days Rest,1,19.5,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,4.0,0,0,4.0
1 Days Rest,4,12.0,3.0,0.8,2.5,30.0,0.0,0.5,0.0,1.5,2.0,75.0,1.5,2.3,3.8,0.8,0.8,0.5,0.8,3.0,0,0,1.8
3 Days Rest,3,7.6,2.7,0.7,1.0,66.7,0.0,0.0,0.0,1.3,2.0,66.7,0.3,1.3,1.7,0.7,0.0,0.3,0.0,1.3,0,0,1.0
4 Days Rest,1,4.0,2.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,-8.0
5 Days Rest,1,7.9,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,3.0
6+ Days Rest,2,5.9,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,0.0,1.0,0.0,0.5,0.0,0,0,-0.5
