BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,13,5.5,2.7,1.2,2.4,51.6,0.1,0.5,16.7,0.2,0.2,66.7,0.7,0.6,1.3,0.2,0.2,0.1,0.2,0.5,0,0,3.7
Home,6,4.9,0.8,0.3,1.3,25.0,0.0,0.5,0.0,0.2,0.3,50.0,0.2,0.7,0.8,0.0,0.2,0.0,0.0,0.3,0,0,0.8
Road,7,6.0,4.3,2.0,3.3,60.9,0.1,0.4,33.3,0.1,0.1,100,1.1,0.6,1.7,0.3,0.1,0.1,0.3,0.7,0,0,6.1
Losses,13,5.5,2.7,1.2,2.4,51.6,0.1,0.5,16.7,0.2,0.2,66.7,0.7,0.6,1.3,0.2,0.2,0.1,0.2,0.5,0,0,3.7
October,2,6.9,1.0,0.5,2.0,25.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,4.0
November,6,5.3,3.7,1.7,3.2,52.6,0.2,0.5,33.3,0.2,0.2,100,0.8,0.7,1.5,0.2,0.2,0.0,0.3,0.7,0,0,1.7
December,2,5.4,1.0,0.5,1.5,33.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0,0,6.5
January,3,4.9,3.0,1.3,1.7,80.0,0.0,0.3,0.0,0.3,0.7,50.0,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.7,0,0,5.7
Pre All-Star,13,5.5,2.7,1.2,2.4,51.6,0.1,0.5,16.7,0.2,0.2,66.7,0.7,0.6,1.3,0.2,0.2,0.1,0.2,0.5,0,0,3.7
Bench,13,5.5,2.7,1.2,2.4,51.6,0.1,0.5,16.7,0.2,0.2,66.7,0.7,0.6,1.3,0.2,0.2,0.1,0.2,0.5,0,0,3.7
0 Days Rest,1,7.3,2.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0,0,10.0
1 Days Rest,6,5.9,4.3,2.0,3.2,63.2,0.2,0.7,25.0,0.2,0.2,100,0.8,0.5,1.3,0.2,0.2,0.2,0.3,0.5,0,0,4.2
2 Days Rest,1,5.5,3.0,1.0,1.0,100,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,4.0
3 Days Rest,1,3.8,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,-2.0
4 Days Rest,2,6.1,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.5
5 Days Rest,1,3.7,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,14.0
6+ Days Rest,1,3.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,2.0
