,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 09, 2017 - DAL vs. UTA",W,265,112,44,87,50.6,5,20,25.0,19,25,76.0,6,32,38,21,12,3,11,19,2017-02-09 00:00:00,UTA,HOME
1,"FEB 07, 2017 - DAL vs. POR",L,240,113,37,75,49.3,12,28,42.9,27,32,84.4,2,28,30,16,6,6,7,22,2017-02-07 00:00:00,POR,HOME
2,"FEB 06, 2017 - DAL @ DEN",L,240,87,34,79,43.0,8,26,30.8,11,17,64.7,3,26,29,25,8,3,10,18,2017-02-06 00:00:00,DEN,AWAY
3,"FEB 03, 2017 - DAL @ POR",W,240,108,36,76,47.4,17,31,54.8,19,23,82.6,2,34,36,15,3,4,4,24,2017-02-03 00:00:00,POR,AWAY
4,"FEB 01, 2017 - DAL vs. PHI",W,240,113,40,86,46.5,10,26,38.5,23,28,82.1,15,36,51,22,10,4,11,19,2017-02-01 00:00:00,PHI,HOME
5,"JAN 30, 2017 - DAL vs. CLE",W,240,104,39,86,45.3,9,32,28.1,17,18,94.4,9,31,40,19,11,2,9,17,2017-01-30 00:00:00,CLE,HOME
6,"JAN 29, 2017 - DAL @ SAS",W,240,105,39,87,44.8,12,34,35.3,15,16,93.8,6,35,41,20,6,5,6,19,2017-01-29 00:00:00,SAS,AWAY
7,"JAN 26, 2017 - DAL @ OKC",L,240,98,38,84,45.2,11,26,42.3,11,13,84.6,8,28,36,17,10,2,12,26,2017-01-26 00:00:00,OKC,AWAY
8,"JAN 25, 2017 - DAL vs. NYK",W,240,103,39,83,47.0,6,26,23.1,19,24,79.2,7,29,36,19,10,7,7,12,2017-01-25 00:00:00,NYK,HOME
9,"JAN 22, 2017 - DAL vs. LAL",W,240,122,43,87,49.4,17,39,43.6,19,19,100.0,13,36,49,27,9,4,10,15,2017-01-22 00:00:00,LAL,HOME
10,"JAN 20, 2017 - DAL vs. UTA",L,265,107,39,87,44.8,8,23,34.8,21,28,75.0,9,34,43,21,4,2,12,26,2017-01-20 00:00:00,UTA,HOME
