,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"JAN 31, 2017 - WAS vs. NYK",W,2,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-2,2017-01-31 00:00:00,NYK,HOME
1,"JAN 27, 2017 - WAS @ ATL",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-2,2017-01-27 00:00:00,ATL,AWAY
2,"JAN 24, 2017 - WAS vs. BOS",W,1,2,1,1,100.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,2017-01-24 00:00:00,BOS,HOME
3,"JAN 16, 2017 - WAS vs. POR",W,3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,1,0,0,1,-4,2017-01-16 00:00:00,POR,HOME
4,"JAN 14, 2017 - WAS vs. PHI",W,3,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,-6,2017-01-14 00:00:00,PHI,HOME
5,"DEC 30, 2016 - WAS vs. BKN",W,2,2,1,2,50.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,3,2016-12-30 00:00:00,BKN,HOME
6,"DEC 23, 2016 - WAS @ MIL",L,11,6,3,4,75.0,0,0,0.0,0,2,0.0,0,2,2,0,0,0,0,2,-5,2016-12-23 00:00:00,MIL,AWAY
7,"DEC 19, 2016 - WAS @ IND",L,5,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-2,2016-12-19 00:00:00,IND,AWAY
8,"DEC 18, 2016 - WAS vs. LAC",W,9,0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,3,-5,2016-12-18 00:00:00,LAC,HOME
9,"DEC 16, 2016 - WAS vs. DET",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-3,2016-12-16 00:00:00,DET,HOME
10,"NOV 11, 2016 - WAS vs. CLE",L,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2016-11-11 00:00:00,CLE,HOME
11,"NOV 09, 2016 - WAS vs. BOS",W,3,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,2,4,2016-11-09 00:00:00,BOS,HOME
12,"OCT 27, 2016 - WAS @ ATL",L,4,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,4,2016-10-27 00:00:00,ATL,AWAY
