,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - UTA vs. BOS",L,6,2,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-2,2017-02-11 00:00:00,BOS,HOME
1,"FEB 09, 2017 - UTA @ DAL",L,18,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,0,0,4,2,3,2017-02-09 00:00:00,DAL,AWAY
2,"FEB 08, 2017 - UTA @ NOP",W,23,11,5,7,71.4,1,2,50.0,0,0,0.0,0,3,3,5,1,0,3,4,15,2017-02-08 00:00:00,NOP,AWAY
3,"FEB 06, 2017 - UTA @ ATL",W,14,7,3,5,60.0,0,1,0.0,1,2,50.0,0,2,2,0,0,0,2,3,0,2017-02-06 00:00:00,ATL,AWAY
4,"FEB 04, 2017 - UTA vs. CHA",W,22,11,5,12,41.7,1,4,25.0,0,0,0.0,0,1,1,3,1,0,1,4,1,2017-02-04 00:00:00,CHA,HOME
5,"FEB 01, 2017 - UTA vs. MIL",W,8,3,1,3,33.3,1,2,50.0,0,0,0.0,0,2,2,0,0,0,0,1,-4,2017-02-01 00:00:00,MIL,HOME
6,"JAN 28, 2017 - UTA vs. MEM",L,5,2,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,1,0,0,1,0,0,2017-01-28 00:00:00,MEM,HOME
7,"JAN 23, 2017 - UTA vs. OKC",L,14,8,3,6,50.0,1,4,25.0,1,1,100.0,0,1,1,2,1,0,0,1,14,2017-01-23 00:00:00,OKC,HOME
8,"JAN 16, 2017 - UTA @ PHX",W,8,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-10,2017-01-16 00:00:00,PHX,AWAY
9,"JAN 14, 2017 - UTA vs. ORL",W,8,2,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,3,-4,2017-01-14 00:00:00,ORL,HOME
