,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - DEN @ CLE",L,20,3,1,5,20.0,1,5,20.0,0,0,0.0,2,1,3,1,0,1,0,0,-14,2017-02-11 00:00:00,CLE,AWAY
1,"FEB 10, 2017 - DEN @ NYK",W,21,13,5,9,55.6,3,6,50.0,0,0,0.0,0,3,3,2,0,0,1,1,-1,2017-02-10 00:00:00,NYK,AWAY
2,"FEB 08, 2017 - DEN @ ATL",L,21,10,4,10,40.0,2,4,50.0,0,0,0.0,2,2,4,1,0,1,2,1,4,2017-02-08 00:00:00,ATL,AWAY
3,"FEB 06, 2017 - DEN vs. DAL",W,22,7,3,8,37.5,1,5,20.0,0,0,0.0,0,3,3,2,1,3,1,2,3,2017-02-06 00:00:00,DAL,HOME
4,"FEB 03, 2017 - DEN vs. MIL",W,17,10,4,9,44.4,2,3,66.7,0,0,0.0,1,2,3,2,0,0,1,3,-2,2017-02-03 00:00:00,MIL,HOME
5,"FEB 01, 2017 - DEN vs. MEM",L,16,14,4,9,44.4,4,7,57.1,2,2,100.0,0,5,5,0,0,0,0,1,-8,2017-02-01 00:00:00,MEM,HOME
6,"JAN 31, 2017 - DEN @ LAL",L,20,10,4,8,50.0,1,2,50.0,1,2,50.0,4,2,6,3,1,2,3,2,7,2017-01-31 00:00:00,LAL,AWAY
7,"JAN 28, 2017 - DEN @ PHX",W,15,3,1,4,25.0,1,2,50.0,0,0,0.0,2,1,3,0,0,0,2,3,-8,2017-01-28 00:00:00,PHX,AWAY
8,"JAN 26, 2017 - DEN vs. PHX",W,15,8,3,5,60.0,2,3,66.7,0,0,0.0,0,2,2,0,0,0,0,4,-9,2017-01-26 00:00:00,PHX,HOME
9,"JAN 24, 2017 - DEN vs. UTA",W,22,16,5,7,71.4,3,3,100.0,3,3,100.0,2,6,8,1,1,0,0,2,5,2017-01-24 00:00:00,UTA,HOME
10,"JAN 22, 2017 - DEN @ MIN",L,21,10,4,9,44.4,2,6,33.3,0,0,0.0,1,3,4,4,0,3,1,4,4,2017-01-22 00:00:00,MIN,AWAY
11,"JAN 21, 2017 - DEN vs. LAC",W,13,7,3,5,60.0,1,3,33.3,0,0,0.0,0,2,2,0,1,0,0,0,17,2017-01-21 00:00:00,LAC,HOME
12,"JAN 07, 2017 - DEN @ OKC",L,24,10,4,9,44.4,2,4,50.0,0,0,0.0,1,3,4,1,1,0,1,4,-6,2017-01-07 00:00:00,OKC,AWAY
13,"JAN 05, 2017 - DEN vs. SAS",L,19,13,5,8,62.5,2,4,50.0,1,1,100.0,1,3,4,0,0,1,0,1,-12,2017-01-05 00:00:00,SAS,HOME
14,"JAN 03, 2017 - DEN vs. SAC",L,18,12,4,6,66.7,4,5,80.0,0,0,0.0,0,3,3,0,0,1,2,3,10,2017-01-03 00:00:00,SAC,HOME
15,"DEC 23, 2016 - DEN vs. ATL",L,11,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,2,4,-1,2016-12-23 00:00:00,ATL,HOME
16,"DEC 17, 2016 - DEN vs. NYK",W,4,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,1,-5,2016-12-17 00:00:00,NYK,HOME
17,"DEC 12, 2016 - DEN @ DAL",L,5,2,1,1,100.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,2,1,-8,2016-12-12 00:00:00,DAL,AWAY
18,"DEC 10, 2016 - DEN @ ORL",W,23,5,2,5,40.0,1,2,50.0,0,0,0.0,0,0,0,4,0,0,0,1,-5,2016-12-10 00:00:00,ORL,AWAY
19,"DEC 08, 2016 - DEN @ WAS",L,20,6,2,3,66.7,2,3,66.7,0,0,0.0,0,3,3,4,0,1,2,2,10,2016-12-08 00:00:00,WAS,AWAY
20,"DEC 07, 2016 - DEN @ BKN",L,11,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,2,3,-15,2016-12-07 00:00:00,BKN,AWAY
21,"DEC 05, 2016 - DEN @ PHI",W,23,7,2,5,40.0,1,3,33.3,2,2,100.0,1,6,7,2,1,1,2,2,14,2016-12-05 00:00:00,PHI,AWAY
