,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - SAS @ DET",W,11,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,2,2,-6,2017-02-10 00:00:00,DET,AWAY
1,"FEB 08, 2017 - SAS @ PHI",W,15,9,3,5,60.0,2,4,50.0,1,2,50.0,0,1,1,1,0,0,1,1,-5,2017-02-08 00:00:00,PHI,AWAY
2,"FEB 06, 2017 - SAS @ MEM",L,15,0,0,5,0.0,0,3,0.0,0,0,0.0,0,1,1,0,1,1,0,2,0,2017-02-06 00:00:00,MEM,AWAY
3,"FEB 04, 2017 - SAS vs. DEN",W,19,7,3,4,75.0,1,1,100.0,0,0,0.0,1,2,3,1,1,1,1,1,8,2017-02-04 00:00:00,DEN,HOME
4,"FEB 02, 2017 - SAS vs. PHI",W,30,12,5,14,35.7,2,8,25.0,0,0,0.0,2,4,6,3,2,0,2,2,19,2017-02-02 00:00:00,PHI,HOME
5,"JAN 31, 2017 - SAS vs. OKC",W,23,2,1,6,16.7,0,4,0.0,0,1,0.0,2,3,5,1,1,1,1,0,21,2017-01-31 00:00:00,OKC,HOME
6,"JAN 29, 2017 - SAS vs. DAL",L,17,6,2,5,40.0,1,3,33.3,1,1,100.0,0,3,3,1,0,2,0,2,-3,2017-01-29 00:00:00,DAL,HOME
7,"JAN 27, 2017 - SAS @ NOP",L,20,17,6,9,66.7,5,7,71.4,0,0,0.0,0,1,1,0,1,1,0,2,-14,2017-01-27 00:00:00,NOP,AWAY
8,"JAN 24, 2017 - SAS @ TOR",W,15,12,4,6,66.7,2,4,50.0,2,2,100.0,0,0,0,2,1,0,0,0,2,2017-01-24 00:00:00,TOR,AWAY
9,"JAN 23, 2017 - SAS @ BKN",W,12,11,3,5,60.0,2,4,50.0,3,3,100.0,0,2,2,2,0,0,0,5,8,2017-01-23 00:00:00,BKN,AWAY
10,"JAN 19, 2017 - SAS vs. DEN",W,15,4,1,2,50.0,1,2,50.0,1,2,50.0,0,2,2,2,0,0,0,2,-6,2017-01-19 00:00:00,DEN,HOME
11,"JAN 17, 2017 - SAS vs. MIN",W,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-6,2017-01-17 00:00:00,MIN,HOME
12,"JAN 14, 2017 - SAS @ PHX",L,4,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,3,2017-01-14 00:00:00,PHX,AWAY
13,"JAN 12, 2017 - SAS vs. LAL",W,11,5,2,5,40.0,1,4,25.0,0,0,0.0,0,3,3,2,0,0,0,3,7,2017-01-12 00:00:00,LAL,HOME
14,"JAN 10, 2017 - SAS vs. MIL",L,19,11,4,7,57.1,3,6,50.0,0,0,0.0,0,0,0,2,0,1,2,2,8,2017-01-10 00:00:00,MIL,HOME
15,"JAN 07, 2017 - SAS vs. CHA",W,18,21,5,6,83.3,4,5,80.0,7,8,87.5,0,1,1,2,1,0,0,2,19,2017-01-07 00:00:00,CHA,HOME
16,"JAN 05, 2017 - SAS @ DEN",W,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,6,2017-01-05 00:00:00,DEN,AWAY
17,"JAN 03, 2017 - SAS vs. TOR",W,8,5,2,3,66.7,1,2,50.0,0,0,0.0,0,2,2,1,0,2,1,0,-4,2017-01-03 00:00:00,TOR,HOME
18,"DEC 30, 2016 - SAS vs. POR",W,3,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-2,2016-12-30 00:00:00,POR,HOME
19,"DEC 28, 2016 - SAS vs. PHX",W,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,3,5,2016-12-28 00:00:00,PHX,HOME
20,"DEC 25, 2016 - SAS vs. CHI",W,2,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,3,2016-12-25 00:00:00,CHI,HOME
21,"DEC 23, 2016 - SAS @ POR",W,7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,2016-12-23 00:00:00,POR,AWAY
22,"DEC 20, 2016 - SAS @ HOU",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,2016-12-20 00:00:00,HOU,AWAY
23,"DEC 18, 2016 - SAS vs. NOP",W,12,0,0,3,0.0,0,2,0.0,0,0,0.0,2,1,3,1,0,0,1,0,-4,2016-12-18 00:00:00,NOP,HOME
24,"DEC 15, 2016 - SAS @ PHX",W,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-2,2016-12-15 00:00:00,PHX,AWAY
25,"DEC 14, 2016 - SAS vs. BOS",W,15,3,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,4,0,0,0,1,4,2016-12-14 00:00:00,BOS,HOME
26,"DEC 10, 2016 - SAS vs. BKN",W,21,5,1,4,25.0,0,3,0.0,3,3,100.0,0,6,6,0,2,2,0,2,21,2016-12-10 00:00:00,BKN,HOME
27,"DEC 06, 2016 - SAS @ MIN",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-4,2016-12-06 00:00:00,MIN,AWAY
28,"DEC 05, 2016 - SAS @ MIL",W,8,1,0,3,0.0,0,3,0.0,1,2,50.0,0,1,1,1,0,0,1,4,-2,2016-12-05 00:00:00,MIL,AWAY
29,"NOV 30, 2016 - SAS @ DAL",W,15,7,2,2,100.0,1,1,100.0,2,2,100.0,0,0,0,0,0,0,0,1,7,2016-11-30 00:00:00,DAL,AWAY
30,"NOV 29, 2016 - SAS vs. ORL",L,6,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,-2,2016-11-29 00:00:00,ORL,HOME
31,"NOV 26, 2016 - SAS @ WAS",W,11,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,1,0,0,4,2016-11-26 00:00:00,WAS,AWAY
32,"NOV 25, 2016 - SAS @ BOS",W,23,15,6,8,75.0,3,5,60.0,0,0,0.0,0,2,2,0,1,0,0,0,8,2016-11-25 00:00:00,BOS,AWAY
33,"NOV 23, 2016 - SAS @ CHA",W,11,11,4,4,100.0,3,3,100.0,0,0,0.0,0,0,0,0,0,1,2,0,-4,2016-11-23 00:00:00,CHA,AWAY
