BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,47,35.5,27.9,10.0,21.3,47.1,0.4,1.5,27.1,7.4,8.8,84.7,1.0,4.3,5.3,3.8,2.3,1.2,0.2,1.9,3,0,2.2
Home,24,35.1,27.8,9.7,20.5,47.1,0.4,1.4,30.3,8.0,9.0,89.4,1.0,4.4,5.4,3.5,2.4,1.0,0.2,1.8,1,0,6.2
Road,23,35.9,28.0,10.4,22.0,47.1,0.4,1.6,24.3,6.8,8.6,79.7,1.0,4.2,5.3,4.1,2.3,1.4,0.1,2.0,2,0,-1.9
Wins,29,34.6,28.3,10.2,21.3,48.1,0.4,1.4,30.0,7.4,8.9,83.3,1.1,4.4,5.5,3.8,2.3,1.2,0.1,1.6,3,0,8.9
Losses,18,36.9,27.2,9.7,21.2,45.5,0.4,1.7,23.3,7.5,8.6,87.1,0.8,4.2,5.1,3.9,2.4,1.1,0.3,2.4,0,0,-8.6
October,3,37.2,35.0,14.0,26.0,53.8,0.0,1.3,0.0,7.0,7.7,91.3,1.7,3.7,5.3,1.3,3.3,1.3,0.0,1.7,0,0,7.0
November,15,36.1,27.7,9.6,20.3,47.2,0.7,2.0,33.3,7.9,9.7,80.8,0.9,4.6,5.5,4.8,2.7,1.3,0.1,2.1,0,0,3.0
December,14,34.2,25.5,9.3,20.4,45.6,0.2,1.4,15.8,6.7,7.8,86.2,0.9,3.9,4.8,3.9,2.0,1.4,0.1,1.6,1,0,4.3
January,13,35.4,28.6,10.2,21.9,46.3,0.2,0.8,30.0,8.1,9.2,88.2,1.0,4.8,5.8,3.5,2.2,0.8,0.4,2.0,2,0,-1.5
February,2,37.9,30.5,11.5,23.5,48.9,1.5,3.5,42.9,6.0,8.0,75.0,1.5,3.0,4.5,2.0,1.0,1.0,0.0,2.0,0,0,-0.5
Pre All-Star,47,35.5,27.9,10.0,21.3,47.1,0.4,1.5,27.1,7.4,8.8,84.7,1.0,4.3,5.3,3.8,2.3,1.2,0.2,1.9,3,0,2.2
Starters,47,35.5,27.9,10.0,21.3,47.1,0.4,1.5,27.1,7.4,8.8,84.7,1.0,4.3,5.3,3.8,2.3,1.2,0.2,1.9,3,0,2.2
0 Days Rest,8,36.3,27.8,9.9,20.4,48.5,0.3,1.4,18.2,7.8,8.8,88.6,0.6,4.0,4.6,4.3,3.0,0.8,0.1,2.0,0,0,2.3
1 Days Rest,26,35.3,27.9,10.2,21.6,47.2,0.4,1.5,27.5,7.1,8.3,85.3,1.0,4.6,5.6,3.8,2.2,1.2,0.2,2.0,2,0,1.2
2 Days Rest,10,35.0,27.0,9.3,20.9,44.5,0.4,1.3,30.8,8.0,10.0,80.0,1.3,3.9,5.2,3.7,2.0,1.6,0.2,1.5,1,0,3.0
4 Days Rest,1,34.5,40.0,17.0,27.0,63.0,0.0,2.0,0.0,6.0,6.0,100,1.0,3.0,4.0,1.0,6.0,1.0,0.0,1.0,0,0,21.0
6+ Days Rest,2,37.3,26.5,8.5,20.0,42.5,1.0,2.0,50.0,8.5,10.0,85.0,1.5,4.5,6.0,4.0,0.5,0.5,0.0,2.0,0,0,2.5
