BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,51,34.6,27.9,9.3,20.6,45.1,1.8,4.8,36.7,7.6,9.8,77.8,2.1,8.5,10.7,4.7,3.6,1.4,1.4,3.8,31,2,-0.5
Home,24,35.1,28.2,9.2,20.4,45.0,1.9,5.2,36.8,7.9,9.9,80.2,2.2,8.7,10.8,5.6,4.3,1.7,1.3,3.9,17,2,-0.3
Road,27,34.2,27.7,9.4,20.7,45.2,1.6,4.4,36.7,7.4,9.7,75.7,2.1,8.4,10.5,3.9,2.9,1.1,1.4,3.7,14,0,-0.7
Wins,20,34.1,29.1,10.2,21.6,47.3,1.8,4.0,44.3,7.0,8.8,79.0,2.3,8.4,10.7,4.6,3.2,1.4,1.4,3.7,12,0,7.8
Losses,31,34.9,27.2,8.7,19.9,43.5,1.8,5.4,33.1,8.1,10.5,77.2,2.0,8.6,10.6,4.8,3.8,1.3,1.3,3.8,19,2,-5.9
October,4,31.5,26.0,7.8,16.0,48.4,1.0,3.3,30.8,9.5,12.3,77.6,2.8,7.5,10.3,2.3,3.3,0.8,0.3,4.5,2,0,5.3
November,14,34.7,29.5,10.4,22.2,46.9,1.9,4.6,40.6,6.8,9.3,73.1,2.1,8.4,10.5,3.5,2.7,1.4,1.4,3.9,7,0,0.1
December,14,35.8,29.3,9.7,22.4,43.5,1.9,5.2,37.0,7.9,9.6,82.8,1.9,7.9,9.9,4.3,3.5,1.6,1.9,3.4,6,0,1.8
January,16,33.7,26.6,8.5,18.7,45.5,1.7,4.6,36.5,7.9,10.4,76.5,2.2,9.1,11.3,5.9,4.3,1.3,1.2,3.6,13,1,-4.4
February,3,37.6,24.0,8.0,20.7,38.7,2.0,7.0,28.6,6.0,7.0,85.7,2.0,10.7,12.7,8.7,4.7,1.3,1.3,5.0,3,1,-1.7
Pre All-Star,51,34.6,27.9,9.3,20.6,45.1,1.8,4.8,36.7,7.6,9.8,77.8,2.1,8.5,10.7,4.7,3.6,1.4,1.4,3.8,31,2,-0.5
Starters,51,34.6,27.9,9.3,20.6,45.1,1.8,4.8,36.7,7.6,9.8,77.8,2.1,8.5,10.7,4.7,3.6,1.4,1.4,3.8,31,2,-0.5
0 Days Rest,12,34.9,27.8,9.7,22.2,43.6,1.2,4.2,28.0,7.3,9.9,73.1,2.7,9.1,11.8,4.1,2.9,0.9,1.1,4.0,7,0,-4.8
1 Days Rest,27,34.5,28.6,9.4,20.5,45.9,2.1,5.4,40.0,7.6,9.8,78.0,2.2,8.4,10.6,4.3,3.8,1.6,1.5,3.6,18,0,-0.6
2 Days Rest,8,35.6,27.5,9.1,19.8,46.2,1.9,4.4,42.9,7.4,8.9,83.1,1.3,8.1,9.4,7.6,4.3,1.4,1.4,3.5,5,2,3.4
3 Days Rest,2,34.7,25.0,8.5,23.0,37.0,1.0,5.0,20.0,7.0,8.0,87.5,1.5,7.5,9.0,2.0,2.0,0.5,2.5,5.0,0,0,3.0
4 Days Rest,1,36.5,26.0,7.0,16.0,43.8,1.0,4.0,25.0,11.0,14.0,78.6,3.0,14.0,17.0,6.0,3.0,1.0,0.0,4.0,1,0,0.0
6+ Days Rest,1,24.7,24.0,6.0,10.0,60.0,0.0,1.0,0.0,12.0,16.0,75.0,1.0,5.0,6.0,2.0,3.0,1.0,0.0,4.0,0,0,13.0
