BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,28,12.2,3.4,1.2,3.9,30.6,0.8,2.6,29.7,0.3,0.3,87.5,0.1,1.5,1.6,0.7,0.6,0.5,0.1,1.0,0,0,-1.6
Home,12,8.9,2.3,0.8,2.4,31.0,0.4,1.5,27.8,0.3,0.3,100,0.0,1.3,1.3,0.5,0.6,0.4,0.0,0.6,0,0,-3.6
Road,16,14.7,4.3,1.5,4.9,30.4,1.1,3.5,30.4,0.2,0.3,75.0,0.1,1.7,1.8,0.9,0.6,0.6,0.2,1.3,0,0,-0.1
Wins,13,11.0,2.8,0.9,2.8,32.4,0.8,2.1,37.0,0.2,0.2,100,0.0,1.3,1.3,0.5,0.5,0.3,0.1,1.2,0,0,0.5
Losses,15,13.3,3.9,1.4,4.7,29.6,0.8,3.1,25.5,0.3,0.4,83.3,0.1,1.7,1.8,0.9,0.7,0.7,0.1,0.8,0,0,-3.4
October,2,5.9,1.5,0.5,2.0,25.0,0.5,2.0,25.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0,0,0.5
November,11,10.4,2.4,0.8,2.9,28.1,0.6,1.9,33.3,0.1,0.2,50.0,0.1,1.4,1.5,0.5,0.2,0.4,0.0,1.5,0,0,-1.3
December,9,12.0,2.8,0.9,3.2,27.6,0.3,1.9,17.6,0.7,0.7,100,0.0,2.1,2.1,0.4,0.6,0.2,0.0,0.4,0,0,-4.8
January,5,17.5,7.2,2.6,6.4,40.6,2.0,5.0,40.0,0.0,0.0,0.0,0.2,1.4,1.6,1.4,1.2,1.4,0.4,1.2,0,0,7.2
February,1,21.0,5.0,2.0,11.0,18.2,1.0,7.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0,0,-24.0
Pre All-Star,28,12.2,3.4,1.2,3.9,30.6,0.8,2.6,29.7,0.3,0.3,87.5,0.1,1.5,1.6,0.7,0.6,0.5,0.1,1.0,0,0,-1.6
Bench,28,12.2,3.4,1.2,3.9,30.6,0.8,2.6,29.7,0.3,0.3,87.5,0.1,1.5,1.6,0.7,0.6,0.5,0.1,1.0,0,0,-1.6
0 Days Rest,5,15.4,4.6,1.6,4.6,34.8,0.8,2.6,30.8,0.6,0.8,75.0,0.2,2.0,2.2,0.8,0.4,0.6,0.0,1.4,0,0,-1.2
1 Days Rest,10,9.5,2.3,0.8,2.4,33.3,0.7,2.0,35.0,0.0,0.0,0.0,0.0,0.9,0.9,0.5,0.4,0.1,0.1,0.9,0,0,-1.7
2 Days Rest,2,17.2,4.0,1.5,5.5,27.3,1.0,3.5,28.6,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.5,0.5,0.0,1.0,0,0,-6.5
3 Days Rest,1,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
4 Days Rest,5,14.9,4.0,1.2,6.0,20.0,0.8,4.0,20.0,0.8,0.8,100,0.2,1.8,2.0,1.4,1.2,1.2,0.4,1.0,0,0,-2.6
5 Days Rest,2,2.3,1.0,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0,0,-4.0
6+ Days Rest,3,17.0,6.3,2.3,6.0,38.9,1.7,4.3,38.5,0.0,0.0,0.0,0.0,2.3,2.3,1.3,1.0,0.7,0.0,1.3,0,0,4.0
