BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,45,32.2,17.6,7.2,15.7,45.7,0.3,1.2,24.1,3.0,3.5,86.7,1.2,2.8,4.0,4.5,2.5,0.7,0.4,1.5,2,0,-2.2
Home,24,32.1,17.5,7.3,15.0,48.3,0.1,0.8,15.8,2.9,3.5,83.3,1.3,3.0,4.2,4.7,2.5,0.6,0.3,1.5,0,0,0.1
Road,21,32.3,17.8,7.0,16.4,42.9,0.5,1.7,28.6,3.2,3.5,90.5,1.1,2.6,3.7,4.2,2.5,0.8,0.4,1.5,2,0,-4.8
Wins,20,31.2,16.7,6.8,14.2,47.9,0.2,0.9,16.7,2.9,3.5,82.9,0.9,3.1,4.0,4.8,2.3,0.7,0.5,1.6,2,0,4.1
Losses,25,33.0,18.4,7.4,16.8,44.2,0.4,1.4,27.8,3.2,3.5,89.8,1.4,2.5,4.0,4.2,2.6,0.7,0.2,1.4,0,0,-7.2
October,2,30.9,15.0,6.5,15.0,43.3,0.5,1.5,33.3,1.5,2.0,75.0,1.5,2.0,3.5,2.0,2.0,1.0,1.0,1.5,0,0,-6.0
November,16,32.2,16.6,6.5,14.9,43.7,0.4,1.7,25.9,3.2,3.6,89.5,1.3,2.9,4.2,5.1,2.8,0.7,0.4,1.9,1,0,-0.9
December,11,32.5,19.6,7.8,17.1,45.7,0.3,1.2,23.1,3.7,4.6,80.4,1.1,3.0,4.1,3.8,1.9,0.7,0.3,1.2,0,0,1.5
January,14,31.7,18.4,7.6,16.1,47.6,0.1,0.6,22.2,2.9,3.2,91.1,1.1,2.4,3.4,4.5,2.6,0.6,0.3,1.3,1,0,-4.8
February,2,34.5,12.5,6.0,12.0,50.0,0.0,1.0,0.0,0.5,0.5,100,1.0,4.5,5.5,5.5,3.0,0.5,0.0,1.5,0,0,-10.5
Pre All-Star,45,32.2,17.6,7.2,15.7,45.7,0.3,1.2,24.1,3.0,3.5,86.7,1.2,2.8,4.0,4.5,2.5,0.7,0.4,1.5,2,0,-2.2
Starters,45,32.2,17.6,7.2,15.7,45.7,0.3,1.2,24.1,3.0,3.5,86.7,1.2,2.8,4.0,4.5,2.5,0.7,0.4,1.5,2,0,-2.2
0 Days Rest,9,33.9,19.1,7.6,17.6,43.0,0.6,1.8,31.3,3.4,4.0,86.1,1.7,2.6,4.2,4.9,2.2,1.1,0.3,1.3,0,0,-4.7
1 Days Rest,23,31.1,16.7,6.8,15.0,45.4,0.3,1.1,23.1,2.7,3.0,90.0,1.1,2.9,4.0,4.7,2.6,0.7,0.2,1.7,2,0,-0.7
2 Days Rest,7,33.1,18.6,7.1,16.1,44.2,0.1,1.0,14.3,4.1,4.9,85.3,1.4,2.6,4.0,4.3,2.6,0.1,0.4,1.1,0,0,-2.4
3 Days Rest,2,32.0,19.0,8.5,14.5,58.6,0.0,0.5,0.0,2.0,3.0,66.7,0.5,2.5,3.0,3.5,1.0,1.5,0.5,1.5,0,0,-7.0
4 Days Rest,1,33.9,25.0,12.0,16.0,75.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,0,0,13.0
6+ Days Rest,3,32.4,15.3,6.0,14.3,41.9,0.3,1.0,33.3,3.0,3.3,90.0,0.7,3.0,3.7,3.3,3.7,0.0,1.0,1.0,0,0,-7.0
