,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - NOP @ MIN",W,19,2,1,3,33.3,0,1,0.0,0,0,0.0,3,1,4,1,1,0,3,4,10,2017-02-10 00:00:00,MIN,AWAY
1,"FEB 08, 2017 - NOP vs. UTA",L,20,3,1,3,33.3,0,1,0.0,1,2,50.0,1,4,5,2,1,0,0,3,-2,2017-02-08 00:00:00,UTA,HOME
2,"FEB 06, 2017 - NOP vs. PHX",W,6,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,1,-5,2017-02-06 00:00:00,PHX,HOME
3,"FEB 04, 2017 - NOP @ WAS",L,5,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-1,2017-02-04 00:00:00,WAS,AWAY
4,"FEB 01, 2017 - NOP @ DET",L,12,0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,1,-18,2017-02-01 00:00:00,DET,AWAY
5,"JAN 31, 2017 - NOP @ TOR",L,25,4,2,6,33.3,0,1,0.0,0,0,0.0,2,2,4,0,1,0,2,4,-12,2017-01-31 00:00:00,TOR,AWAY
6,"JAN 29, 2017 - NOP vs. WAS",L,22,10,5,6,83.3,0,1,0.0,0,3,0.0,2,2,4,2,0,0,3,2,-14,2017-01-29 00:00:00,WAS,HOME
7,"JAN 27, 2017 - NOP vs. SAS",W,22,10,4,6,66.7,1,2,50.0,1,1,100.0,2,5,7,2,1,2,0,4,1,2017-01-27 00:00:00,SAS,HOME
8,"JAN 25, 2017 - NOP vs. OKC",L,17,10,4,6,66.7,1,2,50.0,1,2,50.0,0,4,4,0,0,0,2,5,3,2017-01-25 00:00:00,OKC,HOME
9,"JAN 23, 2017 - NOP vs. CLE",W,24,14,5,8,62.5,2,3,66.7,2,4,50.0,1,3,4,1,1,1,2,2,15,2017-01-23 00:00:00,CLE,HOME
10,"JAN 20, 2017 - NOP vs. BKN",L,12,6,2,5,40.0,2,5,40.0,0,0,0.0,0,2,2,0,0,1,0,1,-7,2017-01-20 00:00:00,BKN,HOME
11,"JAN 18, 2017 - NOP vs. ORL",W,3,2,0,0,0.0,0,0,0.0,2,3,66.7,0,1,1,0,0,0,0,0,-8,2017-01-18 00:00:00,ORL,HOME
12,"JAN 16, 2017 - NOP @ IND",L,8,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,1,0,1,5,2017-01-16 00:00:00,IND,AWAY
13,"JAN 14, 2017 - NOP @ CHI",L,7,2,1,2,50.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,0,2,2017-01-14 00:00:00,CHI,AWAY
14,"JAN 12, 2017 - NOP @ BKN",W,19,1,0,7,0.0,0,3,0.0,1,2,50.0,0,3,3,3,1,1,1,1,-1,2017-01-12 00:00:00,BKN,AWAY
15,"JAN 09, 2017 - NOP @ NYK",W,16,3,1,2,50.0,1,1,100.0,0,0,0.0,1,2,3,3,2,0,2,2,-6,2017-01-09 00:00:00,NYK,AWAY
16,"JAN 07, 2017 - NOP @ BOS",L,20,11,4,5,80.0,1,1,100.0,2,4,50.0,2,3,5,4,1,0,0,3,-13,2017-01-07 00:00:00,BOS,AWAY
