,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - NOP vs. UTA",L,19,13,6,11,54.5,1,4,25.0,0,0,0.0,0,0,0,2,0,0,4,1,-7,2017-02-08 00:00:00,UTA,HOME
1,"FEB 06, 2017 - NOP vs. PHX",W,30,12,5,10,50.0,2,5,40.0,0,0,0.0,1,3,4,2,4,1,2,3,-6,2017-02-06 00:00:00,PHX,HOME
2,"FEB 04, 2017 - NOP @ WAS",L,25,2,1,2,50.0,0,0,0.0,0,2,0.0,0,1,1,1,0,1,0,3,-14,2017-02-04 00:00:00,WAS,AWAY
3,"FEB 01, 2017 - NOP @ DET",L,28,9,4,8,50.0,1,2,50.0,0,0,0.0,0,2,2,3,1,0,0,2,-26,2017-02-01 00:00:00,DET,AWAY
4,"JAN 31, 2017 - NOP @ TOR",L,30,17,6,14,42.9,5,7,71.4,0,0,0.0,2,4,6,2,1,0,1,1,8,2017-01-31 00:00:00,TOR,AWAY
5,"JAN 29, 2017 - NOP vs. WAS",L,22,0,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,1,-9,2017-01-29 00:00:00,WAS,HOME
6,"JAN 27, 2017 - NOP vs. SAS",W,18,13,6,11,54.5,1,2,50.0,0,0,0.0,2,0,2,3,2,0,0,2,8,2017-01-27 00:00:00,SAS,HOME
7,"JAN 25, 2017 - NOP vs. OKC",L,28,18,6,9,66.7,2,3,66.7,4,4,100.0,2,5,7,2,1,1,0,2,-10,2017-01-25 00:00:00,OKC,HOME
8,"JAN 23, 2017 - NOP vs. CLE",W,24,5,2,8,25.0,0,3,0.0,1,2,50.0,1,3,4,1,1,1,0,2,4,2017-01-23 00:00:00,CLE,HOME
9,"JAN 20, 2017 - NOP vs. BKN",L,17,3,1,4,25.0,1,2,50.0,0,0,0.0,0,1,1,1,1,0,0,2,-18,2017-01-20 00:00:00,BKN,HOME
10,"JAN 18, 2017 - NOP vs. ORL",W,26,9,4,7,57.1,1,2,50.0,0,0,0.0,0,1,1,2,0,1,0,2,17,2017-01-18 00:00:00,ORL,HOME
11,"JAN 16, 2017 - NOP @ IND",L,28,15,5,9,55.6,1,3,33.3,4,4,100.0,1,3,4,0,1,2,2,0,2,2017-01-16 00:00:00,IND,AWAY
12,"JAN 14, 2017 - NOP @ CHI",L,27,16,6,9,66.7,4,5,80.0,0,0,0.0,0,1,1,2,0,1,1,2,12,2017-01-14 00:00:00,CHI,AWAY
13,"JAN 12, 2017 - NOP @ BKN",W,19,5,2,5,40.0,1,2,50.0,0,0,0.0,0,1,1,1,0,2,2,0,-5,2017-01-12 00:00:00,BKN,AWAY
14,"JAN 09, 2017 - NOP @ NYK",W,24,8,4,7,57.1,0,1,0.0,0,0,0.0,1,0,1,3,0,0,0,2,-5,2017-01-09 00:00:00,NYK,AWAY
15,"JAN 07, 2017 - NOP @ BOS",L,29,7,3,8,37.5,0,4,0.0,1,1,100.0,2,0,2,1,0,1,2,1,-1,2017-01-07 00:00:00,BOS,AWAY
16,"JAN 05, 2017 - NOP vs. ATL",L,27,8,3,11,27.3,2,6,33.3,0,0,0.0,1,1,2,0,0,1,1,4,0,2017-01-05 00:00:00,ATL,HOME
17,"JAN 02, 2017 - NOP @ CLE",L,20,6,2,5,40.0,2,3,66.7,0,0,0.0,1,3,4,1,0,1,0,5,-16,2017-01-02 00:00:00,CLE,AWAY
18,"DEC 30, 2016 - NOP vs. NYK",W,27,12,5,10,50.0,2,3,66.7,0,0,0.0,1,3,4,2,0,0,2,1,-1,2016-12-30 00:00:00,NYK,HOME
19,"DEC 28, 2016 - NOP vs. LAC",W,20,9,4,7,57.1,1,3,33.3,0,0,0.0,0,3,3,1,0,2,0,0,-6,2016-12-28 00:00:00,LAC,HOME
20,"DEC 26, 2016 - NOP vs. DAL",W,23,16,7,10,70.0,2,3,66.7,0,0,0.0,0,1,1,1,2,0,0,2,3,2016-12-26 00:00:00,DAL,HOME
21,"DEC 23, 2016 - NOP vs. MIA",W,26,5,2,6,33.3,1,2,50.0,0,1,0.0,0,3,3,1,1,1,1,2,14,2016-12-23 00:00:00,MIA,HOME
22,"DEC 21, 2016 - NOP vs. OKC",L,15,6,2,7,28.6,2,4,50.0,0,0,0.0,1,0,1,1,0,0,0,1,-6,2016-12-21 00:00:00,OKC,HOME
23,"DEC 20, 2016 - NOP @ PHI",W,18,15,6,7,85.7,2,3,66.7,1,1,100.0,0,0,0,2,0,0,0,3,9,2016-12-20 00:00:00,PHI,AWAY
24,"DEC 18, 2016 - NOP @ SAS",L,24,5,2,5,40.0,1,1,100.0,0,0,0.0,0,1,1,5,1,0,0,1,-23,2016-12-18 00:00:00,SAS,AWAY
