BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,53,33.1,21.2,6.9,15.7,43.9,1.5,4.7,32.5,5.8,6.9,84.9,0.9,4.1,5.0,6.1,3.2,1.4,0.4,2.7,6,0,-4.5
Home,25,34.9,21.8,7.0,15.8,44.3,1.5,4.7,32.5,6.2,7.2,87.2,1.0,4.0,5.1,7.0,3.9,1.4,0.6,2.6,5,0,-3.3
Road,28,31.4,20.7,6.8,15.7,43.5,1.5,4.7,32.6,5.5,6.6,82.8,0.8,4.1,4.9,5.3,2.7,1.3,0.3,2.7,1,0,-5.5
Wins,16,34.3,21.4,6.8,15.3,44.5,1.6,4.3,36.8,6.2,7.2,86.1,1.1,4.4,5.4,7.1,3.2,1.1,0.7,2.1,5,0,7.9
Losses,37,32.6,21.1,6.9,15.9,43.6,1.5,4.9,30.9,5.7,6.8,84.4,0.8,3.9,4.8,5.7,3.3,1.5,0.3,2.9,1,0,-9.8
October,4,33.7,16.5,5.8,13.0,44.2,0.8,4.0,18.8,4.3,6.5,65.4,0.3,5.8,6.0,5.5,2.0,1.3,0.0,3.3,0,0,-6.5
November,15,32.1,19.5,6.7,15.3,43.7,1.3,4.1,31.1,4.9,5.8,83.9,1.3,4.7,5.9,5.3,3.5,1.3,0.4,2.9,2,0,-3.8
December,15,31.9,21.3,7.5,16.1,46.7,1.6,5.1,31.2,4.7,5.5,85.4,0.7,3.3,4.0,5.9,3.0,1.7,0.7,2.4,2,0,-5.3
January,14,35.8,24.4,7.4,17.3,43.0,1.9,5.3,36.5,7.6,8.6,88.3,0.9,3.9,4.9,7.6,3.3,1.4,0.4,2.6,2,0,-1.8
February,5,31.6,20.8,5.2,13.8,37.7,1.6,4.2,38.1,8.8,10.0,88.0,0.6,3.8,4.4,5.2,4.2,0.6,0.0,2.4,0,0,-10.0
Pre All-Star,53,33.1,21.2,6.9,15.7,43.9,1.5,4.7,32.5,5.8,6.9,84.9,0.9,4.1,5.0,6.1,3.2,1.4,0.4,2.7,6,0,-4.5
Starters,53,33.1,21.2,6.9,15.7,43.9,1.5,4.7,32.5,5.8,6.9,84.9,0.9,4.1,5.0,6.1,3.2,1.4,0.4,2.7,6,0,-4.5
0 Days Rest,9,33.8,20.8,7.0,15.0,46.7,1.2,3.7,33.3,5.6,5.9,94.3,0.8,4.7,5.4,7.1,4.2,1.0,0.4,2.4,3,0,-1.6
1 Days Rest,34,33.6,22.4,7.2,16.7,43.3,1.6,5.1,31.4,6.4,7.7,82.8,0.9,3.8,4.7,6.0,2.9,1.1,0.4,2.7,3,0,-3.5
2 Days Rest,8,31.4,18.3,6.3,14.5,43.1,1.6,4.5,36.1,4.1,5.0,82.5,1.0,4.3,5.3,5.5,3.3,2.9,0.3,2.4,0,0,-10.8
3 Days Rest,1,28.0,11.0,2.0,4.0,50.0,0.0,0.0,0.0,7.0,7.0,100,1.0,5.0,6.0,5.0,4.0,1.0,1.0,5.0,0,0,-10.0
4 Days Rest,1,29.5,16.0,5.0,11.0,45.5,2.0,5.0,40.0,4.0,4.0,100,0.0,6.0,6.0,5.0,4.0,1.0,0.0,3.0,0,0,-9.0
