BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,49,26.6,7.7,2.7,6.3,43.6,1.2,3.2,36.7,1.0,1.3,79.0,0.6,2.1,2.7,2.2,1.0,1.2,0.4,2.2,0,0,-1.6
Home,21,25.6,7.0,2.5,5.6,45.3,1.0,3.1,33.8,0.9,1.1,78.3,0.4,1.9,2.3,1.7,0.8,1.0,0.3,2.0,0,0,-0.2
Road,28,27.3,8.2,2.9,6.8,42.6,1.3,3.3,38.7,1.1,1.4,79.5,0.6,2.3,3.0,2.7,1.2,1.3,0.5,2.4,0,0,-2.7
Wins,19,26.2,9.2,3.1,6.5,48.0,1.4,3.3,42.9,1.6,1.9,83.3,0.5,2.3,2.8,2.3,0.8,1.2,0.3,2.3,0,0,7.3
Losses,30,26.8,6.7,2.5,6.1,40.8,1.0,3.2,32.6,0.6,0.9,73.1,0.6,2.1,2.6,2.2,1.2,1.2,0.6,2.1,0,0,-7.3
October,4,17.3,6.0,2.8,5.3,52.4,0.5,2.0,25.0,0.0,0.0,0.0,0.3,0.8,1.0,2.3,1.0,0.0,0.5,1.8,0,0,-0.5
November,14,22.3,5.5,1.9,4.8,38.8,1.1,2.8,38.5,0.7,0.9,83.3,0.5,2.4,2.9,1.6,0.8,1.3,0.4,1.2,0,0,-0.9
December,15,28.3,9.0,3.0,6.9,43.7,1.7,3.9,42.4,1.3,1.5,87.0,0.6,2.3,2.9,2.5,1.1,1.1,0.6,2.5,0,0,1.8
January,16,31.0,8.7,3.3,7.3,44.8,1.0,3.3,30.8,1.2,1.7,70.4,0.6,2.1,2.8,2.6,1.1,1.5,0.4,2.9,0,0,-5.8
Pre All-Star,49,26.6,7.7,2.7,6.3,43.6,1.2,3.2,36.7,1.0,1.3,79.0,0.6,2.1,2.7,2.2,1.0,1.2,0.4,2.2,0,0,-1.6
Starters,15,32.0,9.6,3.1,7.7,40.9,1.5,4.1,37.1,1.8,2.3,77.1,0.4,2.2,2.6,3.0,1.6,1.5,0.5,2.7,0,0,-7.1
Bench,34,24.1,6.8,2.6,5.6,45.3,1.0,2.8,36.5,0.6,0.8,81.5,0.6,2.1,2.7,1.9,0.8,1.0,0.4,2.0,0,0,0.8
0 Days Rest,11,24.2,5.5,2.1,5.5,37.7,0.7,2.7,26.7,0.5,0.9,60.0,0.5,1.6,2.1,1.7,0.6,1.2,0.5,2.2,0,0,-2.3
1 Days Rest,28,27.6,8.6,2.9,6.7,43.9,1.4,3.5,39.4,1.4,1.6,82.6,0.5,2.3,2.8,2.4,1.1,1.3,0.4,2.3,0,0,-2.5
2 Days Rest,7,28.8,7.9,2.9,6.3,45.5,1.4,3.7,38.5,0.7,0.9,83.3,0.7,2.3,3.0,2.4,1.3,1.3,0.4,2.1,0,0,0.6
3 Days Rest,1,26.1,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,0,0,4.0
4 Days Rest,1,18.0,7.0,3.0,4.0,75.0,1.0,1.0,100,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,0,0,-1.0
6+ Days Rest,1,17.9,12.0,6.0,8.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,0,0,7.0
